vipLevel	id	awardType	awardId	numLower	numUpper	bind	odds
4	21	1	6000105	1	1	3	8
4	22	1	6000205	1	1	3	8
4	23	1	6000305	1	1	3	8
4	24	1	6000405	1	1	3	8
4	25	1	6000505	1	1	3	8
5	1	1	6000101	1	1	3	128
5	2	1	6000201	1	1	3	128
5	3	1	6000301	1	1	3	128
5	4	1	6000401	1	1	3	128
5	5	1	6000501	1	1	3	128
5	6	1	6000102	1	1	3	64
5	7	1	6000202	1	1	3	64
5	8	1	6000302	1	1	3	64
5	9	1	6000402	1	1	3	64
5	10	1	6000502	1	1	3	64
5	11	1	6000103	1	1	3	32
5	12	1	6000203	1	1	3	32
5	13	1	6000303	1	1	3	32
5	14	1	6000403	1	1	3	32
5	15	1	6000503	1	1	3	32
5	16	1	6000104	1	1	3	16
5	17	1	6000204	1	1	3	16
5	18	1	6000304	1	1	3	16
5	19	1	6000404	1	1	3	16
5	20	1	6000504	1	1	3	16
5	21	1	6000105	1	1	3	8
5	22	1	6000205	1	1	3	8
5	23	1	6000305	1	1	3	8
5	24	1	6000405	1	1	3	8
5	25	1	6000505	1	1	3	8
6	1	1	6000101	1	1	3	128
6	2	1	6000201	1	1	3	128
6	3	1	6000301	1	1	3	128
6	4	1	6000401	1	1	3	128
6	5	1	6000501	1	1	3	128
6	6	1	6000102	1	1	3	64
6	7	1	6000202	1	1	3	64
6	8	1	6000302	1	1	3	64
6	9	1	6000402	1	1	3	64
6	10	1	6000502	1	1	3	64
6	11	1	6000103	1	1	3	32
6	12	1	6000203	1	1	3	32
6	13	1	6000303	1	1	3	32
6	14	1	6000403	1	1	3	32
6	15	1	6000503	1	1	3	32
6	16	1	6000104	1	1	3	16
6	17	1	6000204	1	1	3	16
6	18	1	6000304	1	1	3	16
6	19	1	6000404	1	1	3	16
6	20	1	6000504	1	1	3	16
6	21	1	6000105	1	1	3	8
6	22	1	6000205	1	1	3	8
6	23	1	6000305	1	1	3	8
6	24	1	6000405	1	1	3	8
6	25	1	6000505	1	1	3	8
7	1	1	6000101	1	1	3	128
7	2	1	6000201	1	1	3	128
7	3	1	6000301	1	1	3	128
7	4	1	6000401	1	1	3	128
7	5	1	6000501	1	1	3	128
7	6	1	6000102	1	1	3	64
7	7	1	6000202	1	1	3	64
7	8	1	6000302	1	1	3	64
7	9	1	6000402	1	1	3	64
7	10	1	6000502	1	1	3	64
7	11	1	6000103	1	1	3	32
7	12	1	6000203	1	1	3	32
7	13	1	6000303	1	1	3	32
7	14	1	6000403	1	1	3	32
7	15	1	6000503	1	1	3	32
7	16	1	6000104	1	1	3	16
7	17	1	6000204	1	1	3	16
7	18	1	6000304	1	1	3	16
7	19	1	6000404	1	1	3	16
7	20	1	6000504	1	1	3	16
7	21	1	6000105	1	1	3	8
7	22	1	6000205	1	1	3	8
7	23	1	6000305	1	1	3	8
7	24	1	6000405	1	1	3	8
7	25	1	6000505	1	1	3	8
8	1	1	6000101	1	1	3	128
8	2	1	6000201	1	1	3	128
8	3	1	6000301	1	1	3	128
8	4	1	6000401	1	1	3	128
8	5	1	6000501	1	1	3	128
8	6	1	6000102	1	1	3	64
8	7	1	6000202	1	1	3	64
8	8	1	6000302	1	1	3	64
8	9	1	6000402	1	1	3	64
8	10	1	6000502	1	1	3	64
8	11	1	6000103	1	1	3	32
8	12	1	6000203	1	1	3	32
8	13	1	6000303	1	1	3	32
8	14	1	6000403	1	1	3	32
8	15	1	6000503	1	1	3	32
8	16	1	6000104	1	1	3	16
8	17	1	6000204	1	1	3	16
8	18	1	6000304	1	1	3	16
8	19	1	6000404	1	1	3	16
8	20	1	6000504	1	1	3	16
8	21	1	6000105	1	1	3	8
8	22	1	6000205	1	1	3	8
8	23	1	6000305	1	1	3	8
8	24	1	6000405	1	1	3	8
8	25	1	6000505	1	1	3	8
9	1	1	6000101	1	1	3	128
9	2	1	6000201	1	1	3	128
9	3	1	6000301	1	1	3	128
9	4	1	6000401	1	1	3	128
9	5	1	6000501	1	1	3	128
9	6	1	6000102	1	1	3	64
9	7	1	6000202	1	1	3	64
9	8	1	6000302	1	1	3	64
9	9	1	6000402	1	1	3	64
9	10	1	6000502	1	1	3	64
9	11	1	6000103	1	1	3	32
9	12	1	6000203	1	1	3	32
9	13	1	6000303	1	1	3	32
9	14	1	6000403	1	1	3	32
9	15	1	6000503	1	1	3	32
9	16	1	6000104	1	1	3	16
9	17	1	6000204	1	1	3	16
9	18	1	6000304	1	1	3	16
9	19	1	6000404	1	1	3	16
9	20	1	6000504	1	1	3	16
9	21	1	6000105	1	1	3	8
9	22	1	6000205	1	1	3	8
9	23	1	6000305	1	1	3	8
9	24	1	6000405	1	1	3	8
9	25	1	6000505	1	1	3	8
10	1	1	6000101	1	1	3	128
10	2	1	6000201	1	1	3	128
10	3	1	6000301	1	1	3	128
10	4	1	6000401	1	1	3	128
10	5	1	6000501	1	1	3	128
10	6	1	6000102	1	1	3	64
10	7	1	6000202	1	1	3	64
10	8	1	6000302	1	1	3	64
10	9	1	6000402	1	1	3	64
10	10	1	6000502	1	1	3	64
10	11	1	6000103	1	1	3	32
10	12	1	6000203	1	1	3	32
10	13	1	6000303	1	1	3	32
10	14	1	6000403	1	1	3	32
10	15	1	6000503	1	1	3	32
10	16	1	6000104	1	1	3	16
10	17	1	6000204	1	1	3	16
10	18	1	6000304	1	1	3	16
10	19	1	6000404	1	1	3	16
10	20	1	6000504	1	1	3	16
10	21	1	6000105	1	1	3	8
10	22	1	6000205	1	1	3	8
10	23	1	6000305	1	1	3	8
10	24	1	6000405	1	1	3	8
10	25	1	6000505	1	1	3	8
11	1	1	6000101	1	1	3	128
11	2	1	6000201	1	1	3	128
11	3	1	6000301	1	1	3	128
11	4	1	6000401	1	1	3	128
11	5	1	6000501	1	1	3	128
11	6	1	6000102	1	1	3	64
11	7	1	6000202	1	1	3	64
11	8	1	6000302	1	1	3	64
11	9	1	6000402	1	1	3	64
11	10	1	6000502	1	1	3	64
11	11	1	6000103	1	1	3	32
11	12	1	6000203	1	1	3	32
11	13	1	6000303	1	1	3	32
11	14	1	6000403	1	1	3	32
11	15	1	6000503	1	1	3	32
11	16	1	6000104	1	1	3	16
11	17	1	6000204	1	1	3	16
11	18	1	6000304	1	1	3	16
11	19	1	6000404	1	1	3	16
11	20	1	6000504	1	1	3	16
11	21	1	6000105	1	1	3	8
11	22	1	6000205	1	1	3	8
11	23	1	6000305	1	1	3	8
11	24	1	6000405	1	1	3	8
11	25	1	6000505	1	1	3	8
12	1	1	6000101	1	1	3	128
12	2	1	6000201	1	1	3	128
12	3	1	6000301	1	1	3	128
12	4	1	6000401	1	1	3	128
12	5	1	6000501	1	1	3	128
12	6	1	6000102	1	1	3	64
12	7	1	6000202	1	1	3	64
12	8	1	6000302	1	1	3	64
12	9	1	6000402	1	1	3	64
12	10	1	6000502	1	1	3	64
12	11	1	6000103	1	1	3	32
12	12	1	6000203	1	1	3	32
12	13	1	6000303	1	1	3	32
12	14	1	6000403	1	1	3	32
12	15	1	6000503	1	1	3	32
12	16	1	6000104	1	1	3	16
12	17	1	6000204	1	1	3	16
12	18	1	6000304	1	1	3	16
12	19	1	6000404	1	1	3	16
12	20	1	6000504	1	1	3	16
12	21	1	6000105	1	1	3	8
12	22	1	6000205	1	1	3	8
12	23	1	6000305	1	1	3	8
12	24	1	6000405	1	1	3	8
12	25	1	6000505	1	1	3	8
normal	1	2	14	500	1000	0	270
normal	2	2	14	5000	10000	0	90
normal	3	2	14	50000	100000	0	30
normal	4	2	14	500000	1000000	0	10
normal	5	2	14	50	100	0	270
normal	6	2	14	500	1000	0	90
normal	7	2	14	5000	10000	0	30
normal	8	2	14	50000	100000	0	10
normal	9	2	14	500	1000	0	100
normal	10	2	14	5000	10000	0	100
normal	11	2	14	50000	100000	0	100
normal	12	2	14	500000	1000000	0	100
normal	13	2	14	50	100	0	100
normal	14	2	14	500	1000	0	100
normal	15	2	14	5000	10000	0	100
normal	16	2	14	50000	100000	0	100
