index	minLevel	maxLevel	eventId1	odds1	eventId2	odds2	eventId3	odds3	eventId4	odds4	eventId5	odds5	eventId6	odds6	eventId7	odds7	eventId8	odds8	eventId9	odds9	eventId10	odds10	eventId11	odds11	eventId12	odds12	eventId13	odds13	eventId14	odds14	eventId15	odds15	eventId16	odds16	eventId17	odds17	eventId18	odds18	eventId19	odds19	eventId20	odds20
1	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
2	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
3	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
4	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
5	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
6	45	49	4753	5	4754	3	4757	5	4758	3	4503	5	4504	3	9510	5	9511	5	9502	5	9503	5	9507	5	9508	3	3515	5	3516	3	3519	5	3520	3	3522	5	3523	5	3526	5	3527	5
																																										
0	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
1	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
2	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
3	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
4	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
5	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
6	50	80	4753	4	4754	3	4757	4	4758	3	4503	4	4504	3	9511	4	9512	3	9503	4	9504	3	9507	4	9508	3	3515	4	3516	3	3519	4	3520	3	3523	4	3524	3	3527	4	3528	3
