level	maxHP	maxMP	atk 	rit 	upExp	maxExp	baseMaxMp	baseMaxHp	maxPower
42	3780	1890	504	302	2191200	2191200	1890	3780	420
43	3870	1935	516	310	2277000	2277000	1935	3870	430
44	3960	1980	528	317	2364300	2364300	1980	3960	440
45	4050	2025	540	324	3581400	3581400	2025	4050	450
46	4140	2070	552	331	3696000	3696000	2070	4140	460
47	4230	2115	564	338	3814800	3814800	2115	4230	470
48	4320	2160	576	346	3932700	3932700	2160	4320	480
49	4410	2205	588	353	4054600	4054600	2205	4410	490
50	4500	2250	600	360	5426100	5426100	2250	4500	500
51	4598	2299	613	368	5575500	5575500	2299	4598	510
52	4695	2348	626	376	5726700	5726700	2348	4695	520
53	4793	2396	639	383	5879700	5879700	2396	4793	530
54	4890	2445	652	391	6034200	6034200	2445	4890	540
55	4988	2494	665	399	7558200	7558200	2494	4988	550
56	5085	2543	678	407	7740000	7740000	2543	5085	560
57	5183	2591	691	415	7926600	7926600	2591	5183	570
58	5280	2640	704	422	8112000	8112000	2640	5280	580
59	5378	2689	717	430	8302200	8302200	2689	5378	590
60	5475	2738	730	438	9982200	9982200	2738	5475	600
61	5580	2790	744	446	10199700	10199700	2790	5580	610
62	5685	2843	758	455	10368000	10368000	2843	5685	620
63	5790	2895	772	463	10530000	10530000	2895	5790	630
64	5895	2948	786	472	10692000	10692000	2948	5895	640
65	6000	3000	800	480	12462000	12462000	3000	6000	650
66	6105	3053	814	488	12648000	12648000	3053	6105	660
67	6210	3105	828	497	12834000	12834000	3105	6210	670
68	6315	3158	842	505	13020000	13020000	3158	6315	680
69	6420	3210	856	514	13206000	13206000	3210	6420	690
70	6525	3263	870	522	16848000	16848000	3263	6525	700
71	6638	3319	885	531	17082000	17082000	3319	6638	710
72	6750	3375	900	540	17316000	17316000	3375	6750	720
73	6863	3431	915	549	17550000	17550000	3431	6863	730
74	6975	3488	930	558	17784000	17784000	3488	6975	740
75	7088	3544	945	567	21714000	21714000	3544	7088	750
76	7200	3600	960	576	21996000	21996000	3600	7200	760
77	7313	3656	975	585	22278000	22278000	3656	7313	770
78	7425	3713	990	594	22560000	22560000	3713	7425	780
79	7538	3769	1005	603	22842000	22842000	3769	7538	790
80	7650	3825	1020	612	25092000	25092000	3825	7650	800
81	7793	3896	1039	623	29382000	29382000	3896	7793	810
82	7935	3968	1058	635	33768000	33768000	3968	7935	820
83	8078	4039	1077	646	38250000	38250000	4039	8078	830
84	8220	4110	1096	658	42828000	42828000	4110	8220	840
85	8363	4181	1115	669	47502000	47502000	4181	8363	850
86	8505	4253	1134	680	52272000	52272000	4253	8505	860
87	8648	4324	1153	692	57138000	57138000	4324	8648	870
88	8790	4395	1172	703	62100000	62100000	4395	8790	880
89	8933	4466	1191	715	67158000	67158000	4466	8933	890
90	9075	4538	1210	726	72312000	72312000	4538	9075	900
91	9248	4624	1233	740	77562000	77562000	4624	9248	910
92	9420	4710	1256	754	82908000	82908000	4710	9420	920
93	9593	4796	1279	767	88350000	88350000	4796	9593	930
94	9765	4883	1302	781	93888000	93888000	4883	9765	940
95	9938	4969	1325	795	99522000	99522000	4969	9938	950
96	10110	5055	1348	809	105252000	105252000	5055	10110	960
97	10283	5141	1371	823	111078000	111078000	5141	10283	970
98	10455	5228	1394	836	117000000	117000000	5228	10455	980
99	10628	5314	1417	850	123018000	123018000	5314	10628	990
100	10800	5400	1440	864	129132000	129132000	5400	10800	1000
101	11003	5501	1467	880	135342000	135342000	5501	11003	1010
102	11205	5603	1494	896	141648000	141648000	5603	11205	1020
103	11408	5704	1521	913	148050000	148050000	5704	11408	1030
104	11610	5805	1548	929	154548000	154548000	5805	11610	1040
105	11813	5906	1575	945	161142000	161142000	5906	11813	1050
106	12015	6008	1602	961	167832000	167832000	6008	12015	1060
107	12218	6109	1629	977	174618000	174618000	6109	12218	1070
108	12420	6210	1656	994	181500000	181500000	6210	12420	1080
109	12623	6311	1683	1010	188478000	188478000	6311	12623	1090
110	12825	6413	1710	1026	195552000	195552000	6413	12825	1100
111	13058	6529	1741	1045	202722000	202722000	6529	13058	1110
112	13290	6645	1772	1063	209988000	209988000	6645	13290	1120
113	13523	6761	1803	1082	217350000	217350000	6761	13523	1130
114	13755	6878	1834	1100	224808000	224808000	6878	13755	1140
115	13988	6994	1865	1119	232362000	232362000	6994	13988	1150
116	14220	7110	1896	1138	240012000	240012000	7110	14220	1160
117	14453	7226	1927	1156	247758000	247758000	7226	14453	1170
118	14685	7343	1958	1175	255600000	255600000	7343	14685	1180
119	14918	7459	1989	1193	263538000	263538000	7459	14918	1190
120	15150	7575	2020	1212	271572000	271572000	7575	15150	1200
121	15413	7706	2055	1233	279702000	279702000	7706	15413	1210
122	15675	7838	2090	1254	287928000	287928000	7838	15675	1220
123	15938	7969	2125	1275	296250000	296250000	7969	15938	1230
124	16200	8100	2160	1296	304668000	304668000	8100	16200	1240
125	16463	8231	2195	1317	313182000	313182000	8231	16463	1250
126	16725	8363	2230	1338	321792000	321792000	8363	16725	1260
127	16988	8494	2265	1359	330498000	330498000	8494	16988	1270
128	17250	8625	2300	1380	339300000	339300000	8625	17250	1280
129	17513	8756	2335	1401	348198000	348198000	8756	17513	1290
130	17775	8888	2370	1422	385704000	385704000	8888	17775	1300
131	18068	9034	2409	1445	388626000	388626000	9034	18068	1310
132	18360	9180	2448	1469	391548000	391548000	9180	18360	1320
133	18653	9326	2487	1492	394470000	394470000	9326	18653	1330
134	18945	9473	2526	1516	397392000	397392000	9473	18945	1340
135	19238	9619	2565	1539	400314000	400314000	9619	19238	1350
136	19530	9765	2604	1562	403236000	403236000	9765	19530	1360
137	19823	9911	2643	1586	406158000	406158000	9911	19823	1370
138	20115	10058	2682	1609	409080000	409080000	10058	20115	1380
139	20408	10204	2721	1633	412002000	412002000	10204	20408	1390
140	20700	10350	2760	1656	414924000	414924000	10350	20700	1400
141	20993	10496	2799	1679	417846000	417846000	10496	20993	1410
142	21285	10643	2838	1703	420768000	420768000	10643	21285	1420
143	21578	10789	2877	1726	423690000	423690000	10789	21578	1430
144	21870	10935	2916	1750	426612000	426612000	10935	21870	1440
145	22163	11081	2955	1773	429534000	429534000	11081	22163	1450
146	22455	11228	2994	1796	432456000	432456000	11228	22455	1460
147	22748	11374	3033	1820	435378000	435378000	11374	22748	1470
148	23040	11520	3072	1843	438300000	438300000	11520	23040	1480
149	23333	11666	3111	1867	441222000	441222000	11666	23333	1490
150	23625	11813	3150	1890	444144000	444144000	11813	23625	1500
151	23918	11959	3189	1913	447070000	447070000	11959	23918	1510
152	24210	12105	3228	1937	449990000	449990000	12105	24210	1520
153	24503	12251	3267	1960	452910000	452910000	12251	24503	1530
154	24795	12398	3306	1984	455830000	455830000	12398	24795	1540
155	25088	12544	3345	2007	458750000	458750000	12544	25088	1550
156	25380	12690	3384	2030	461680000	461680000	12690	25380	1560
157	25673	12836	3423	2054	464600000	464600000	12836	25673	1570
158	25965	12983	3462	2077	467520000	467520000	12983	25965	1580
159	26258	13129	3501	2101	470440000	470440000	13129	26258	1590
160	26550	13275	3540	2124	473360000	473360000	13275	26550	1600
161	26843	13421	3579	2147	476290000	476290000	13421	26843	1610
162	27135	13568	3618	2171	479210000	479210000	13568	27135	1620
163	27428	13714	3657	2194	482130000	482130000	13714	27428	1630
164	27720	13860	3696	2218	485050000	485050000	13860	27720	1640
165	28013	14006	3735	2241	487970000	487970000	14006	28013	1650
166	28305	14153	3774	2264	490900000	490900000	14153	28305	1660
167	28598	14299	3813	2288	493820000	493820000	14299	28598	1670
168	28890	14445	3852	2311	496740000	496740000	14445	28890	1680
169	29183	14591	3891	2335	499660000	499660000	14591	29183	1690
170	29475	14738	3930	2358	502580000	502580000	14738	29475	1700
171	29768	14884	3969	2381	498240000	498240000	14884	29768	1710
172	30060	15030	4008	2405	501120000	501120000	15030	30060	1720
173	30353	15176	4047	2428	504000000	504000000	15176	30353	1730
174	30645	15323	4086	2452	506880000	506880000	15323	30645	1740
175	30938	15469	4125	2475	509760000	509760000	15469	30938	1750
176	31230	15615	4164	2498	512640000	512640000	15615	31230	1760
177	31523	15761	4203	2522	515520000	515520000	15761	31523	1770
178	31815	15908	4242	2545	518400000	518400000	15908	31815	1780
179	32108	16054	4281	2569	521280000	521280000	16054	32108	1790
180	32400	16200	4320	2592	524160000	524160000	16200	32400	1800
181	32693	16346	4359	2615	527040000	527040000	16346	32693	1810
182	32985	16493	4398	2639	529920000	529920000	16493	32985	1820
183	33278	16639	4437	2662	532800000	532800000	16639	33278	1830
184	33570	16785	4476	2686	535680000	535680000	16785	33570	1840
185	33863	16931	4515	2709	538560000	538560000	16931	33863	1850
186	34155	17078	4554	2732	541440000	541440000	17078	34155	1860
187	34448	17224	4593	2756	544320000	544320000	17224	34448	1870
188	34740	17370	4632	2779	547200000	547200000	17370	34740	1880
189	35033	17516	4671	2803	550080000	550080000	17516	35033	1890
190	35325	17663	4710	2826	552960000	552960000	17663	35325	1900
191	35618	17809	4749	2849	555840000	555840000	17809	35618	1910
192	35910	17955	4788	2873	558720000	558720000	17955	35910	1920
193	36203	18101	4827	2896	561600000	561600000	18101	36203	1930
194	36495	18248	4866	2920	564480000	564480000	18248	36495	1940
195	36788	18394	4905	2943	567360000	567360000	18394	36788	1950
196	37080	18540	4944	2966	570240000	570240000	18540	37080	1960
197	37373	18686	4983	2990	573120000	573120000	18686	37373	1970
198	37665	18833	5022	3013	576000000	576000000	18833	37665	1980
199	37958	18979	5061	3037	578880000	578880000	18979	37958	1990
200	38250	19125	5100	3060	0	0	19125	38250	2000
