buffId	name	level	iconId	effectId	timeType	categoryType	transNoClean	intervalTime	persistTime	dieLost	offlineLost	offlineTiming	beingType	groupId	replaceType	notReplaceDesc	hatredPercent	hatredAdd	desc
2001	上古法盾	1	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收300点伤害，最多持续6秒
2001	上古法盾	2	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收600点伤害，最多持续6秒
2001	上古法盾	3	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收900点伤害，最多持续6秒
2001	上古法盾	4	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收1200点伤害，最多持续6秒
2001	上古法盾	5	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收1500点伤害，最多持续6秒
2001	上古法盾	6	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收1800点伤害，最多持续6秒
2001	上古法盾	7	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收2100点伤害，最多持续6秒
2001	上古法盾	8	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收2400点伤害，最多持续6秒
2001	上古法盾	9	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收2700点伤害，最多持续6秒
2001	上古法盾	10	3	704	1	1	1		6000	1	1	0	0	2001	1		10000	1	上古法盾吸收3000点伤害，最多持续6秒
3000	定身	1	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	2	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	3	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	4	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	5	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	6	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	7	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	8	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	9	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3000	定身	10	4	705	1	1	1		3000	1	1	0	0	3000	1		10000	1	定身3秒
3001	沉默	1	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	2	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	3	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	4	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	5	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	6	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	7	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	8	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	9	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
3001	沉默	10	5	706	1	1	1		3000	1	1	0	0	3001	1		10000	1	沉默3秒
																			
9000	减速	1	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	2	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	3	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	4	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	5	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	6	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	7	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	8	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	9	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9000	减速	10	0	701	1	1	1		3000	1	1	0	0	9000	1		10000	1	减速3秒
9001	昏迷	1	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	2	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	3	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	4	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	5	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	6	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	7	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	8	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	9	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9001	昏迷	10	2	703	1	1	1		3000	1	1	0	0	9001	1		10000	1	昏迷3秒
9100	定身	1	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	2	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	3	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	4	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	5	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	6	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	7	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	8	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	9	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9100	定身	10	2	705	1	1	1		3000	1	1	0	0	9100	1		10000	1	定身3秒
9101	持续回血	1	2	706	1	1	1		5000	1	1	0	0	9101	1		10000	1	每秒回复50点生命值，持续5秒
9101	持续回血	2	2	706	1	1	1		5000	1	1	0	0	9101	1		10000	1	每秒回复100点生命值，持续5秒
9101	持续回血	3	2	706	1	1	1		5000	1	1	0	0	9101	1		10000	1	每秒回复150点生命值，持续5秒
9101	持续回血	4	2	706	1	1	1		5000	1	1	0	0	9101	1		10000	1	每秒回复200点生命值，持续5秒
9101	持续回血	5	2	706	1	1	1		5000	1	1	0	0	9101	1		10000	1	每秒回复250点生命值，持续5秒
9101	持续回血	6	2	706	1	1	1		6000	1	1	0	0	9101	1		10000	1	每秒回复400点生命值，持续6秒
9101	持续回血	7	2	706	1	1	1		7000	1	1	0	0	9101	1		10000	1	每秒回复550点生命值，持续7秒
9101	持续回血	8	2	706	1	1	1		8000	1	1	0	0	9101	1		10000	1	每秒回复700点生命值，持续8秒
9101	持续回血	9	2	706	1	1	1		9000	1	1	0	0	9101	1		10000	1	每秒回复850点生命值，持续9秒
9101	持续回血	10	2	706	1	1	1		10000	1	1	0	0	9101	1		10000	1	每秒回复1000点生命值，持续10秒
9102	火焰护盾	1	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收2500点伤害,最多持续6秒
9102	火焰护盾	2	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收5000点伤害,最多持续6秒
9102	火焰护盾	3	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收7500点伤害,最多持续6秒
9102	火焰护盾	4	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收10000点伤害,最多持续6秒
9102	火焰护盾	5	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收12500点伤害,最多持续6秒
9102	火焰护盾	6	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收20000点伤害,最多持续6秒
9102	火焰护盾	7	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收27500点伤害,最多持续6秒
9102	火焰护盾	8	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收35000点伤害,最多持续6秒
9102	火焰护盾	9	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收42500点伤害,最多持续6秒
9102	火焰护盾	10	2	602	1	1	1		6000	1	1	0	0	9102	1		10000	1	火焰护盾吸收50000点伤害,最多持续6秒
																			
9103	活动标识	1	2		1	0	1		1800000	0		1	1	9103	1		10000	1	你感到疲倦，30分钟内不能再次获得boss活动奖励。
																			
5002	攻击提升	1			1	1	1		2000	0	0	0	1						增加100%攻击
5003	吸收盾	1			1	1	1		2000	0	0	0	1						增加护盾，吸收一定伤害
5004	攻击提升	1			1	1	1		10000	0	0	0	1						增加2000攻击
5006	血量增幅	1			1	1	1		1000	0	0	0	1						增加友军最大血量5%
5007	攻击增幅	1			1	1	1		5000	0	0	0	1						增加友军50%自身攻击
5008	攻击增幅	1			1	1	1		10000000	0	0	0	1						增加自身200%攻击
																			
9104	鼓舞	1			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加10%攻击,离开地图效果消失
9104	鼓舞	2			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加20%攻击,离开地图效果消失
9104	鼓舞	3			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加30%攻击,离开地图效果消失
9104	鼓舞	4			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加40%攻击,离开地图效果消失
9104	鼓舞	5			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加50%攻击,离开地图效果消失
9104	鼓舞	6			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加60%攻击,离开地图效果消失
9104	鼓舞	7			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加70%攻击,离开地图效果消失
9104	鼓舞	8			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加80%攻击,离开地图效果消失
9104	鼓舞	9			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加90%攻击,离开地图效果消失
9104	鼓舞	10			1	0	1	5000	3600000	0	0	0	1	9104	1		10000	1	增加100%攻击,离开地图效果消失
																			
9105	vip祝福buff	1	2		1	0	1		1800000	0	0	0	1	9105	2		10000	1	生命上限增加10%并额外增加1000点生命值，攻击力增加10%并额外增加100
