buffId	buffLevel	type	costValue	ratio	successInfo	failInfo
9156	9	1	10	10000	鼓舞成功，攻击力+45%，最大生命+36000	鼓舞失败
9156	10	1	10	10000	鼓舞成功，攻击力+50%，最大生命+40000	鼓舞失败
9157	1	0	2000	10000	鼓舞成功，攻击力+5%，最大生命+4000	鼓舞失败
9157	2	0	2000	9000	鼓舞成功，攻击力+10%，最大生命+8000	鼓舞失败
9157	3	0	2000	7500	鼓舞成功，攻击力+15%，最大生命+12000	鼓舞失败
9157	4	0	2000	6500	鼓舞成功，攻击力+20%，最大生命+16000	鼓舞失败
9157	5	0	2000	5000	鼓舞成功，攻击力+25%，最大生命+20000	鼓舞失败
9157	6	0	2000	4000	鼓舞成功，攻击力+30%，最大生命+24000	鼓舞失败
9157	7	0	2000	3000	鼓舞成功，攻击力+35%，最大生命+28000	鼓舞失败
9157	8	0	2000	2000	鼓舞成功，攻击力+40%，最大生命+32000	鼓舞失败
9157	9	0	2000	1000	鼓舞成功，攻击力+45%，最大生命+36000	鼓舞失败
9157	10	0	2000	500	鼓舞成功，攻击力+50%，最大生命+40000	鼓舞失败
9157	1	1	10	10000	鼓舞成功，攻击力+5%，最大生命+4000	鼓舞失败
9157	2	1	10	10000	鼓舞成功，攻击力+10%，最大生命+8000	鼓舞失败
9157	3	1	10	10000	鼓舞成功，攻击力+15%，最大生命+12000	鼓舞失败
9157	4	1	10	10000	鼓舞成功，攻击力+20%，最大生命+16000	鼓舞失败
9157	5	1	10	10000	鼓舞成功，攻击力+25%，最大生命+20000	鼓舞失败
9157	6	1	10	10000	鼓舞成功，攻击力+30%，最大生命+24000	鼓舞失败
9157	7	1	10	10000	鼓舞成功，攻击力+35%，最大生命+28000	鼓舞失败
9157	8	1	10	10000	鼓舞成功，攻击力+40%，最大生命+32000	鼓舞失败
9157	9	1	10	10000	鼓舞成功，攻击力+45%，最大生命+36000	鼓舞失败
9157	10	1	10	10000	鼓舞成功，攻击力+50%，最大生命+40000	鼓舞失败
9158	1	0	0	10000	你感到身体瞬间充满了活力	你感到身体瞬间充满了活力
						
						
9171	1	0	2000	10000	鼓舞成功，防御+1000	鼓舞失败
9171	2	0	2000	9000	鼓舞成功，防御+2000	鼓舞失败，当前防御+1000
9171	3	0	2000	7500	鼓舞成功，防御+3000	鼓舞失败，当前防御+2000
9171	4	0	2000	6500	鼓舞成功，防御+4000	鼓舞失败，当前防御+3000
9171	5	0	2000	5000	鼓舞成功，防御+5000	鼓舞失败，当前防御+4000
9171	6	0	2000	4000	鼓舞成功，防御+6000	鼓舞失败，当前防御+5000
9171	7	0	2000	3000	鼓舞成功，防御+7000	鼓舞失败，当前防御+6000
9171	8	0	2000	2000	鼓舞成功，防御+8000	鼓舞失败，当前防御+7000
9171	9	0	2000	1000	鼓舞成功，防御+9000	鼓舞失败，当前防御+8000
9171	10	0	2000	500	鼓舞成功，防御+10000	鼓舞失败，当前防御+9000
9171	1	1	2	10000	鼓舞成功，防御+1000	鼓舞失败
9171	2	1	2	10000	鼓舞成功，防御+2000	鼓舞失败，当前防御+1000
9171	3	1	2	10000	鼓舞成功，防御+3000	鼓舞失败，当前防御+2000
9171	4	1	2	10000	鼓舞成功，防御+4000	鼓舞失败，当前防御+3000
9171	5	1	2	10000	鼓舞成功，防御+5000	鼓舞失败，当前防御+4000
9171	6	1	2	10000	鼓舞成功，防御+6000	鼓舞失败，当前防御+5000
9171	7	1	2	10000	鼓舞成功，防御+7000	鼓舞失败，当前防御+6000
9171	8	1	2	10000	鼓舞成功，防御+8000	鼓舞失败，当前防御+7000
9171	9	1	2	10000	鼓舞成功，防御+9000	鼓舞失败，当前防御+8000
9171	10	1	2	10000	鼓舞成功，防御+10000	鼓舞失败，当前防御+9000
						
						
9172	1	0	2000	10000	鼓舞成功，命中+1000	鼓舞失败
9172	2	0	2000	9000	鼓舞成功，命中+2000	鼓舞失败，当前命中+1000
9172	3	0	2000	7500	鼓舞成功，命中+3000	鼓舞失败，当前命中+2000
9172	4	0	2000	6500	鼓舞成功，命中+4000	鼓舞失败，当前命中+3000
9172	5	0	2000	5000	鼓舞成功，命中+5000	鼓舞失败，当前命中+4000
9172	6	0	2000	4000	鼓舞成功，命中+6000	鼓舞失败，当前命中+5000
9172	7	0	2000	3000	鼓舞成功，命中+7000	鼓舞失败，当前命中+6000
9172	8	0	2000	2000	鼓舞成功，命中+8000	鼓舞失败，当前命中+7000
9172	9	0	2000	1000	鼓舞成功，命中+9000	鼓舞失败，当前命中+8000
9172	10	0	2000	500	鼓舞成功，命中+10000	鼓舞失败，当前命中+9000
9172	1	1	2	10000	鼓舞成功，命中+1000	鼓舞失败
9172	2	1	2	10000	鼓舞成功，命中+2000	鼓舞失败，当前命中+1000
9172	3	1	2	10000	鼓舞成功，命中+3000	鼓舞失败，当前命中+2000
9172	4	1	2	10000	鼓舞成功，命中+4000	鼓舞失败，当前命中+3000
9172	5	1	2	10000	鼓舞成功，命中+5000	鼓舞失败，当前命中+4000
9172	6	1	2	10000	鼓舞成功，命中+6000	鼓舞失败，当前命中+5000
9172	7	1	2	10000	鼓舞成功，命中+7000	鼓舞失败，当前命中+6000
9172	8	1	2	10000	鼓舞成功，命中+8000	鼓舞失败，当前命中+7000
9172	9	1	2	10000	鼓舞成功，命中+9000	鼓舞失败，当前命中+8000
9172	10	1	2	10000	鼓舞成功，命中+10000	鼓舞失败，当前命中+9000
						
						
9173	1	0	2000	10000	鼓舞成功，闪避+1000	鼓舞失败
9173	2	0	2000	9000	鼓舞成功，闪避+2000	鼓舞失败，当前闪避+1000
9173	3	0	2000	7500	鼓舞成功，闪避+3000	鼓舞失败，当前闪避+2000
9173	4	0	2000	6500	鼓舞成功，闪避+4000	鼓舞失败，当前闪避+3000
9173	5	0	2000	5000	鼓舞成功，闪避+5000	鼓舞失败，当前闪避+4000
9173	6	0	2000	4000	鼓舞成功，闪避+6000	鼓舞失败，当前闪避+5000
9173	7	0	2000	3000	鼓舞成功，闪避+7000	鼓舞失败，当前闪避+6000
9173	8	0	2000	2000	鼓舞成功，闪避+8000	鼓舞失败，当前闪避+7000
9173	9	0	2000	1000	鼓舞成功，闪避+9000	鼓舞失败，当前闪避+8000
9173	10	0	2000	500	鼓舞成功，闪避+10000	鼓舞失败，当前闪避+9000
9173	1	1	2	10000	鼓舞成功，闪避+1000	鼓舞失败
9173	2	1	2	10000	鼓舞成功，闪避+2000	鼓舞失败，当前闪避+1000
9173	3	1	2	10000	鼓舞成功，闪避+3000	鼓舞失败，当前闪避+2000
9173	4	1	2	10000	鼓舞成功，闪避+4000	鼓舞失败，当前闪避+3000
9173	5	1	2	10000	鼓舞成功，闪避+5000	鼓舞失败，当前闪避+4000
9173	6	1	2	10000	鼓舞成功，闪避+6000	鼓舞失败，当前闪避+5000
9173	7	1	2	10000	鼓舞成功，闪避+7000	鼓舞失败，当前闪避+6000
9173	8	1	2	10000	鼓舞成功，闪避+8000	鼓舞失败，当前闪避+7000
9173	9	1	2	10000	鼓舞成功，闪避+9000	鼓舞失败，当前闪避+8000
9173	10	1	2	10000	鼓舞成功，闪避+10000	鼓舞失败，当前闪避+9000
						
						
9174	1	0	2000	10000	鼓舞成功，攻击+1000	鼓舞失败
9174	2	0	2000	9000	鼓舞成功，攻击+2000	鼓舞失败，当前攻击+1000
9174	3	0	2000	7500	鼓舞成功，攻击+3000	鼓舞失败，当前攻击+2000
9174	4	0	2000	6500	鼓舞成功，攻击+4000	鼓舞失败，当前攻击+3000
9174	5	0	2000	5000	鼓舞成功，攻击+5000	鼓舞失败，当前攻击+4000
9174	6	0	2000	4000	鼓舞成功，攻击+6000	鼓舞失败，当前攻击+5000
9174	7	0	2000	3000	鼓舞成功，攻击+7000	鼓舞失败，当前攻击+6000
9174	8	0	2000	2000	鼓舞成功，攻击+8000	鼓舞失败，当前攻击+7000
9174	9	0	2000	1000	鼓舞成功，攻击+9000	鼓舞失败，当前攻击+8000
9174	10	0	2000	500	鼓舞成功，攻击+10000	鼓舞失败，当前攻击+9000
9174	1	1	2	10000	鼓舞成功，攻击+1000	鼓舞失败
9174	2	1	2	10000	鼓舞成功，攻击+2000	鼓舞失败，当前攻击+1000
9174	3	1	2	10000	鼓舞成功，攻击+3000	鼓舞失败，当前攻击+2000
9174	4	1	2	10000	鼓舞成功，攻击+4000	鼓舞失败，当前攻击+3000
9174	5	1	2	10000	鼓舞成功，攻击+5000	鼓舞失败，当前攻击+4000
9174	6	1	2	10000	鼓舞成功，攻击+6000	鼓舞失败，当前攻击+5000
9174	7	1	2	10000	鼓舞成功，攻击+7000	鼓舞失败，当前攻击+6000
9174	8	1	2	10000	鼓舞成功，攻击+8000	鼓舞失败，当前攻击+7000
9174	9	1	2	10000	鼓舞成功，攻击+9000	鼓舞失败，当前攻击+8000
9174	10	1	2	10000	鼓舞成功，攻击+10000	鼓舞失败，当前攻击+9000
						
						
						
9176	1	0	0	10000	获得葫芦娃的祝福(防御),防御+10000	鼓舞失败，当前防御+10000
9177	1	0	0	10000	获得葫芦娃的祝福(命中),命中+10000	鼓舞失败，当前命中+10000
9178	1	0	0	10000	获得葫芦娃的祝福(闪避),闪避+10000	鼓舞失败，当前闪避+10000
9179	1	0	0	10000	获得葫芦娃的祝福(攻击),攻击+10000	鼓舞失败，当前攻击+10000
