id	npcId	mapId	mapX	mapY	_1	_2	_3	_4	_5	_6	_7	startDate	endDate	startDateRel	endDateRel	show	timeInfo	bossInfo	lootId
87	01zjboss002	01_FBMWD_mowangdian	1535	1763		28			31			2012-11-12	2023-11-12						
88	01zjboss003	01_FBMWD_mowangdian	2533	1284		27			32			2012-11-12	2023-11-12						
89	01zjboss001	01_FBMWD_mowangdian	2881	1201			27			32		2012-11-12	2023-11-12						
90	01zjboss002	01_FBMWD_mowangdian	3288	1514			28			31		2012-11-12	2023-11-12						
91	01zjboss003	01_FBMWD_mowangdian	2790	2184			29			30		2012-11-12	2023-11-12						
92	01zjboss001	01_FBMWD_mowangdian	2354	1728			30			29		2012-11-12	2023-11-12						
93	01zjboss002	01_FBMWD_mowangdian	4630	1228			31			28		2012-11-12	2023-11-12						
94	01zjboss003	01_FBMWD_mowangdian	1161	1671			32			27		2012-11-12	2023-11-12						
95	01zjboss007	02_FBMWD_mowangdian	572	1271	28			32			27	2012-11-12	2023-11-12						
96	01zjboss008	02_FBMWD_mowangdian	1127	1437	30			31			28	2012-11-12	2023-11-12						
97	01zjboss009	02_FBMWD_mowangdian	1816	933	32			30			29	2012-11-12	2023-11-12						
98	01zjboss007	02_FBMWD_mowangdian	2845	396	27			29			30	2012-11-12	2023-11-12						
99	01zjboss008	02_FBMWD_mowangdian	3728	738	29			28			31	2012-11-12	2023-11-12						
100	01zjboss009	02_FBMWD_mowangdian	4270	1187	31			27			32	2012-11-12	2023-11-12						
101	01zjboss007	02_FBMWD_mowangdian	3746	1581		32			27			2012-11-12	2023-11-12						
102	01zjboss008	02_FBMWD_mowangdian	3183	1782		31			28			2012-11-12	2023-11-12						
103	01zjboss009	02_FBMWD_mowangdian	2694	2056		30			29			2012-11-12	2023-11-12						
104	01zjboss007	02_FBMWD_mowangdian	2234	1955		29			30			2012-11-12	2023-11-12						
105	01zjboss008	02_FBMWD_mowangdian	1535	1763		28			31			2012-11-12	2023-11-12						
106	01zjboss009	02_FBMWD_mowangdian	2533	1284		27			32			2012-11-12	2023-11-12						
107	01zjboss007	02_FBMWD_mowangdian	2881	1201			27			32		2012-11-12	2023-11-12						
108	01zjboss008	02_FBMWD_mowangdian	3288	1514			28			31		2012-11-12	2023-11-12						
109	01zjboss009	02_FBMWD_mowangdian	2790	2184			29			30		2012-11-12	2023-11-12						
110	01zjboss007	02_FBMWD_mowangdian	2354	1728			30			29		2012-11-12	2023-11-12						
111	01zjboss008	02_FBMWD_mowangdian	4630	1228			31			28		2012-11-12	2023-11-12						
112	01zjboss009	02_FBMWD_mowangdian	1161	1671			32			27		2012-11-12	2023-11-12						
113	01mwd411	 02_FBMWD_mowangdian	2707	1226	5	5	5	5	5	5	5	2012-11-12	2023-11-12			0			
