level	qualityType	strength	intellect	agility	physique	spirit	maxHP	maxMP	physicsATK	physicsRIT	magicATK	magicRIT	dodge	critATK	critATK	critRIT	hit
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
60	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
