rollTimes	goldMoney	bindingGoldMoney	tips
78	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
79	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
80	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
81	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
82	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
83	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
84	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
85	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
86	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
87	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
88	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
89	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
90	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
91	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
92	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
93	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
94	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
95	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
96	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
97	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
98	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
99	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
100	128	-1	本次投掷需要花费128元宝，试试今天的手气吧。
