id	flyLevel	level	functionName	buffId	buffName
1	1	4	2000金币鼓舞提升攻击4级	9121	攻击提升
1	1	5	2000金币鼓舞提升攻击5级	9122	攻击提升
1	1	6	2000金币鼓舞提升攻击6级	9123	攻击提升
1	1	7	2000金币鼓舞提升攻击7级	9124	攻击提升
1	1	8	2000金币鼓舞提升攻击8级	9125	攻击提升
1	1	9	2000金币鼓舞提升攻击9级	9126	攻击提升
1	2	1	2000金币鼓舞提升攻击1级	9118	攻击提升
1	2	2	2000金币鼓舞提升攻击2级	9119	攻击提升
1	2	3	2000金币鼓舞提升攻击3级	9120	攻击提升
1	2	4	2000金币鼓舞提升攻击4级	9121	攻击提升
1	2	5	2000金币鼓舞提升攻击5级	9122	攻击提升
1	2	6	2000金币鼓舞提升攻击6级	9123	攻击提升
1	2	7	2000金币鼓舞提升攻击7级	9124	攻击提升
1	2	8	2000金币鼓舞提升攻击8级	9125	攻击提升
1	2	9	2000金币鼓舞提升攻击9级	9126	攻击提升
1	3	1	2000金币鼓舞提升攻击1级	9118	攻击提升
1	3	2	2000金币鼓舞提升攻击2级	9119	攻击提升
1	3	3	2000金币鼓舞提升攻击3级	9120	攻击提升
1	3	4	2000金币鼓舞提升攻击4级	9121	攻击提升
1	3	5	2000金币鼓舞提升攻击5级	9122	攻击提升
1	3	6	2000金币鼓舞提升攻击6级	9123	攻击提升
1	3	7	2000金币鼓舞提升攻击7级	9124	攻击提升
1	3	8	2000金币鼓舞提升攻击8级	9125	攻击提升
1	3	9	2000金币鼓舞提升攻击9级	9126	攻击提升
1	2	1	2000金币鼓舞提升暴击1级	9127	暴击提升
1	2	2	2000金币鼓舞提升暴击2级	9128	暴击提升
1	2	3	2000金币鼓舞提升暴击3级	9129	暴击提升
1	2	4	2000金币鼓舞提升暴击4级	9130	暴击提升
1	2	5	2000金币鼓舞提升暴击5级	9131	暴击提升
1	2	6	2000金币鼓舞提升暴击6级	9132	暴击提升
1	2	7	2000金币鼓舞提升暴击7级	9133	暴击提升
1	2	8	2000金币鼓舞提升暴击8级	9134	暴击提升
1	2	9	2000金币鼓舞提升暴击9级	9135	暴击提升
1	3	1	2000金币鼓舞提升暴击1级	9127	暴击提升
1	3	2	2000金币鼓舞提升暴击2级	9128	暴击提升
1	3	3	2000金币鼓舞提升暴击3级	9129	暴击提升
1	3	4	2000金币鼓舞提升暴击4级	9130	暴击提升
1	3	5	2000金币鼓舞提升暴击5级	9131	暴击提升
1	3	6	2000金币鼓舞提升暴击6级	9132	暴击提升
1	3	7	2000金币鼓舞提升暴击7级	9133	暴击提升
1	3	8	2000金币鼓舞提升暴击8级	9134	暴击提升
1	3	9	2000金币鼓舞提升暴击9级	9135	暴击提升
1	3	1	1000门派资金提升全员伤害减免1级(100%成功）	9136	伤害减免
1	3	2	1500门派资金提升全员伤害减免2级(100%成功）	9137	伤害减免
1	3	3	2000门派资金提升全员伤害减免3级(100%成功）	9138	伤害减免
1	3	4	2500门派资金提升全员伤害减免4级(100%成功）	9139	伤害减免
1	3	5	3000门派资金提升全员伤害减免5级(100%成功）	9140	伤害减免
1	3	6	3500门派资金提升全员伤害减免6级(100%成功）	9141	伤害减免
1	3	7	4000门派资金提升全员伤害减免7级(100%成功）	9142	伤害减免
1	3	8	4500门派资金提升全员伤害减免8级(100%成功）	9143	伤害减免
1	3	9	5000门派资金提升全员伤害减免9级(100%成功）	9144	伤害减免
