id	type	name	num	degree	condition	minLevel	parameter	assistant	assistantName	star	order	desc
121	6	门派战	1	0	0	15	24	4	赚钱心得	推荐指数 ★★	3	再厉害的大哥，也要有小弟烘托，想要获得大成就必须门派战！奖励的金钱也是多多益善！
122	6	大师赛	1	0	0	28	20	4	赚钱心得	推荐指数 ★★	4	真气，金钱，名誉都在这里，还在等什么！
123	6	九尾狐逆袭	1	0	0	26	7	4	赚钱心得	推荐指数 ★	5	九尾狐与雷震子谈了场恋爱，就被世人所不容！你若想获得不菲经验与金币，就一同去吧！
124	8	神兽副本	1	0	0	20	4	5	坐骑神兽	推荐指数 ★★★★★	1	三界神兽据此为孽，快去击退他们，可获神兽养成道具！
125	8	不周山	1	0	0	34	36	5	坐骑神兽	推荐指数 ★★★	2	西北海之外，大荒之隅，有山而不合，名曰不周。组队一起挑战高难度BOSS！
126	6	捉妖	1	0	0	33	21	5	坐骑神兽	推荐指数 ★★	3	捉妖，捉妖，降妖除魔，组队完成获得多多神兽奖励！
127	8	妖兽副本	1	0	0	35	7	5	坐骑神兽	推荐指数 ★	4	喂养门派仙兽，喂养自己的神兽，这个地方值得一去！
128	5	九重天	1	0	0	31	3	6	法宝翅膀	推荐指数 ★★★★★	1	十二巫祖，占据与此！九九八十一关你能否闯过？镶满宝石的翅膀就在这里！
129	6	战神天梯竞技	1	0	0	24	19	6	法宝翅膀	推荐指数 ★★★	2	谁才是真正的战神，来这里一决胜负吧！赢了这法宝都是你的！
130	6	红帽必须死	1	0	0	30	23	6	法宝翅膀	推荐指数 ★★	3	所有的猎人在这里，抓住小红帽，暴打大灰狼！
131	6	九尾狐逆袭	1	0	0	26	7	6	法宝翅膀	推荐指数 ★★	4	九尾狐与雷震子谈了场恋爱，就被世人所不容！你若想获得不菲经验与金币，就一同去吧！
132	6	保卫朝歌	1	0	0	29	11	6	法宝翅膀	推荐指数 ★	5	与三界朋友共同保卫朝歌，击败入侵怪物，有很高几率获得强化石与宝石。
136	6	封神榜	1	0	0	28	4	7	杀人越货	推荐指数 ★★★★★	1	天下无敌，谁与争锋！是时候展现你真正的实力了！可获大量仙魂与强化道具！
137	6	战神天梯竞技	1	0	0	24	19	7	杀人越货	推荐指数 ★★★★★	2	谁才是真正的战神，来这里一决胜负吧！赢了这法宝都是你的！
133	12	野外BOSS	1	0	0	30		7	杀人越货	推荐指数 ★★★	3	一决胜负，抢钱抢粮抢地盘！还有比橙装更好的吗？还有吗？
134	6	门派战	1	0	0	15	24	7	杀人越货	推荐指数 ★★★	4	再厉害的大哥，也要有小弟烘托，想要获得大成就必须门派战！奖励的金钱也是多多益善！
135	6	大师赛	1	0	0	28	20	7	杀人越货	推荐指数 ★★★	5	真气，金钱，名誉都在这里，还在等什么！
138	6	红帽必须死	1	0	0	30	23	7	杀人越货	推荐指数 ★★	6	所有的猎人在这里，抓住小红帽，暴打大灰狼！
139	6	英雄魔王殿	1	0	0	40	22	7	杀人越货	推荐指数 ★	7	只要你扛得住，这里就是你自己的福地，各种奖励随便爆！
