rewardId	bindMoney	goldMoney	goldValueType	silverMoney	goods1	num1	bind1	goods2	num2	bind2	goods3	num3	bind3	goods4	num4	bind4	goods5	num5	bind5	goods6	num6	bind6
1128	0	0		0	70041	30	1	70002	50	1												
1129	0	0		0	70041	100	1	70002	100	1												
																						
1130	0	0		0	70031	5	1															
1131	0	0		0	70031	10	1															
1132	0	0		0	70031	20	1															
1133	0	0		0	70031	30	1															
1134	0	0		0	70031	40	1															
1135	0	0		0	70031	50	1															
																						
1136	0	0		0	70061	5	1	70051	5	1	9016	10	1	73959	3	1						
																						
1137	0	0		0	70061	5	1	70051	5	1												
1138	0	0		0	70061	15	1	70051	10	1												
1139	0	0		0	70061	20	1	70051	15	1												
1140	0	0		0	70061	30	1	70051	30	1												
1141	0	0		0	70062	20	1	70052	20	1												
																						
1142	0	0		0	70051	10	1															
1143	0	0		0	70051	20	1															
1144	0	0		0	70051	30	1															
1145	0	0		0	70051	40	1															
1146	0	0		0	70051	50	1															
1147	0	0		0	70051	60	1															
1148	0	0		0	70051	100	1															
																						
1149	0	0		0	9172	1	1	71002	5	1	71003	5	1									
																						
1150	0	0		0	73902	10	1	73903	10	1	73904	10	1									
																						
1151	0	0		0	72006	10	1															
1152	0	0		0	72008	10	1															
1153	0	0		0	72006	10	1	72008	10	1												
1154	0	0		0	72006	10	1	72008	10	1	72007	10	1									
1155	0	0		0	72006	20	1	72008	20	1	72007	20	1									
																						
1156	0	0		0	71007	5	1	72004	5	1												
1157	0	0		0	71007	10	1	72004	10	1												
1158	0	0		0	71007	15	1	72004	15	1												
1159	0	0		0	71007	20	1	72004	20	1												
1160	0	0		0	71007	25	1	72004	25	1												
1161	0	0		0	71007	30	1	72004	30	1												
																						
1162	0	0		0	9213	1	1	20010	10	1	20021	10	1	20004	2	1						
																						
1163	0	0		0	9212	2	1	73962	5	1	20010	5	1									
1164	0	0		0	9212	2	1	73962	10	1	20010	8	1									
1165	0	0		0	9212	3	1	73962	15	1	20010	10	1									
1166	0	0		0	9213	2	1	73962	10	1	20010	10	1									
1167	0	0		0	9213	3	1	73962	15	1	20010	15	1									
1168	0	0		0	9213	5	1	73962	20	1	20010	20	1									
1169	0	0		0	9213	4	1	73962	15	1	20010	15	1									
1170	0	0		0	9213	4	1	73962	20	1	20010	20	1									
1171	0	0		0	9213	8	1	73962	25	1	20010	50	1									
																						
1172	0	0		0	73962	5	1	20010	10	1												
1173	0	0		0	73962	10	1	20010	20	1												
1174	0	0		0	73962	15	1	20010	30	1												
1175	0	0		0	73962	20	1	20010	40	1												
1176	0	0		0	73962	50	1	20010	50	1												
																						
																						
1177	0	80		0																		
1178	0	120		0																		
1179	0	300		0																		
1180	0	1000		0																		
1181	0	1500		0																		
																						
1182	0	0		0	72006	10	1															
1183	0	0		0	72008	10	1															
1184	0	0		0	72006	10	1	72008	10	1												
1185	0	0		0	72006	10	1	72008	10	1	72007	10	1									
1186	0	0		0	72006	20	1	72008	20	1	72007	20	1									
																						
																						
																						
1187	0	0		0	71001	10	1	71073	10	1	71002	10	1	71003	10	1						
1188	0	0		0	71001	20	1	71073	20	1	71002	15	1	71003	15	1						
1189	0	0		0	73959	10	1	71002	20	1	71003	20	1	73978	5	1						
1190	0	0		0	73959	20	1	71002	25	1	71003	25	1	73978	10	1						
1191	0	0		0	73978	25	1															
1192	0	0		0	73978	30	1															
																						
1193	0	0		0	71002	10	1	71003	10	1	73959	5	1									
1194	0	0		0	71002	10	1	71003	10	1	73959	10	1	73978	1	1						
1195	0	0		0	71002	15	1	71003	15	1	73959	15	1	73978	1	1						
1196	0	0		0	71002	20	1	71003	20	1	73959	20	1	73978	5	1						
																						
																						
1197	0	100		0																		
1198	0	100		0																		
1199	0	300		0																		
1200	0	500		0																		
1201	0	1000		0																		
1202	0	3000		0																		
																						
																						
1203	0	100		0																		
1204	0	200		0																		
1205	0	500		0																		
1206	0	1000		0																		
1207	0	2000		0																		
1208	0	5000		0																		
																						
1209	0	75		0																		
1210	0	150		0																		
1211	0	300		0																		
1212	0	750		0																		
1213	0	1500		0																		
1214	0	3000		0																		
1215	0	4500		0																		
1216	0	7500		0																		
																						
																						
1217	0	0		0	9628	1	1															
																						
1218	0	0		0	2002	1	1															
1219	0	0		0	2002	1	1															
1220	0	0		0	2002	1	1															
1221	0	0		0	2002	1	1															
1222	0	0		0	2002	1	1															
1223	0	0		0	2002	1	1															
1224	0	0		0	2002	1	1															
																						
1225	0	0		0	73978	1	1															
1226	0	0		0	73978	1	1															
1227	0	0		0	73978	2	1															
1228	0	0		0	73978	3	1															
1229	0	0		0	73978	5	1															
1230	0	0		0	73978	10	1															
1231	0	0		0	73978	20	1															
																						
1232	0	0		0	9717	1	1															
																						
1233	0	0		0	9718	1	1															
																						
1234	0	0		0	2002	1	1	71001	5	1	70031	5	1	77777	5	1						
1235	0	0		0	2002	1	1	71073	5	1	70061	5	1	77779	5	1						
1236	0	0		0	2002	1	1	71001	5	1	71073	5	1	72001	5	1						
																						
1237	0	50		0																		
1238	0	100		0																		
1239	0	200		0																		
1240	0	500		0																		
1241	0	1000		0																		
1242	0	2000		0																		
1243	0	3000		0																		
1244	0	5000		0																		
																						
1245	0	0		0	71001	10	1	71073	10	1	73959	3	1	9172	1	1						
1246	0	0		0	71001	15	1	71073	15	1	73959	5	1	9172	2	1						
1247	0	0		0	71001	20	1	71073	20	1	73959	8	1	9149	1	1						
																						
1248	0	0		0	72001	10	1	72004	10	1	73901	20	1	9172	1	1						
1249	0	0		0	72002	10	1	72004	15	1	73902	20	1	9172	2	1						
1250	0	0		0	72002	20	1	72004	20	1	73903	20	1	9149	1	1						
																						
1251	0	0		0	9277	1	1	73960	1	1	73978	1	1	73961	1	1						
1252	0	0		0	9277	2	1	73960	2	1	73978	1	1	73961	2	1						
1253	0	0		0	9277	3	1	73960	3	1	73978	1	1	73961	3	1						
1254	0	0		0	9277	5	1	73960	5	1	73978	2	1	73961	5	1						
																						
1255	0	0		0	72006	15	1															
1256	0	0		0	72008	15	1															
1257	0	0		0	72006	15	1	72008	15	1												
1258	0	0		0	72006	15	1	72008	15	1	72007	15	1									
1259	0	0		0	72006	25	1	72008	25	1	72007	25	1									
																						
1260	0	0		0	73984	1	1	73965	1	1	2002	1	1									
1261	0	0		0	73984	1	1	2002	1	1												
1262	0	0		0	73984	1	1	2002	1	1												
																						
1263	0	0		0	9848	5	1	9213	1	1												
1264	0	0		0	9848	10	1	9213	1	1												
1265	0	0		0	9848	15	1	9213	2	1												
1266	0	0		0	30024	1	1	9213	3	1												
																						
1267	0	0		0	73978	1	1															
																						
1268	0	0		0	20030	5	1															
1269	0	0		0	20030	8	1															
1270	0	0		0	20030	10	1															
1271	0	0		0	20030	15	1															
1272	0	0		0	20030	20	1															
																						
1273	0	0		0	9864	1	1															
																						
1274	0	50		0																		
1275	0	100		0																		
1276	0	300		0																		
1277	0	750		0																		
1278	0	2500		0																		
1279	0	5000		0																		
1280	0	9000		0																		
1281	0	15000		0																		
																						
1282	0	0		0	20031	5	1															
1283	0	0		0	20031	8	1															
1284	0	0		0	20031	10	1															
1285	0	0		0	20031	15	1															
1286	0	0		0	20031	20	1															
																						
1287	0	0		0	73986	2	1															
1288	0	0		0	73987	5	1															
1295	0	0		0	73985	10	1															
																						
1289	0	0		0	73983	1	1															
																						
1290	0	0		0	73978	1	1															
1291	0	0		0	73978	2	1															
1292	0	0		0	73978	5	1															
1293	0	0		0	73978	10	1															
1294	0	0		0	73978	20	1															
