id	zp	gold	silver	exp	honor	factionIntegral	factionContribute	mustGoods1	mustNo1	mustBind1	mustGoods2	mustNo2	mustBind2	mustGoods3	mustNo3	mustBind3	mustGoods4	mustNo4	mustBind4	mustGoods5	mustNo5	mustBind5	mustGoods6	mustNo6	mustBind6
523	100		50	10400				200008	1	1															
525	100		50	11000																					
526	100		50	11000																					
527	100		50	11600																					
528	100		50	11600																					
529	100		50	11600				6100303	1	1	6101303	1	1	6102303	1	1									
530	100		50	11600																					
531	100		50	11600																					
532	100		50	12200																					
533	100		50	12200				6101305	1	1	6100305	1	1	6102305	1	1									
534	100		50	12200																					
535	100		50	12200																					
536	100		50	12200																					
537	100		50	12800																					
538	100		50	12800				6100304	1	1	6101304	1	1	6102304	1	1									
539	100		50	12800																					
540	100		50	12800																					
541	100		50	12800																					
542	100		50	12800																					
1002	50		50	400				9131	1	1	9137	1	1	9143	1	1									
1003	50		50	2300				6010307	1	1	6011307	1	1	6012307	1	1									
1004	50		50	3200																					
1005	50		50	3800				6010302	1	1	6011302	1	1	6012302	1	1									
1006	50		50	3800																					
1007	50		50	4400																					
1008	50		50	5000																					
1009	50		50	5600																					
1010	50		50	6200																					
1011	100		50	6800																					
1012	100		50	7400																					
1013	100		50	8000				6100306	1	1	6101306	1	1	6102306	1	1									
1014	100		50	8600																					
1015	100		50	9200																					
1016	100		50	9200																					
1017	100		50	9800				6100300	1	1	6101300	1	1	6102300	1	1									
1020	100		50	9800																					
1021	100		50	9800																					
1022	100		50	10400																					
1023	100		50	10400				200008	1	1															
1025	100		50	11000																					
1026	100		50	11000																					
1027	100		50	11600																					
1028	100		50	11600																					
1029	100		50	11600				6100303	1	1	6101303	1	1	6102303	1	1									
1030	100		50	11600																					
1031	100		50	11600																					
1032	100		50	12200																					
1033	100		50	12200				6101305	1	1	6100305	1	1	6102305	1	1									
1034	100		50	12200																					
1035	100		50	12200																					
1036	100		50	12200																					
1037	100		50	12800																					
1038	100		50	12800				6100304	1	1	6101304	1	1	6102304	1	1									
1039	100		50	12800																					
1040	100		50	12800																					
1041	100		50	12800																					
1042	100		50	12800																					
2912	100		100	13400				70001	10	1	70012	5	1												
1501	100		100	13400				23001	5	1															
1502	100		100	13400																					
1503	100		100	13400																					
1504	200		100	13400																					
2905	200		100	13400				71001	1	1															
1505	200		100	13400				71001	1	1							71073	2	1						
1506	200		100	14000																					
1507	200		100	14000				6200302	1	1	6201302	1	1	6202302	1	1									
1508	200		100	14000																					
1509	200		100	14000				23001	5	1															
1510	200		100	14000																					
1511	200		100	64000				71001	1	1	70001	5	1												
2913	200		100	14600				70031	5	1															
2914	200		100	14600																					
2915	200		100	134600				6202307	1	1	6201307	1	1	6200307	1	1									
1512	200		100	15200																					
1513	200		100	15200				71045	1	1															
1514	200		100	15200																					
1515	200		100	15200				6200303	1	1	6201303	1	1	6202303	1	1	70001	10	1						
1516	200		100	15200				23001	10	1	70001	10	1												
1517	200		100	90200				71001	1	1	70001	15	1												
1518	200		100	15800																					
1519	200		100	15800				6200308	1	1	6201308	1	1	6202308	1	1									
1520	200		100	15800																					
1521	200		100	15800																					
1522	200		100	15800																					
1523	200		100	15800				6202300	1	1	6201300	1	1	6200300	1	1									
1524	200		100	15800				2100001	1	1															
1525	200		100	15800																					
1526	200		100	18800																					
2916	200		100	75800				6200301	1	1	6201301	1	1	6202301	1	1	70001	3	1						
1527	200		100	16400																					
1528	200		100	16400																					
1529	200		100	16400																					
1530	200		100	16400				77807	1	1															
1531	200		100	16400																					
2927	200		100	116400				71001	2	1	70001	3	1												
1532	200		100	16400																					
1533	200		100	16400				23001	10	1	23002	5	1												
2930			10000	17000																					
1534	200		100	17000																					
1535	200		100	17000																					
1536	200		100	17000				6200305	1	1	6201305	1	1	6202305	1	1									
1537	200		100	17000																					
1538	200		600	27000				71001	6	1															
1539	200		600	17600																					
1540	200		600	17600																					
1541	200		600	17600				6200306	1	1	6201306	1	1	6202306	1	1	71001	3	1						
1542	200		600	17600																					
1543	200		600	17600				71005	3	1															
1544	200		600	17600				6666666	1	1															
1545	200		600	37600				72001	6	1															
1546	200		600	27600				71004	3	1															
1547	200		600	17600																					
1548	200		600	17600																					
1549	200		600	25000				71001	3	1															
1550	200		600	18200				23001	20	1															
1551	200		600	38200																					
2900	200		600	18200																					
2901	200		600	38200																					
1552	200		600	18200				6200304	1	1	6201304	1	1	6202304	1	1									
2902	200		600	38200																					
2903	200		600	18200																					
2904	200		600	48200				71001	3	1															
1553	200		600	20000																					
1554	200		600	20000				72001	1	1															
1555	200		600	20000																					
2917	200		600	20000																					
2918	200		600	20000																					
2919	200		600	70000				71001	3	1															
2921	200		600	120000				6200309	1	1	6201309	1	1	6202309	1	1	71001	6	1						
1556	300		20000	23				71001	3	1	6300307	1	1	6301307	1	1	6302307	1	1						
2744	300		1000	23				6300306	1	1	6301306	1	1	6302306	1	1									
2743	300		1000	10000				71073	1	1															
2746	300		1000	10000				71001	3	1	70041	2	1												
2747	300		1000	10000				6300302	1	1	6301302	1	1	6302302	1	1									
2751	300		1000	10000				71073	2	1															
1557	300		1000	23																					
1558	300		1000	23																					
1559	300		1000	23																					
1560	300		1000	23				9231	2	1															
2754	300		1000	10000				6302309	1	1	6301309	1	1	6300309	1	1									
1561	300		1000	23				6300300	1	1	6301300	1	1	6302300	1	1									
1562	300		1000	23																					
1563	300		1000	23																					
1564	300		1000	23				71073	1	1															
1565	300		1000	23																					
1566	300		1000	23				23001	15	1	23002	5	1												
2922	300		1000	23				71001	1	1	72001	1	1												
2923	300		1000	23				71073	1	1	72001	1	1												
1567	300		1000	23																					
1568	300		1000	23																					
1569	300		1000	23				6300303	1	1	6301303	1	1	6302303	1	1									
1570	300		1000	23																					
1571	300		1000	23																					
1572	300		1000	23				71004	3	1															
2752	300		1000	10000				71004	1	1															
1573	300		1000	23																					
1574	300		1000	23																					
1575	300		1000	23				23001	15	1	23002	5	1												
1576	300		1000	23																					
1577	300		1000	23				6300308	1	1	6301308	1	1	6302308	1	1									
1578	300		1000	23																					
1579	300		1000	23																					
1580	300		1000	23																					
1581	300		1000	23																					
1582	300		1000	23				6010410	1	1	6011410	1	1	6012410	1	1	73901	3	1						
2753	300		1000	10000				73901	1	1															
1583	300		1000	23																					
1584	300		1000	23																					
1585	300		1000	23																					
1586	300		1000	23																					
1587	300		1000	23				200009	1	1															
1588	300		1000	23																					
1589	300		1000	23																					
1590	300		1000	23				77781	1	1															
1591	300		1000	23																					
1592	300		1000	23																					
1593	300		1000	23				6302304	1	1	6300304	1	1	6301304	1	1	10103	1	1						
1594	300		1000	23																					
1595	300		1000	23																					
1596	300		1000	23																					
1597	300		1000	23																					
1598	300		1000	23																					
1599	300		1000	23				71073	1	1	71005	1	1	10101	1	1									
2749				10000				71073	1	1	70001	2	1	10102	2	1									
1600	300		1000	23																					
1601	300		1000	23																					
1602	300		1000	23																					
1603	300		1000	23																					
1604	300		1000	23				71073	1	1															
1605	300		1000	23																					
1606	300		1000	23																					
1607	300		1000	23																					
1608	300		1000	23																					
1609	300		1000	23																					
1610	300		1000	23				71004	1	1															
1611	300		1000	23																					
1612	400		1500	23																					
1613	400		1500	23				70061	3	1															
1614	400		1500	23																					
1615	400		1500	23																					
1616	400		1500	23																					
1617	400		1500	23				6302305	1	1	6301305	1	1	6300305	1	1									
1618	400		1500	23																					
1619	400		1500	23																					
2924	400		1500	23				70051	1	1															
1620	400		1500	23																					
1621	400		1500	23																					
1622	400		1500	23																					
1623	400		1500	23				70001	2	1	71073	1	1	72001	2	1									
2750	200		500	10000				70061	2	1	10104	1	1	71001	1	1									
1624	400		1500	23																					
1625	400		1500	23				71001	1	1															
1626	400		1500	23																					
1627	400		1500	23																					
1628	400		1500	23																					
1629	400		1500	23																					
1630	400		1500	23																					
1631	400		1500	23				6302301	1	1	6301301	1	1	6300301	1	1									
1632	400		1500	23																					
1633	400		1500	23																					
1634	400		1500	23																					
2925	400		1500	23				70051	1	1															
1635	400		1500	23																					
1636	400		1500	23																					
1637	400		1500	23																					
1638	400		1500	23																					
1639	400		1500	23																					
1640	400		1500	23																					
1641	400		1500	23																					
1642	400		1500	23				71073	3	1	70001	2	1												
1643	400		1500	23																					
1644	400		1500	23																					
1645	400		1500	23																					
1646	400		1500	23																					
1647	400		1500	23																					
1648	400		1500	23				10103	1	1															
1649	400		1500	23																					
1650	400		1500	23																					
1651	400		1500	23																					
1652	400		1500	23																					
1653	400		1500	23																					
1654	400		1500	23																					
2926	400		1500	23				70061	2	1	70051	1	1												
1655	400		1500	23																					
1656	400		1500	23																					
1657	400		1500	23																					
1658	400		1500	23																					
1659	400		1500	23																					
1660	400		1500	23				72001	2	1															
1661	400		1500	23																					
1662	400		1500	23																					
1663	400		1500	23																					
1664	400		1500	23																					
1665	400		1500	23																					
2929	400		1500	23				71001	1	1	70051	1	1												
1666	400		1500	23																					
1667	400		1500	23																					
1668	400		1500	23																					
1669	400		1500	23																					
1670	400		1500	23																					
1671	400		1500	23																					
1672	500		1500	23																					
1673	500		1500	23				10101	1	1															
1674	500		1500	23																					
1675	500		1500	23																					
1676	500		1500	23																					
1677	500		1500	23																					
1678	500		1500	23																					
2928	500		1500	23				71073	1	1	70051	1	1												
1679	500		23	23				30201	1	1															
1680	500		23	23																					
1681	500		23	23				24001	10	1	24002	10	1												
1682	500		23	23																					
1683	500		23	23																					
1684	500		23	23																					
1685	500		23	23				200010	1	1															
1686	500		23	23																					
1687	500		23	23																					
1688	500		23	23																					
1689	500		23	23																					
1690	500		23	23				73913	10	1															
1691	500		23	23																					
1692	500		23	23																					
1693	500		23	23																					
1694	500		23	23																					
1695	500		23	23				71073	1	1															
1696	500		23	23				24001	10	1	24002	10	1												
1697	500		23	23																					
1698	500		23	23																					
1699	500		23	23																					
1700	500		23	23																					
1701	500		23	23																					
1702	500		23	23				73913	10	1															
1703	500		23	23																					
1704	500		23	23																					
1705	500		23	23																					
1706	500		23	23																					
1707	500		23	23																					
1708	500		23	23																					
1709	500		23	23				24001	10	1	24002	10	1												
1710	500		23	23																					
1711	500		23	23																					
1712	500		23	23																					
1713	500		23	23																					
1714	500		23	23																					
1715	500		23	23				73913	1	1															
1716	500		23	23																					
1717	500		23	23																					
1718	500		23	23																					
1719	500		23	23				71001	1	1															
1720	500		23	23																					
1721	500		23	23																					
1722	500		23	23																					
1723	500		23	23																					
1724	500		23	23																					
1725	500		23	23																					
1726	500		23	23				24001	10	1	24002	10	1												
1727	500		23	23																					
1728	500		23	23																					
1729	500		23	23																					
1730	500		23	23																					
1731	500		23	23																					
1732	500		23	23				73913	1	1															
1733	500		23	23																					
1734	500		23	23																					
1735	500		23	23																					
1736	500		23	23																					
1737	500		23	23				71073	1	1															
1738	500		23	23																					
1739	500		23	23																					
1740	500		23	23																					
1741	500		23	23																					
1742	500		23	23																					
1743	500		23	23																					
1744	500		23	23				73913	1	1															
1745	500		23	23																					
1746	500		23	23																					
1747	500		23	23																					
1748	500		23	23																					
1749	500		23	23				70001	2	1															
1750	500		23	23																					
1751	500		23	23																					
1752	500		23	23																					
1753	500		23	23																					
1754	500		23	23																					
1755	500		23	23				73913	1	1															
1756	500		23	23																					
1757	500		23	23																					
1758	500		23	23																					
1759	500		23	23				72002	1	1															
1760	500		23	23																					
1761	500		23	23																					
1762	500		23	23																					
1763	500		23	23				70041	2	1															
1764	500		23	23																					
1765	500		23	23																					
1766	500		23	23																					
1767	500		23	23																					
1768	500		23	23																					
1769	500		23	23																					
1770	500		23	23																					
1771	500		23	23				71073	1	1															
1772	500		23	23																					
1773	500		23	23																					
1774	500		23	23																					
1775	500		23	23																					
1776	500		23	23																					
1777	500		23	23																					
1778	500		23	23				24001	10	1	24002	10	1												
1779	500		23	23																					
1780	500		23	23																					
1781	500		23	23																					
1782	500		23	23																					
1783	500		23	23																					
1784	500		23	23																					
1785	500		23	23				71073	1	1															
1786	500		23	23																					
1787	500		23	23																					
1788	500		23	23																					
1789	500		23	23				71004	2	1															
1790	500		23	23																					
1791	500		23	23																					
1792	500		23	23																					
1793	500		23	23																					
1794	500		23	23																					
1795	500		23	23				70041	2	1															
1796	500		23	23																					
1797	500		23	23																					
1798	500		23	23				71046	1	1															
1799	500		23	23																					
1800	500		23	23																					
1801	500		23	23																					
1802	500		23	23																					
1803	500		23	23																					
1804	500		23	23																					
1805	500		23	23				70012	1	1															
1806	500		23	23																					
1807	500		23	23																					
1808	500		23	23																					
1809	500		23	23																					
1810	500		23	23																					
1811	500		23	23																					
1812	500		23	23																					
1813	500		23	23																					
1814	500		23	23				30101	1	1															
1815	500		23	23																					
1816	500		23	23																					
1817	500		23	23																					
1818	500		23	23																					
1819	500		23	23																					
1820	500		23	23																					
1821	500		23	23																					
1822	500		23	23																					
1823	500		23	23																					
1824	500		23	23																					
1825	500		23	23																					
1826	500		23	23																					
1827	500		23	23																					
1828	500		23	23																					
1829	500		23	23																					
1830	500		23	23																					
1831	500		23	23																					
1832	500		23	23																					
1833	500		23	23																					
1834	500		23	23																					
1835	500		23	23																					
1836	500		23	23																					
1837	500		23	23																					
1838	500		23	23																					
1839	500		23	23																					
1840	500		23	23																					
1841	500		23	23																					
1842	500		23	23																					
1843	500		23	23																					
1844	500		23	23																					
1845	500		23	23																					
1846	500		23	23																					
1847	500		23	23																					
1848	500		23	23																					
1849	500		23	23																					
1850	500		23	23																					
1851	500		23	23																					
1852	500		23	23																					
1853	500		23	23																					
1854	500		23	23																					
1855	500		23	23																					
1856	500		23	23																					
1857	500		23	23																					
1858	500		23	23																					
1859	500		23	23																					
1860	500		23	23																					
1861	500		23	23																					
1862	500		23	23																					
1863	500		23	23																					
1864	500		23	23																					
1865	500		23	23																					
1866	500		23	23																					
1867	500		23	23																					
1868	500		23	23																					
1869	500		23	23																					
1870	500		23	23				200011	1	1															
1871	500		23	23																					
1872	500		23	23																					
1873	500		23	23																					
1874	500		23	23																					
1875	500		23	23																					
1876	500		23	23																					
1877	500		23	23																					
1878	500		23	23				71047	1	1															
1879	500		23	23																					
1880	500		23	23																					
1881	500		23	23																					
1882	500		23	23																					
1883	500		23	23																					
1884	500		23	23																					
1885	500		23	23																					
1886	500		23	23																					
1887	500		23	23																					
1888	500		23	23																					
1889	500		23	23																					
1890	500		23	23																					
1891	500		23	23																					
1892	500		23	23																					
1893	500		23	23																					
1894	500		23	23																					
1895	500		23	23																					
1896	500		23	23																					
1897	500		23	23																					
1898	500		23	23																					
1899	500		23	23																					
1900	500		23	23																					
1901	500		23	23																					
1902	500		23	23																					
1903	500		23	23																					
1904	500		23	23																					
1905	500		23	23																					
1906	500		23	23																					
1907	500		23	23																					
1908	500		23	23																					
1909	500		23	23																					
1910	500		23	23																					
1911	500		23	23																					
1912	500		23	23																					
1913	500		23	23																					
1914	500		23	23																					
1915	500		23	23																					
1916	500		23	23																					
1917	500		23	23																					
1918	500		23	23																					
1919	500		23	23																					
1920	500		23	23																					
1921	500		23	23																					
1922	500		23	23																					
1923	500		23	23																					
1924	500		23	23																					
1925	500		23	23																					
1926	500		23	23																					
1927	500		23	23																					
1928	500		23	23																					
1929	500		23	23																					
1930	500		23	23																					
1931	500		23	23																					
1932	500		23	23																					
1933	500		23	23																					
1934	500		23	23																					
1935	500		23	23																					
1936	500		23	23																					
1937	500		23	23																					
1938	500		23	23																					
1939	500		23	23																					
1940	500		23	23																					
1941	500		23	23																					
1942	500		23	23																					
1943	500		23	23																					
1944	500		23	23																					
1945	500		23	23																					
1946	500		23	23																					
1947	500		23	23																					
1948	500		23	23																					
1949	500		23	23																					
1950	500		23	23																					
1951	500		23	23																					
1952	500		23	23																					
1953	500		23	23																					
1954	500		23	23																					
1955	500		23	23																					
1956	500		23	23																					
1957	500		23	1000																					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
3529			23	23																					
3530			23	23																					
3531			23	23																					
3532			23	23																					
3533			23	23																					
3534			23	23																					
3535			23	23																					
3536			23	23																					
3537			23	23																					
3538			23	23																					
3539			23	23																					
3540			23	23																					
3541			23	23																					
3542			23	23																					
3543			23	23																					
3544			23	23																					
3545			23	23																					
3546			23	23																					
3547			23	23																					
3548			23	23																					
3549			23	23																					
3550			23	23																					
3551			23	23																					
3552			23	23																					
3553			23	23																					
3554			23	23																					
3555			23	23																					
3556			23	23																					
3557			23	23																					
3558			23	23																					
3559			23	23																					
3560			23	23																					
3561			23	23																					
3562			23	23																					
3563			23	23																					
3564			23	23																					
3565			23	23																					
3566			23	23																					
3567			23	23																					
3568			23	23																					
3569			23	23																					
3570			23	23																					
3571			23	23																					
3572			23	23																					
3573			23	23																					
3574			23	23																					
3575			23	23																					
3576			23	23																					
3577			23	23																					
3578			23	23																					
3579			23	23																					
3580			23	23																					
3581			23	23																					
3582			23	23																					
3583			23	23																					
3584			23	23																					
3585			23	23																					
3586			23	23																					
3587			23	23																					
3588			23	23																					
3589			23	23																					
3590			23	23																					
3591			23	23																					
3592			23	23																					
3593			23	23																					
3594			23	23																					
3595			23	23																					
3596			23	23																					
3597			23	23																					
3598			23	23																					
3599			23	23																					
3600			23	23																					
3601			23	23																					
3602			23	23																					
3603			23	23																					
3604			23	23																					
3605			23	23																					
3606			23	23																					
3607			23	23																					
3608			23	23																					
3609			23	23																					
3610			23	23																					
3611			23	23																					
3612			23	23																					
3613			23	23																					
3614			23	23																					
3615			23	23																					
3616			23	23																					
3617			23	23																					
3618			23	23																					
3619			23	23																					
3620			23	23																					
3621			23	23																					
3622			23	23																					
3623			23	23																					
3624			23	23																					
3625			23	23																					
3626			23	23																					
3627			23	23																					
3628			23	23																					
3629			23	23																					
3630			23	23																					
3631			23	23																					
3632			23	23																					
3633			23	23																					
3634			23	23																					
3635			23	23																					
3636			23	23																					
3637			23	23																					
3638			23	23																					
3639			23	23																					
3640			23	23																					
3641			23	23																					
3642			23	23																					
3643			23	23																					
3644			23	23																					
3645			23	23																					
3646			23	23																					
3647			23	23																					
3648			23	23																					
3649			23	23																					
3650			23	23																					
3651			23	23																					
3652			23	23																					
3653			23	23																					
3654			23	23																					
3655			23	23																					
3656			23	23																					
3657			23	23																					
3658			23	23																					
3659			23	23																					
3660			23	23																					
3661			23	23																					
3662			23	23																					
8001			23	23																					
8002			23	23																					
8003			23	23																					
8004			23	23																					
8005			23	23																					
8006			23	23																					
8007			23	23																					
8008			23	23																					
8009			23	23																					
8010			23	23																					
8011			23	23																					
8012			23	23																					
8013			23	23																					
8014			23	23																					
8015			23	23																					
8016			23	23																					
8017			23	23																					
8018			23	23																					
8019			23	23																					
8020			23	23																					
8021			23	23																					
8022			23	23																					
8023			23	23																					
8024			23	23																					
8025			23	23																					
8026			23	23																					
8027			23	23																					
8028			23	23																					
8029			23	23																					
8030			23	23																					
8031			23	23																					
8032			23	23																					
8033			23	23																					
8034			23	23																					
8035			23	23																					
8036			23	23																					
8037			23	23																					
8038			23	23																					
8039			23	23																					
8040			23	23																					
8041			23	23																					
8042			23	23																					
8043			23	23																					
8044			23	23																					
8064			23	23																					
8065			23	23																					
8066			23	23																					
8067			23	23																					
5153			23	23																					
5155			23	23																					
5149			23	23																					
5163			23	23																					
3663			23	23																					
3664			23	23																					
																									
																									
																									
5164			23	23																					
5165			23	23																					
5166			23	23																					
5167			23	23																					
5168			23	23																					
5169			23	23																					
5170			23	23																					
5171			23	23																					
5172			23	23																					
5173			23	23																					
5174			23	23																					
5175			23	23																					
5176			23	23																					
5177			23	23																					
5178			23	23																					
5179			23	23																					
5180			23	23																					
5181			23	23																					
5182			23	23																					
5183			23	23																					
5184			23	23																					
5185			23	23																					
5186			23	23																					
5187			23	23																					
5188			23	23																					
5189			23	23																					
5190			23	23																					
5191			23	23																					
5192			23	23																					
5193			23	23																					
5194			23	23																					
5195			23	23																					
5196			23	23																					
5197			23	23																					
5198			23	23																					
5199			23	23																					
5200			23	23																					
5201			23	23																					
5202			23	23																					
5203			23	23																					
5204			23	23																					
5205			23	23																					
5206			23	23																					
5207			23	23																					
5208			23	23																					
5209			23	23																					
5210			23	23																					
5211			23	23																					
5212			23	23																					
5213			23	23																					
5214			23	23																					
5215			23	23																					
5216			23	23																					
5217			23	23																					
5218			23	23																					
5219			23	23																					
5220			23	23																					
5221			23	23																					
5222			23	23																					
5223			23	23																					
5224			23	23																					
5225			23	23																					
5226			23	23																					
5227			23	23																					
5228			23	23																					
10007								71001	1	1	71073	1	1												
10008								71001	1	1	71073	1	1												
10009								71001	1	1	71073	1	1												
10001			4800	33000																					
10002			2400	16500				71001	1	1	71073	1	1												
10003			2400	16500				71001	1	1	71073	1	1												
10010			6000	44000																					
10011			3000	22000				71001	1	1	71073	1	1												
10012			3000	22000				71001	1	1	71073	1	1												
10013			7000	48000																					
10014			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10015			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10016			8800	86000																					
10017			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10018			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10019			10000	172800																					
10020			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10021			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10022			11800	224640																					
10023			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10024			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10025			12600	292040																					
10026			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10027			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10028			14400	379640																					
10029			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10030			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10031			16600	493520																					
10032			8300	246760				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10033			8300	246760				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10034			17200	641600																					
10035			8600	320800				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10036			8600	320800				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10037			4800	33000																					
10038			2400	16500				71001	1	1	71073	1	1												
10039			2400	16500				71001	1	1	71073	1	1												
10040			6000	44000																					
10041			3000	22000				71001	1	1	71073	1	1												
10042			3000	22000				71001	1	1	71073	1	1												
10043			7000	48000																					
10044			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10045			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10046			8800	86000																					
10047			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10048			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10049			10000	172800																					
10050			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10051			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10052			11800	224640																					
10053			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10054			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10055			12600	292040																					
10056			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10057			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10058			14400	379640																					
10059			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10060			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10061			16600	493520																					
10062			8300	246760				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10063			8300	246760				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10064			17200	641600																					
10065			8600	320800				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10066			8600	320800				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10067			4800	33000																					
10068			2400	16500				71001	1	1	71073	1	1												
10069			2400	16500				71001	1	1	71073	1	1												
10070			6000	44000																					
10071			3000	22000				71001	1	1	71073	1	1												
10072			3000	22000				71001	1	1	71073	1	1												
10073			7000	48000																					
10074			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10075			3500	24000				71001	1	1	71073	1	1	71002	1	1									
10076			8800	86000																					
10077			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10078			4400	43000				71001	1	1	71073	1	1	71002	1	1									
10079			10000	172800																					
10080			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10081			5000	86400				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10082			11800	224640																					
10083			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10084			5900	112320				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10085			12600	292040																					
10086			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10087			6300	146020				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10088			14400	379640																					
10089			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10090			7200	189820				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
10091			16600	493520																					
10092			8300	246760				71001	1	1	71073	1	1	71002	1	1	71003	1	1						
