gridId	minLevel	maxLevel	imageId	event1Id	event1Prob	event2Id	event2Prob	event3Id	event3Prob	event4Id	event4Prob	event5Id	event5Prob	event6Id	event6Prob
14	35	39	286	10137	25	10138	25	10139	25	10140	25				
15	35	39	290	10013	50	10014	50	10019	25	10020	25	10021	25	10022	25
16	35	39	26	10179	100										
17	35	39	287	10137	25	10138	25	10139	25	10140	25				
18	35	39	293	10015	25	10016	25	10137	25	10199	25	10200	25	10201	25
19	35	39	292	10015	25	10016	25	10017	25	10018	25	10023	25	10024	25
0	40	44	285	10177	100										
1	40	44	286	10141	25	10142	25	10143	25	10144	25				
2	40	44	290	10025	25	10026	25	10031	25	10032	25	10033	25	10034	25
3	40	44	293	10027	25	10028	25	10141	25	10203	25	10204	25	10205	25
4	40	44	291	10025	25	10026	25	10031	25	10032	25	10033	25	10034	25
5	40	44	287	10141	25	10142	25	10143	25	10144	25				
6	40	44	294	10180	100										
7	40	44	292	10027	25	10028	25	10029	25	10030	25	10035	25	10036	25
8	40	44	293	10027	25	10028	25	10141	25	10206	25	10207	25	10208	25
9	40	44	286	10141	25	10142	25	10143	25	10144	25				
10	40	44	288	10178	100										
11	40	44	292	10027	25	10028	25	10029	25	10030	25	10035	25	10036	25
12	40	44	286	10141	25	10142	25	10143	25	10144	25				
13	40	44	293	10027	25	10028	25	10141	25	10206	25	10207	25	10208	25
14	40	44	286	10141	25	10142	25	10143	25	10144	25				
15	40	44	290	10025	25	10026	25	10031	25	10032	25	10033	25	10034	25
16	40	44	26	10179	100										
17	40	44	287	10141	25	10142	25	10143	25	10144	25				
18	40	44	293	10027	25	10028	25	10141	25	10203	25	10204	25	10205	25
19	40	44	292	10027	25	10028	25	10029	25	10030	25	10035	25	10036	25
0	45	49	285	10177	100										
1	45	49	286	10145	25	10146	25	10147	25	10148	25				
2	45	49	290	10037	25	10038	25	10043	25	10044	25	10045	25	10046	25
3	45	49	293	10039	25	10040	25	10145	25	10217	25	10218	25	10219	25
4	45	49	291	10037	25	10038	25	10043	25	10044	25	10045	25	10046	25
5	45	49	287	10145	25	10146	25	10147	25	10148	25				
6	45	49	294	10180	100										
7	45	49	292	10039	25	10040	25	10041	25	10042	25	10047	25	10048	25
8	45	49	293	10039	25	10040	25	10145	25	10220	25	10221	25	10222	25
9	45	49	286	10145	25	10146	25	10147	25	10148	25				
10	45	49	288	10178	100										
11	45	49	292	10039	25	10040	25	10041	25	10042	25	10047	25	10048	25
12	45	49	286	10145	25	10146	25	10147	25	10148	25				
13	45	49	293	10039	25	10040	25	10145	25	10217	25	10218	25	10219	25
14	45	49	286	10145	25	10146	25	10147	25	10148	25				
15	45	49	290	10037	25	10038	25	10043	25	10044	25	10045	25	10046	25
16	45	49	26	10179	100										
17	45	49	287	10145	25	10146	25	10147	25	10148	25				
18	45	49	293	10039	25	10040	25	10145	25	10220	25	10221	25	10222	25
19	45	49	292	10039	25	10040	25	10041	25	10042	25	10047	25	10048	25
0	50	54	285	10177	100										
1	50	54	286	10149	25	10150	25	10151	25	10152	25				
2	50	54	290	10049	25	10050	25	10055	25	10056	25	10057	25	10058	25
3	50	54	293	10051	25	10052	25	10149	25	10230	25	10231	25	10232	25
4	50	54	291	10049	25	10050	25	10055	25	10056	25	10057	25	10058	25
5	50	54	287	10149	25	10150	25	10151	25	10152	25				
6	50	54	294	10180	100										
7	50	54	292	10051	25	10052	25	10053	25	10054	25	10059	25	10060	25
8	50	54	293	10051	25	10052	25	10149	25	10227	25	10228	25	10229	25
9	50	54	286	10149	25	10150	25	10151	25	10152	25				
10	50	54	288	10178	100										
11	50	54	292	10051	25	10052	25	10053	25	10054	25	10059	25	10060	25
12	50	54	286	10149	25	10150	25	10151	25	10152	25				
13	50	54	293	10051	25	10052	25	10149	25	10230	25	10231	25	10232	25
14	50	54	286	10149	25	10150	25	10151	25	10152	25				
15	50	54	290	10049	25	10050	25	10055	25	10056	25	10057	25	10058	25
16	50	54	26	10179	100										
17	50	54	287	10149	25	10150	25	10151	25	10152	25				
18	50	54	293	10051	25	10052	25	10149	25	10227	25	10228	25	10229	25
19	50	54	292	10051	25	10052	25	10053	25	10054	25	10059	25	10060	25
0	55	59	285	10177	100										
1	55	59	286	10153	25	10154	25	10155	25	10156	25				
2	55	59	290	10061	25	10062	25	10067	25	10068	25	10069	25	10070	25
3	55	59	293	10063	25	10064	25	10153	25	10227	25	10228	25	10229	25
4	55	59	291	10061	25	10062	25	10067	25	10068	25	10069	25	10070	25
5	55	59	287	10153	25	10154	25	10155	25	10156	25				
6	55	59	294	10180	100										
7	55	59	292	10063	25	10064	25	10065	25	10066	25	10071	25	10072	25
8	55	59	293	10063	25	10064	25	10153	25	10230	25	10231	25	10232	25
9	55	59	286	10153	25	10154	25	10155	25	10156	25				
10	55	59	288	10178	100										
11	55	59	292	10063	25	10064	25	10065	25	10066	25	10071	25	10072	25
12	55	59	286	10153	25	10154	25	10155	25	10156	25				
13	55	59	293	10063	25	10064	25	10153	25	10227	25	10228	25	10229	25
14	55	59	286	10153	25	10154	25	10155	25	10156	25				
15	55	59	290	10061	25	10062	25	10067	25	10068	25	10069	25	10070	25
16	55	59	26	10179	100										
17	55	59	287	10153	25	10154	25	10155	25	10156	25				
18	55	59	293	10063	25	10064	25	10153	25	10230	25	10231	25	10232	25
19	55	59	292	10063	25	10064	25	10065	25	10066	25	10071	25	10072	25
0	60	64	285	10177	100										
1	60	64	286	10157	25	10158	25	10159	25	10160	25				
2	60	64	290	10073	25	10074	25	10079	25	10080	25	10081	25	10082	25
3	60	64	293	10075	25	10076	25	10157	25	10233	25	10234	25	10235	25
4	60	64	291	10073	25	10074	25	10079	25	10080	25	10081	25	10082	25
5	60	64	287	10157	25	10158	25	10159	25	10160	25				
6	60	64	294	10180	100										
7	60	64	292	10075	25	10076	25	10077	25	10078	25	10083	25	10084	25
8	60	64	293	10075	25	10076	25	10157	25	10236	25	10237	25	10238	25
9	60	64	286	10157	25	10158	25	10159	25	10160	25				
10	60	64	288	10178	100										
11	60	64	292	10075	25	10076	25	10077	25	10078	25	10083	25	10084	25
12	60	64	286	10157	25	10158	25	10159	25	10160	25				
13	60	64	293	10075	25	10076	25	10157	25	10239	25	10240	25	10241	25
14	60	64	286	10157	25	10158	25	10159	25	10160	25				
15	60	64	290	10073	25	10074	25	10079	25	10080	25	10081	25	10082	25
16	60	64	26	10179	100										
17	60	64	287	10157	25	10158	25	10159	25	10160	25				
18	60	64	293	10075	25	10076	25	10157	25	10242	25	10243	25	10244	25
19	60	64	292	10075	25	10076	25	10077	25	10078	25	10083	25	10084	25
0	65	69	285	10177	100										
1	65	69	286	10161	25	10162	25	10163	25	10164	25				
2	65	69	290	10085	25	10086	25	10091	25	10092	25	10093	25	10094	25
3	65	69	293	10087	25	10088	25	10161	25	10233	25	10234	25	10235	25
4	65	69	291	10085	25	10086	25	10091	25	10092	25	10093	25	10094	25
5	65	69	287	10161	25	10162	25	10163	25	10164	25				
6	65	69	294	10180	100										
7	65	69	292	10087	25	10088	25	10089	25	10090	25	10095	25	10096	25
8	65	69	293	10087	25	10088	25	10161	25	10236	25	10237	25	10238	25
9	65	69	286	10161	25	10162	25	10163	25	10164	25				
10	65	69	288	10178	100										
11	65	69	292	10087	25	10088	25	10089	25	10090	25	10095	25	10096	25
12	65	69	286	10161	25	10162	25	10163	25	10164	25				
13	65	69	293	10087	25	10088	25	10161	25	10239	25	10240	25	10241	25
14	65	69	286	10161	25	10162	25	10163	25	10164	25				
15	65	69	290	10085	25	10086	25	10091	25	10092	25	10093	25	10094	25
16	65	69	26	10179	100										
17	65	69	287	10161	25	10162	25	10163	25	10164	25				
18	65	69	293	10087	25	10088	25	10161	25	10242	25	10243	25	10244	25
19	65	69	292	10087	25	10088	25	10089	25	10090	25	10095	25	10096	25
0	70	74	285	10177	100										
1	70	74	286	10165	25	10166	25	10167	25	10168	25				
2	70	74	290	10097	25	10098	25	10103	25	10104	25	10105	25	10106	25
3	70	74	293	10099	25	10100	25	10165	25	10245	25	10246	25	10247	25
4	70	74	291	10097	25	10098	25	10103	25	10104	25	10105	25	10106	25
5	70	74	287	10165	25	10166	25	10167	25	10168	25				
6	70	74	294	10180	100										
7	70	74	292	10099	25	10100	25	10101	25	10102	25	10107	25	10108	25
8	70	74	293	10099	25	10100	25	10165	25	10245	25	10246	25	10247	25
9	70	74	286	10165	25	10166	25	10167	25	10168	25				
10	70	74	288	10178	100										
11	70	74	292	10099	25	10100	25	10101	25	10102	25	10107	25	10108	25
12	70	74	286	10165	25	10166	25	10167	25	10168	25				
13	70	74	293	10099	25	10100	25	10165	25	10248	25	10249	25	10168	25
14	70	74	286	10165	25	10166	25	10167	25	10168	25				
15	70	74	290	10097	25	10098	25	10103	25	10104	25	10105	25	10106	25
16	70	74	26	10179	100										
17	70	74	287	10165	25	10166	25	10167	25	10168	25				
18	70	74	293	10099	25	10100	25	10165	25	10248	25	10249	25	10168	25
19	70	74	292	10099	25	10100	25	10101	25	10102	25	10107	25	10108	25
0	75	80	285	10177	100										
1	75	80	286	10169	25	10170	25	10171	25	10172	25				
2	75	80	290	10109	25	10110	25	10115	25	10116	25	10117	25	10118	25
3	75	80	293	10111	25	10112	25	10169	25	10253	25	10251	25	10252	25
4	75	80	291	10109	25	10110	25	10115	25	10116	25	10117	25	10118	25
5	75	80	287	10169	25	10170	25	10171	25	10172	25				
6	75	80	294	10180	100										
7	75	80	292	10111	25	10112	25	10113	25	10114	25	10119	25	10120	25
8	75	80	293	10111	25	10112	25	10169	25	10253	25	10251	25	10252	25
9	75	80	286	10169	25	10170	25	10171	25	10172	25				
10	75	80	288	10178	100										
11	75	80	292	10111	25	10112	25	10113	25	10114	25	10119	25	10120	25
12	75	80	286	10169	25	10170	25	10171	25	10172	25				
13	75	80	293	10111	25	10112	25	10169	25	10253	25	10251	25	10252	25
14	75	80	286	10169	25	10170	25	10171	25	10172	25				
15	75	80	290	10109	25	10110	25	10115	25	10116	25	10117	25	10118	25
16	75	80	26	10179	100										
17	75	80	287	10169	25	10170	25	10171	25	10172	25				
18	75	80	293	10111	25	10112	25	10169	25	10253	25	10251	25	10252	25
19	75	80	292	10111	25	10112	25	10113	25	10114	25	10119	25	10120	25
															
															
0	21	26	285	10177	100										
1	21	26	286	10181	25	10182	25								
2	21	26	290	10257	50	10256	10								
3	21	26	293	10185	25	10186	25	10187	25	10188	25				
4	21	26	291	10257	50	10256	10								
5	21	26	287	10181	25	10182	25								
6	21	26	294	10180	100										
7	21	26	292	10257	50	10256	10								
8	21	26	293	10185	25	10186	25	10187	25	10188	25				
9	21	26	286	10181	25	10182	25								
10	21	26	288	10178	100										
11	21	26	292	10257	50	10256	10								
12	21	26	286	10181	25	10182	25								
13	21	26	293	10185	25	10186	25	10187	25	10188	25				
14	21	26	286	10181	25	10182	25								
15	21	26	290	10257	50	10256	10								
16	21	26	26	10179	100										
17	21	26	287	10181	25	10182	25								
18	21	26	293	10185	25	10186	25	10187	25	10188	25				
19	21	26	292	10257	50	10256	10								
