mapId	scoreType	exp	silverMoney	bindGold	goodsId1	num1	bindType1	goodsId2	num2	bindType2	goodsId3	num3	bindType3	goodsId4	num4	bindType4	goodsId5	num5	bindType5	goodsId6	num6	bindType6	goodsId7	num7	bindType7	goodsId8	num8	bindType8	goodsId9	num9	bindType9	goodsId10	num10	bindType10
02_FBBXD3_b	5				9041	1	1																											
02_FBBXD3_b	6				9042	1	1																											
03_FBBXD3_c	1				9037	1	1																											
03_FBBXD3_c	2				9038	1	1																											
03_FBBXD3_c	3				9039	1	1																											
03_FBBXD3_c	4				9040	1	1																											
03_FBBXD3_c	5				9041	1	1																											
03_FBBXD3_c	6				9042	1	1																											
04_FBBXD3_d	1				9037	1	1																											
04_FBBXD3_d	2				9038	1	1																											
04_FBBXD3_d	3				9039	1	1																											
04_FBBXD3_d	4				9040	1	1																											
04_FBBXD3_d	5				9041	1	1																											
04_FBBXD3_d	6				9042	1	1																											
05_FBBXD3_e	1				9037	1	1																											
05_FBBXD3_e	2				9038	1	1																											
05_FBBXD3_e	3				9039	1	1																											
05_FBBXD3_e	4				9040	1	1																											
05_FBBXD3_e	5				9041	1	1																											
05_FBBXD3_e	6				9042	1	1																											
06_FBBXD3_f	1				9037	1	1																											
06_FBBXD3_f	2				9038	1	1																											
06_FBBXD3_f	3				9039	1	1																											
06_FBBXD3_f	4				9040	1	1																											
06_FBBXD3_f	5				9041	1	1																											
06_FBBXD3_f	6				9042	1	1																											
07_FBBXD3_g	1				9037	1	1																											
07_FBBXD3_g	2				9038	1	1																											
07_FBBXD3_g	3				9039	1	1																											
07_FBBXD3_g	4				9040	1	1																											
07_FBBXD3_g	5				9041	1	1																											
07_FBBXD3_g	6				9042	1	1																											
08_FBBXD3_h	1				9037	1	1																											
08_FBBXD3_h	2				9038	1	1																											
08_FBBXD3_h	3				9039	1	1																											
08_FBBXD3_h	4				9040	1	1																											
08_FBBXD3_h	5				9041	1	1																											
08_FBBXD3_h	6				9042	1	1																											
09_FBBXD3_i	1				9037	1	1																											
09_FBBXD3_i	2				9038	1	1																											
09_FBBXD3_i	3				9039	1	1																											
09_FBBXD3_i	4				9040	1	1																											
09_FBBXD3_i	5				9041	1	1																											
09_FBBXD3_i	6				9042	1	1																											
01_FBDXD4_a	1				9043	1	1																											
01_FBDXD4_a	2				9044	1	1																											
01_FBDXD4_a	3				9045	1	1																											
01_FBDXD4_a	4				9046	1	1																											
01_FBDXD4_a	5				9047	1	1																											
01_FBDXD4_a	6				9048	1	1																											
02_FBDXD4_b	1				9043	1	1																											
02_FBDXD4_b	2				9044	1	1																											
02_FBDXD4_b	3				9045	1	1																											
02_FBDXD4_b	4				9046	1	1																											
02_FBDXD4_b	5				9047	1	1																											
02_FBDXD4_b	6				9048	1	1																											
03_FBDXD4_c	1				9043	1	1																											
03_FBDXD4_c	2				9044	1	1																											
03_FBDXD4_c	3				9045	1	1																											
03_FBDXD4_c	4				9046	1	1																											
03_FBDXD4_c	5				9047	1	1																											
03_FBDXD4_c	6				9048	1	1																											
04_FBDXD4_d	1				9043	1	1																											
04_FBDXD4_d	2				9044	1	1																											
04_FBDXD4_d	3				9045	1	1																											
04_FBDXD4_d	4				9046	1	1																											
04_FBDXD4_d	5				9047	1	1																											
04_FBDXD4_d	6				9048	1	1																											
05_FBDXD4_e	1				9043	1	1																											
05_FBDXD4_e	2				9044	1	1																											
05_FBDXD4_e	3				9045	1	1																											
05_FBDXD4_e	4				9046	1	1																											
05_FBDXD4_e	5				9047	1	1																											
05_FBDXD4_e	6				9048	1	1																											
06_FBDXD4_f	1				9043	1	1																											
06_FBDXD4_f	2				9044	1	1																											
06_FBDXD4_f	3				9045	1	1																											
06_FBDXD4_f	4				9046	1	1																											
06_FBDXD4_f	5				9047	1	1																											
06_FBDXD4_f	6				9048	1	1																											
07_FBDXD4_g	1				9043	1	1																											
07_FBDXD4_g	2				9044	1	1																											
07_FBDXD4_g	3				9045	1	1																											
07_FBDXD4_g	4				9046	1	1																											
07_FBDXD4_g	5				9047	1	1																											
07_FBDXD4_g	6				9048	1	1																											
08_FBDXD4_h	1				9043	1	1																											
08_FBDXD4_h	2				9044	1	1																											
08_FBDXD4_h	3				9045	1	1																											
08_FBDXD4_h	4				9046	1	1																											
08_FBDXD4_h	5				9047	1	1																											
08_FBDXD4_h	6				9048	1	1																											
09_FBDXD4_i	1				9043	1	1																											
09_FBDXD4_i	2				9044	1	1																											
09_FBDXD4_i	3				9045	1	1																											
09_FBDXD4_i	4				9046	1	1																											
09_FBDXD4_i	5				9047	1	1																											
09_FBDXD4_i	6				9048	1	1																											
01_FBJXD5_a	1				9049	1	1																											
01_FBJXD5_a	2				9050	1	1																											
01_FBJXD5_a	3				9051	1	1																											
01_FBJXD5_a	4				9052	1	1																											
01_FBJXD5_a	5				9053	1	1																											
01_FBJXD5_a	6				9054	1	1																											
02_FBJXD5_b	1				9049	1	1																											
02_FBJXD5_b	2				9050	1	1																											
02_FBJXD5_b	3				9051	1	1																											
02_FBJXD5_b	4				9052	1	1																											
02_FBJXD5_b	5				9053	1	1																											
02_FBJXD5_b	6				9054	1	1																											
03_FBJXD5_c	1				9049	1	1																											
03_FBJXD5_c	2				9050	1	1																											
03_FBJXD5_c	3				9051	1	1																											
03_FBJXD5_c	4				9052	1	1																											
03_FBJXD5_c	5				9053	1	1																											
03_FBJXD5_c	6				9054	1	1																											
04_FBJXD5_d	1				9049	1	1																											
04_FBJXD5_d	2				9050	1	1																											
04_FBJXD5_d	3				9051	1	1																											
04_FBJXD5_d	4				9052	1	1																											
04_FBJXD5_d	5				9053	1	1																											
04_FBJXD5_d	6				9054	1	1																											
05_FBJXD5_e	1				9049	1	1																											
05_FBJXD5_e	2				9050	1	1																											
05_FBJXD5_e	3				9051	1	1																											
05_FBJXD5_e	4				9052	1	1																											
05_FBJXD5_e	5				9053	1	1																											
05_FBJXD5_e	6				9054	1	1																											
06_FBJXD5_f	1				9049	1	1																											
06_FBJXD5_f	2				9050	1	1																											
06_FBJXD5_f	3				9051	1	1																											
06_FBJXD5_f	4				9052	1	1																											
06_FBJXD5_f	5				9053	1	1																											
06_FBJXD5_f	6				9054	1	1																											
07_FBJXD5_g	1				9049	1	1																											
07_FBJXD5_g	2				9050	1	1																											
07_FBJXD5_g	3				9051	1	1																											
07_FBJXD5_g	4				9052	1	1																											
07_FBJXD5_g	5				9053	1	1																											
07_FBJXD5_g	6				9054	1	1																											
08_FBJXD5_h	1				9049	1	1																											
08_FBJXD5_h	2				9050	1	1																											
08_FBJXD5_h	3				9051	1	1																											
08_FBJXD5_h	4				9052	1	1																											
08_FBJXD5_h	5				9053	1	1																											
08_FBJXD5_h	6				9054	1	1																											
09_FBJXD5_i	1				9049	1	1																											
09_FBJXD5_i	2				9050	1	1																											
09_FBJXD5_i	3				9051	1	1																											
09_FBJXD5_i	4				9052	1	1																											
09_FBJXD5_i	5				9053	1	1																											
09_FBJXD5_i	6				9054	1	1																											
01_FBYXD6_a	1				9055	1	1																											
01_FBYXD6_a	2				9056	1	1																											
01_FBYXD6_a	3				9057	1	1																											
01_FBYXD6_a	4				9058	1	1																											
01_FBYXD6_a	5				9059	1	1																											
01_FBYXD6_a	6				9060	1	1																											
02_FBYXD6_b	1				9055	1	1																											
02_FBYXD6_b	2				9056	1	1																											
02_FBYXD6_b	3				9057	1	1																											
02_FBYXD6_b	4				9058	1	1																											
02_FBYXD6_b	5				9059	1	1																											
02_FBYXD6_b	6				9060	1	1																											
03_FBYXD6_c	1				9055	1	1																											
03_FBYXD6_c	2				9056	1	1																											
03_FBYXD6_c	3				9057	1	1																											
03_FBYXD6_c	4				9058	1	1																											
03_FBYXD6_c	5				9059	1	1																											
03_FBYXD6_c	6				9060	1	1																											
04_FBYXD6_d	1				9055	1	1																											
04_FBYXD6_d	2				9056	1	1																											
04_FBYXD6_d	3				9057	1	1																											
04_FBYXD6_d	4				9058	1	1																											
04_FBYXD6_d	5				9059	1	1																											
04_FBYXD6_d	6				9060	1	1																											
05_FBYXD6_e	1				9055	1	1																											
05_FBYXD6_e	2				9056	1	1																											
05_FBYXD6_e	3				9057	1	1																											
05_FBYXD6_e	4				9058	1	1																											
05_FBYXD6_e	5				9059	1	1																											
05_FBYXD6_e	6				9060	1	1																											
06_FBYXD6_f	1				9055	1	1																											
06_FBYXD6_f	2				9056	1	1																											
06_FBYXD6_f	3				9057	1	1																											
06_FBYXD6_f	4				9058	1	1																											
06_FBYXD6_f	5				9059	1	1																											
06_FBYXD6_f	6				9060	1	1																											
07_FBYXD6_g	1				9055	1	1																											
07_FBYXD6_g	2				9056	1	1																											
07_FBYXD6_g	3				9057	1	1																											
07_FBYXD6_g	4				9058	1	1																											
07_FBYXD6_g	5				9059	1	1																											
07_FBYXD6_g	6				9060	1	1																											
08_FBYXD6_h	1				9055	1	1																											
08_FBYXD6_h	2				9056	1	1																											
08_FBYXD6_h	3				9057	1	1																											
08_FBYXD6_h	4				9058	1	1																											
08_FBYXD6_h	5				9059	1	1																											
08_FBYXD6_h	6				9060	1	1																											
09_FBYXD6_i	1				9055	1	1																											
09_FBYXD6_i	2				9056	1	1																											
09_FBYXD6_i	3				9057	1	1																											
09_FBYXD6_i	4				9058	1	1																											
09_FBYXD6_i	5				9059	1	1																											
09_FBYXD6_i	6				9060	1	1																											
01_FBZXD7_a	1				9061	1	1																											
01_FBZXD7_a	2				9062	1	1																											
01_FBZXD7_a	3				9063	1	1																											
01_FBZXD7_a	4				9064	1	1																											
01_FBZXD7_a	5				9065	1	1																											
01_FBZXD7_a	6				9066	1	1																											
02_FBZXD7_b	1				9061	1	1																											
02_FBZXD7_b	2				9062	1	1																											
02_FBZXD7_b	3				9063	1	1																											
02_FBZXD7_b	4				9064	1	1																											
02_FBZXD7_b	5				9065	1	1																											
02_FBZXD7_b	6				9066	1	1																											
03_FBZXD7_c	1				9061	1	1																											
03_FBZXD7_c	2				9062	1	1																											
03_FBZXD7_c	3				9063	1	1																											
03_FBZXD7_c	4				9064	1	1																											
03_FBZXD7_c	5				9065	1	1																											
03_FBZXD7_c	6				9066	1	1																											
04_FBZXD7_d	1				9061	1	1																											
04_FBZXD7_d	2				9062	1	1																											
04_FBZXD7_d	3				9063	1	1																											
04_FBZXD7_d	4				9064	1	1																											
04_FBZXD7_d	5				9065	1	1																											
04_FBZXD7_d	6				9066	1	1																											
05_FBZXD7_e	1				9061	1	1																											
05_FBZXD7_e	2				9062	1	1																											
05_FBZXD7_e	3				9063	1	1																											
05_FBZXD7_e	4				9064	1	1																											
05_FBZXD7_e	5				9065	1	1																											
05_FBZXD7_e	6				9066	1	1																											
06_FBZXD7_f	1				9061	1	1																											
06_FBZXD7_f	2				9062	1	1																											
06_FBZXD7_f	3				9063	1	1																											
06_FBZXD7_f	4				9064	1	1																											
06_FBZXD7_f	5				9065	1	1																											
06_FBZXD7_f	6				9066	1	1																											
07_FBZXD7_g	1				9061	1	1																											
07_FBZXD7_g	2				9062	1	1																											
07_FBZXD7_g	3				9063	1	1																											
07_FBZXD7_g	4				9064	1	1																											
07_FBZXD7_g	5				9065	1	1																											
07_FBZXD7_g	6				9066	1	1																											
08_FBZXD7_h	1				9061	1	1																											
08_FBZXD7_h	2				9062	1	1																											
08_FBZXD7_h	3				9063	1	1																											
08_FBZXD7_h	4				9064	1	1																											
08_FBZXD7_h	5				9065	1	1																											
08_FBZXD7_h	6				9066	1	1																											
09_FBZXD7_i	1				9061	1	1																											
09_FBZXD7_i	2				9062	1	1																											
09_FBZXD7_i	3				9063	1	1																											
09_FBZXD7_i	4				9064	1	1																											
09_FBZXD7_i	5				9065	1	1																											
09_FBZXD7_i	6				9066	1	1																											
01_FBZXD8_a	1				9067	1	1																											
01_FBZXD8_a	2				9068	1	1																											
01_FBZXD8_a	3				9069	1	1																											
01_FBZXD8_a	4				9070	1	1																											
01_FBZXD8_a	5				9071	1	1																											
01_FBZXD8_a	6				9072	1	1																											
02_FBZXD8_b	1				9067	1	1																											
02_FBZXD8_b	2				9068	1	1																											
02_FBZXD8_b	3				9069	1	1																											
02_FBZXD8_b	4				9070	1	1																											
02_FBZXD8_b	5				9071	1	1																											
02_FBZXD8_b	6				9072	1	1																											
03_FBZXD8_c	1				9067	1	1																											
03_FBZXD8_c	2				9068	1	1																											
03_FBZXD8_c	3				9069	1	1																											
03_FBZXD8_c	4				9070	1	1																											
03_FBZXD8_c	5				9071	1	1																											
03_FBZXD8_c	6				9072	1	1																											
04_FBZXD8_d	1				9067	1	1																											
04_FBZXD8_d	2				9068	1	1																											
04_FBZXD8_d	3				9069	1	1																											
04_FBZXD8_d	4				9070	1	1																											
04_FBZXD8_d	5				9071	1	1																											
04_FBZXD8_d	6				9072	1	1																											
05_FBZXD8_e	1				9067	1	1																											
05_FBZXD8_e	2				9068	1	1																											
05_FBZXD8_e	3				9069	1	1																											
05_FBZXD8_e	4				9070	1	1																											
05_FBZXD8_e	5				9071	1	1																											
05_FBZXD8_e	6				9072	1	1																											
06_FBZXD8_f	1				9067	1	1																											
06_FBZXD8_f	2				9068	1	1																											
06_FBZXD8_f	3				9069	1	1																											
06_FBZXD8_f	4				9070	1	1																											
06_FBZXD8_f	5				9071	1	1																											
06_FBZXD8_f	6				9072	1	1																											
07_FBZXD8_g	1				9067	1	1																											
07_FBZXD8_g	2				9068	1	1																											
07_FBZXD8_g	3				9069	1	1																											
07_FBZXD8_g	4				9070	1	1																											
07_FBZXD8_g	5				9071	1	1																											
07_FBZXD8_g	6				9072	1	1																											
08_FBZXD8_h	1				9067	1	1																											
08_FBZXD8_h	2				9068	1	1																											
08_FBZXD8_h	3				9069	1	1																											
08_FBZXD8_h	4				9070	1	1																											
08_FBZXD8_h	5				9071	1	1																											
08_FBZXD8_h	6				9072	1	1																											
09_FBZXD8_i	1				9067	1	1																											
09_FBZXD8_i	2				9068	1	1																											
09_FBZXD8_i	3				9069	1	1																											
09_FBZXD8_i	4				9070	1	1																											
09_FBZXD8_i	5				9071	1	1																											
09_FBZXD8_i	6				9072	1	1																											
01_FBTXD9_a	1				9073	1	1																											
01_FBTXD9_a	2				9074	1	1																											
01_FBTXD9_a	3				9075	1	1																											
01_FBTXD9_a	4				9076	1	1																											
01_FBTXD9_a	5				9077	1	1																											
01_FBTXD9_a	6				9078	1	1																											
02_FBTXD9_b	1				9073	1	1																											
02_FBTXD9_b	2				9074	1	1																											
02_FBTXD9_b	3				9075	1	1																											
02_FBTXD9_b	4				9076	1	1																											
02_FBTXD9_b	5				9077	1	1																											
02_FBTXD9_b	6				9078	1	1																											
03_FBTXD9_c	1				9073	1	1																											
03_FBTXD9_c	2				9074	1	1																											
03_FBTXD9_c	3				9075	1	1																											
03_FBTXD9_c	4				9076	1	1																											
03_FBTXD9_c	5				9077	1	1																											
03_FBTXD9_c	6				9078	1	1																											
04_FBTXD9_d	1				9073	1	1																											
04_FBTXD9_d	2				9074	1	1																											
04_FBTXD9_d	3				9075	1	1																											
04_FBTXD9_d	4				9076	1	1																											
04_FBTXD9_d	5				9077	1	1																											
04_FBTXD9_d	6				9078	1	1																											
05_FBTXD9_e	1				9073	1	1																											
05_FBTXD9_e	2				9074	1	1																											
05_FBTXD9_e	3				9075	1	1																											
05_FBTXD9_e	4				9076	1	1																											
05_FBTXD9_e	5				9077	1	1																											
05_FBTXD9_e	6				9078	1	1																											
06_FBTXD9_f	1				9073	1	1																											
06_FBTXD9_f	2				9074	1	1																											
06_FBTXD9_f	3				9075	1	1																											
06_FBTXD9_f	4				9076	1	1																											
06_FBTXD9_f	5				9077	1	1																											
06_FBTXD9_f	6				9078	1	1																											
07_FBTXD9_g	1				9073	1	1																											
07_FBTXD9_g	2				9074	1	1																											
07_FBTXD9_g	3				9075	1	1																											
07_FBTXD9_g	4				9076	1	1																											
07_FBTXD9_g	5				9077	1	1																											
07_FBTXD9_g	6				9078	1	1																											
08_FBTXD9_h	1				9073	1	1																											
08_FBTXD9_h	2				9074	1	1																											
08_FBTXD9_h	3				9075	1	1																											
08_FBTXD9_h	4				9076	1	1																											
08_FBTXD9_h	5				9077	1	1																											
08_FBTXD9_h	6				9078	1	1																											
09_FBTXD9_i	1				9073	1	1																											
09_FBTXD9_i	2				9074	1	1																											
09_FBTXD9_i	3				9075	1	1																											
09_FBTXD9_i	4				9076	1	1																											
09_FBTXD9_i	5				9077	1	1																											
09_FBTXD9_i	6				9078	1	1																											
