suitId	num	attrId1	value1	attrId2	value2	attrId3	value3	attrId4	value4
16026	2	8	2010						
16026	3			50	225				
16026	5					51	90	58	5000
17004	2	8	1370						
17004	3			50	155				
17004	5					51	60	58	3000
17005	2	8	1780						
17005	3			50	200				
17005	5					51	80	58	4000
17006	2	8	2490						
17006	3			50	280				
17006	5					51	110	58	5000
17014	2	8	1370						
17014	3			50	155				
17014	5					51	60	58	3000
17015	2	8	1780						
17015	3			50	200				
17015	5					51	80	58	4000
17016	2	8	2490						
17016	3			50	280				
17016	5					51	110	58	5000
17024	2	8	1370						
17024	3			50	155				
17024	5					51	60	58	3000
17025	2	8	1780						
17025	3			50	200				
17025	5					51	80	58	4000
17026	2	8	2490						
17026	3			50	280				
17026	5					51	110	58	5000
18004	2	8	1660						
18004	3			50	185				
18004	5					51	75	58	3000
18005	2	8	2160						
18005	3			50	240				
18005	5					51	95	58	4000
18006	2	8	3025						
18006	3			50	335				
18006	5					51	135	58	5000
18014	2	8	1660						
18014	3			50	185				
18014	5					51	75	58	3000
18015	2	8	2160						
18015	3			50	240				
18015	5					51	95	58	4000
18016	2	8	3025						
18016	3			50	335				
18016	5					51	135	58	5000
18024	2	8	1660						
18024	3			50	185				
18024	5					51	75	58	3000
18025	2	8	2160						
18025	3			50	240				
18025	5					51	95	58	4000
18026	2	8	3025						
18026	3			50	335				
18026	5					51	135	58	5000
22004	2			55	245			52	245
22004	3					53	125		
22004	5	54	125						
22005	2			55	320			52	320
22005	3					53	160		
22005	5	54	160						
22006	2			55	450			52	450
22006	3					53	225		
22006	5	54	225						
22014	2			55	245			52	245
22014	3					53	125		
22014	5	54	125						
22015	2			55	320			52	320
22015	3					53	160		
22015	5	54	160						
22016	2			55	450			52	450
22016	3					53	225		
22016	5	54	225						
22024	2			55	245			52	245
22024	3					53	125		
22024	5	54	125						
22025	2			55	320			52	320
22025	3					53	160		
22025	5	54	160						
22026	2			55	450			52	450
22026	3					53	225		
22026	5	54	225						
23004	2			55	310			52	310
23004	3					53	155		
23004	5	54	155						
23005	2			55	400			52	400
23005	3					53	200		
23005	5	54	200						
23006	2			55	560			52	560
23006	3					53	280		
23006	5	54	280						
23014	2			55	310			52	310
23014	3					53	155		
23014	5	54	155						
23015	2			55	400			52	400
23015	3					53	200		
23015	5	54	200						
23016	2			55	560			52	560
23016	3					53	280		
23016	5	54	280						
23024	2			55	310			52	310
23024	3					53	155		
23024	5	54	155						
23025	2			55	400			52	400
23025	3					53	200		
23025	5	54	200						
23026	2			55	560			52	560
23026	3					53	280		
23026	5	54	280						
24004	2			55	370			52	370
24004	3					53	185		
24004	5	54	185						
24005	2			55	480			52	480
24005	3					53	240		
24005	5	54	240						
24006	2			55	670			52	670
24006	3					53	335		
24006	5	54	335						
24014	2			55	370			52	370
24014	3					53	185		
24014	5	54	185						
24015	2			55	480			52	480
24015	3					53	240		
24015	5	54	240						
24016	2			55	670			52	670
24016	3					53	335		
24016	5	54	335						
24024	2			55	370			52	370
24024	3					53	185		
24024	5	54	185						
24025	2			55	480			52	480
24025	3					53	240		
24025	5	54	240						
24026	2			55	670			52	670
24026	3					53	335		
24026	5	54	335						
25004	2			55	430			52	430
25004	3					53	215		
25004	5	54	215						
25005	2			55	560			52	560
25005	3					53	280		
25005	5	54	280						
25006	2			55	785			52	785
25006	3					53	390		
25006	5	54	390						
25014	2			55	430			52	430
25014	3					53	215		
25014	5	54	215						
25015	2			55	560			52	560
25015	3					53	280		
25015	5	54	280						
25016	2			55	785			52	785
25016	3					53	390		
25016	5	54	390						
25024	2			55	430			52	430
25024	3					53	215		
25024	5	54	215						
25025	2			55	560			52	560
25025	3					53	280		
25025	5	54	280						
25026	2			55	785			52	785
25026	3					53	390		
25026	5	54	390						
26004	2			55	490			52	490
26004	3					53	245		
26004	5	54	245						
26005	2			55	640			52	640
26005	3					53	320		
26005	5	54	320						
26006	2			55	895			52	895
26006	3					53	450		
26006	5	54	450						
26014	2			55	490			52	490
26014	3					53	245		
26014	5	54	245						
26015	2			55	640			52	640
26015	3					53	320		
26015	5	54	320						
26016	2			55	895			52	895
26016	3					53	450		
26016	5	54	450						
26024	2			55	490			52	490
26024	3					53	245		
26024	5	54	245						
26025	2			55	640			52	640
26025	3					53	320		
26025	5	54	320						
26026	2			55	895			52	895
26026	3					53	450		
26026	5	54	450						
27004	2			55	555			52	555
27004	3					53	275		
27004	5	54	275						
27005	2			55	720			52	720
27005	3					53	360		
27005	5	54	360						
27006	2			55	1010			52	1010
27006	3					53	505		
27006	5	54	505						
27014	2			55	555			52	555
27014	3					53	275		
27014	5	54	275						
27015	2			55	720			52	720
27015	3					53	360		
27015	5	54	360						
27016	2			55	1010			52	1010
27016	3					53	505		
27016	5	54	505						
27024	2			55	555			52	555
27024	3					53	275		
27024	5	54	275						
27025	2			55	720			52	720
27025	3					53	360		
27025	5	54	360						
27026	2			55	1010			52	1010
27026	3					53	505		
27026	5	54	505						
28004	2			55	615			52	615
28004	3					53	310		
28004	5	54	310						
28005	2			55	800			52	800
28005	3					53	400		
28005	5	54	400						
28006	2			55	1120			52	1120
28006	3					53	560		
28006	5	54	560						
28014	2			55	615			52	615
28014	3					53	310		
28014	5	54	310						
28015	2			55	800			52	800
28015	3					53	400		
28015	5	54	400						
28016	2			55	1120			52	1120
28016	3					53	560		
28016	5	54	560						
28024	2			55	615			52	615
28024	3					53	310		
28024	5	54	310						
28025	2			55	800			52	800
28025	3					53	400		
28025	5	54	400						
28026	2			55	1120			52	1120
28026	3					53	560		
28026	5	54	560						
									
28030	2	52	200						
28030	3			54	200				
28030	4					50	200	58	500
28031	2	53	200						
28031	3			55	200				
28031	4					51	100		
28031	5							8	2000
28032	2	52	400						
28032	3			54	400				
28032	4					50	400	58	1000
28033	2	53	400						
28033	3			55	400				
28033	4					51	200		
28033	5							8	4000
28034	2	52	800						
28034	3			54	800				
28034	4					50	800	58	1500
28035	2	53	800						
28035	3			55	800				
28035	4					51	400		
28035	5							8	8000
									
28036	2	52	150						
28036	3			54	150				
28036	4					50	150	58	1000
28037	2	53	150						
28037	3			55	150				
28037	4					51	100		
28037	5							8	1500
28038	2	52	300						
28038	3			54	300				
28038	4					50	300	58	2000
28039	2	53	300						
28039	3			55	300				
28039	4					51	200		
28039	5							8	3000
28040	2	52	600						
28040	3			54	600				
28040	4					50	600	58	3000
28041	2	53	600						
28041	3			55	600				
28041	4					51	400		
28041	5							8	6000
28042	2	52	1200						
28042	3			54	1200				
28042	4					50	1200	58	4000
28043	2	53	1200						
28043	3			55	1200				
28043	4					51	800		
28043	5							8	12000
