id	name	goodsType	imageId	bindType	overlapCount	level	effectId	desc	recycling	recyclePrice	only	offlineDie	discard	printlog	qualityType	lvLimit	suitId	suitGroupId	activateType	deadline	expireType	secondType	equipslotType	career	resId	gemType	openHoleNum	maxStarLevel	attriNum	atk	rit	baseMaxHP	baseMaxMP	hit	dodge	critAtk	critRit	gs	sex	upgradeId
4001508	少校的强击鞋子	5	17	2	1	1		少校的强击鞋子	1	1000	0	0	1	0	5	1	15	5				8	8	-1		6	3	20	3	0	0	0	0	140	0	0	0		-1	
4001509	少校的强击手套	5	20	2	1	1		少校的强击手套	1	1000	0	0	1	0	5	1	15	5				9	9	-1		2	3	20	3	38	0	0	0	0	0	0	0		-1	
4001600	将军的强击头盔	5	13	2	1	1		将军的强击头盔	1	1000	0	0	1	0	6	1	16	6				0	0	-1		1	4	20	3	0	0	919	0	0	0	0	0		-1	
4001601	将军的强击项链	5	23	2	1	1		将军的强击项链	1	1000	0	0	1	0	6	1	16	6				1	1	-1		4	4	20	3	0	0	0	0	0	0	180	0		-1	
4001602	将军的强击肩甲	5	21	2	1	1		将军的强击肩甲	1	1000	0	0	1	0	6	1	16	6				2	2	-1		5	4	20	3	0	0	0	0	0	0	0	180		-1	
4001603	将军的强击武器	5	24	2	1	1		将军的强击武器	1	1000	0	0	1	0	6	1	16	6				3	3	-1		2	4	20	3	123	0	0	0	0	0	0	0		-1	
4001604	将军的强击胸甲	5	14	2	1	1		将军的强击胸甲	1	1000	0	0	1	0	6	1	16	6				4	4	-1		3	4	20	3	0	74	0	0	0	0	0	0		-1	
4001605	将军的强击戒指	5	22	2	1	1		将军的强击戒指	1	1000	0	0	1	0	6	1	16	6				5	5	-1		7	4	20	3	0	0	0	0	0	180	0	0		-1	
4001606	将军的强击裤子	5	16	2	1	1		将军的强击裤子	1	1000	0	0	1	0	6	1	16	6				6	6	-1		3	4	20	3	0	32	0	0	0	0	0	0		-1	
4001607	将军的强击腰带	5	15	2	1	1		将军的强击腰带	1	1000	0	0	1	0	6	1	16	6				7	7	-1		1	4	20	3	0	0	394	0	0	0	0	0		-1	
4001608	将军的强击鞋子	5	17	2	1	1		将军的强击鞋子	1	1000	0	0	1	0	6	1	16	6				8	8	-1		6	4	20	3	0	0	0	0	180	0	0	0		-1	
4001609	将军的强击手套	5	20	2	1	1		将军的强击手套	1	1000	0	0	1	0	6	1	16	6				9	9	-1		2	4	20	3	53	0	0	0	0	0	0	0		-1	
4001700	元帅的强击头盔	5	13	2	1	1		元帅的强击头盔	1	1000	0	0	1	0	7	1	17	7				0	0	-1		1	5	20	3	0	0	1313	0	0	0	0	0		-1	
4001701	元帅的强击项链	5	23	2	1	1		元帅的强击项链	1	1000	0	0	1	0	7	1	17	7				1	1	-1		4	5	20	3	0	0	0	0	0	0	220	0		-1	
4001702	元帅的强击肩甲	5	21	2	1	1		元帅的强击肩甲	1	1000	0	0	1	0	7	1	17	7				2	2	-1		5	5	20	3	0	0	0	0	0	0	0	220		-1	
4001703	元帅的强击武器	5	24	2	1	1		元帅的强击武器	1	1000	0	0	1	0	7	1	17	7				3	3	-1		2	5	20	3	175	0	0	0	0	0	0	0		-1	
4001704	元帅的强击胸甲	5	14	2	1	1		元帅的强击胸甲	1	1000	0	0	1	0	7	1	17	7				4	4	-1		3	5	20	3	0	105	0	0	0	0	0	0		-1	
4001705	元帅的强击戒指	5	22	2	1	1		元帅的强击戒指	1	1000	0	0	1	0	7	1	17	7				5	5	-1		7	5	20	3	0	0	0	0	0	220	0	0		-1	
4001706	元帅的强击裤子	5	16	2	1	1		元帅的强击裤子	1	1000	0	0	1	0	7	1	17	7				6	6	-1		3	5	20	3	0	45	0	0	0	0	0	0		-1	
4001707	元帅的强击腰带	5	15	2	1	1		元帅的强击腰带	1	1000	0	0	1	0	7	1	17	7				7	7	-1		1	5	20	3	0	0	563	0	0	0	0	0		-1	
4001708	元帅的强击鞋子	5	17	2	1	1		元帅的强击鞋子	1	1000	0	0	1	0	7	1	17	7				8	8	-1		6	5	20	3	0	0	0	0	220	0	0	0		-1	
4001709	元帅的强击手套	5	20	2	1	1		元帅的强击手套	1	1000	0	0	1	0	7	1	17	7				9	9	-1		2	5	20	3	75	0	0	0	0	0	0	0		-1	
4020300	新兵的玄月头盔	5	13	2	1	20		新兵的玄月头盔	1	1000	0	0	1	0	3	20						0	0	-1		1	2	20	3	0	0	1092	0	0	0	0	0		-1	4040400
4020301	新兵的玄月项链	5	23	2	1	20		新兵的玄月项链	1	1000	0	0	1	0	3	20						1	1	-1		4	2	20	3	0	0	0	0	0	0	125	0		-1	4040401
4020302	新兵的玄月肩甲	5	21	2	1	20		新兵的玄月肩甲	1	1000	0	0	1	0	3	20						2	2	-1		5	2	20	3	0	0	0	0	0	0	0	125		-1	4040402
4020303	新兵的玄月武器	5	24	2	1	20		新兵的玄月武器	1	1000	0	0	1	0	3	20						3	3	-1		2	2	20	3	146	0	0	0	0	0	0	0		-1	4040403
4020304	新兵的玄月胸甲	5	14	2	1	20		新兵的玄月胸甲	1	1000	0	0	1	0	3	20						4	4	-1		3	2	20	3	0	87	0	0	0	0	0	0		-1	4040404
4020305	新兵的玄月戒指	5	22	2	1	20		新兵的玄月戒指	1	1000	0	0	1	0	3	20						5	5	-1		7	2	20	3	0	0	0	0	0	125	0	0		-1	4040405
4020306	新兵的玄月裤子	5	16	2	1	20		新兵的玄月裤子	1	1000	0	0	1	0	3	20						6	6	-1		3	2	20	3	0	37	0	0	0	0	0	0		-1	4040406
4020307	新兵的玄月腰带	5	15	2	1	20		新兵的玄月腰带	1	1000	0	0	1	0	3	20						7	7	-1		1	2	20	3	0	0	468	0	0	0	0	0		-1	4040407
4020308	新兵的玄月鞋子	5	17	2	1	20		新兵的玄月鞋子	1	1000	0	0	1	0	3	20						8	8	-1		6	2	20	3	0	0	0	0	125	0	0	0		-1	4040408
4020309	新兵的玄月手套	5	20	2	1	20		新兵的玄月手套	1	1000	0	0	1	0	3	20						9	9	-1		2	2	20	3	62	0	0	0	0	0	0	0		-1	4040409
4020400	勇士的玄月头盔	5	13	2	1	20		勇士的玄月头盔	1	1000	0	0	1	0	4	20						0	0	-1		1	3	20	3	0	0	1365	0	0	0	0	0		-1	
4020401	勇士的玄月项链	5	23	2	1	20		勇士的玄月项链	1	1000	0	0	1	0	4	20						1	1	-1		4	3	20	3	0	0	0	0	0	0	125	0		-1	
4020402	勇士的玄月肩甲	5	21	2	1	20		勇士的玄月肩甲	1	1000	0	0	1	0	4	20						2	2	-1		5	3	20	3	0	0	0	0	0	0	0	125		-1	
4020403	勇士的玄月武器	5	24	2	1	20		勇士的玄月武器	1	1000	0	0	1	0	4	20						3	3	-1		2	3	20	3	182	0	0	0	0	0	0	0		-1	
4020404	勇士的玄月胸甲	5	14	2	1	20		勇士的玄月胸甲	1	1000	0	0	1	0	4	20						4	4	-1		3	3	20	3	0	109	0	0	0	0	0	0		-1	
4020405	勇士的玄月戒指	5	22	2	1	20		勇士的玄月戒指	1	1000	0	0	1	0	4	20						5	5	-1		7	3	20	3	0	0	0	0	0	125	0	0		-1	
4020406	勇士的玄月裤子	5	16	2	1	20		勇士的玄月裤子	1	1000	0	0	1	0	4	20						6	6	-1		3	3	20	3	0	47	0	0	0	0	0	0		-1	
4020407	勇士的玄月腰带	5	15	2	1	20		勇士的玄月腰带	1	1000	0	0	1	0	4	20						7	7	-1		1	3	20	3	0	0	585	0	0	0	0	0		-1	
4020408	勇士的玄月鞋子	5	17	2	1	20		勇士的玄月鞋子	1	1000	0	0	1	0	4	20						8	8	-1		6	3	20	3	0	0	0	0	125	0	0	0		-1	
4020409	勇士的玄月手套	5	20	2	1	20		勇士的玄月手套	1	1000	0	0	1	0	4	20						9	9	-1		2	3	20	3	78	0	0	0	0	0	0	0		-1	
4020500	少校的玄月头盔	5	13	2	1	20		少校的玄月头盔	1	1000	0	0	1	0	5	20	205	5				0	0	-1		1	4	20	3	0	0	1706	0	0	0	0	0		-1	
4020501	少校的玄月项链	5	23	2	1	20		少校的玄月项链	1	1000	0	0	1	0	5	20	205	5				1	1	-1		4	4	20	3	0	0	0	0	0	0	175	0		-1	
4020502	少校的玄月肩甲	5	21	2	1	20		少校的玄月肩甲	1	1000	0	0	1	0	5	20	205	5				2	2	-1		5	4	20	3	0	0	0	0	0	0	0	175		-1	
4020503	少校的玄月武器	5	24	2	1	20		少校的玄月武器	1	1000	0	0	1	0	5	20	205	5				3	3	-1		2	4	20	3	228	0	0	0	0	0	0	0		-1	
4020504	少校的玄月胸甲	5	14	2	1	20		少校的玄月胸甲	1	1000	0	0	1	0	5	20	205	5				4	4	-1		3	4	20	3	0	137	0	0	0	0	0	0		-1	
4020505	少校的玄月戒指	5	22	2	1	20		少校的玄月戒指	1	1000	0	0	1	0	5	20	205	5				5	5	-1		7	4	20	3	0	0	0	0	0	175	0	0		-1	
4020506	少校的玄月裤子	5	16	2	1	20		少校的玄月裤子	1	1000	0	0	1	0	5	20	205	5				6	6	-1		3	4	20	3	0	59	0	0	0	0	0	0		-1	
4020507	少校的玄月腰带	5	15	2	1	20		少校的玄月腰带	1	1000	0	0	1	0	5	20	205	5				7	7	-1		1	4	20	3	0	0	731	0	0	0	0	0		-1	
4020508	少校的玄月鞋子	5	17	2	1	20		少校的玄月鞋子	1	1000	0	0	1	0	5	20	205	5				8	8	-1		6	4	20	3	0	0	0	0	175	0	0	0		-1	
4020509	少校的玄月手套	5	20	2	1	20		少校的玄月手套	1	1000	0	0	1	0	5	20	205	5				9	9	-1		2	4	20	3	98	0	0	0	0	0	0	0		-1	
4020600	将军的玄月头盔	5	13	2	1	20		将军的玄月头盔	1	1000	0	0	1	0	6	20	206	6				0	0	-1		1	5	20	3	0	0	2389	0	0	0	0	0		-1	
4020601	将军的玄月项链	5	23	2	1	20		将军的玄月项链	1	1000	0	0	1	0	6	20	206	6				1	1	-1		4	5	20	3	0	0	0	0	0	0	225	0		-1	
4020602	将军的玄月肩甲	5	21	2	1	20		将军的玄月肩甲	1	1000	0	0	1	0	6	20	206	6				2	2	-1		5	5	20	3	0	0	0	0	0	0	0	225		-1	
4020603	将军的玄月武器	5	24	2	1	20		将军的玄月武器	1	1000	0	0	1	0	6	20	206	6				3	3	-1		2	5	20	3	319	0	0	0	0	0	0	0		-1	
4020604	将军的玄月胸甲	5	14	2	1	20		将军的玄月胸甲	1	1000	0	0	1	0	6	20	206	6				4	4	-1		3	5	20	3	0	191	0	0	0	0	0	0		-1	
4020605	将军的玄月戒指	5	22	2	1	20		将军的玄月戒指	1	1000	0	0	1	0	6	20	206	6				5	5	-1		7	5	20	3	0	0	0	0	0	225	0	0		-1	
4020606	将军的玄月裤子	5	16	2	1	20		将军的玄月裤子	1	1000	0	0	1	0	6	20	206	6				6	6	-1		3	5	20	3	0	82	0	0	0	0	0	0		-1	
4020607	将军的玄月腰带	5	15	2	1	20		将军的玄月腰带	1	1000	0	0	1	0	6	20	206	6				7	7	-1		1	5	20	3	0	0	1024	0	0	0	0	0		-1	
4020608	将军的玄月鞋子	5	17	2	1	20		将军的玄月鞋子	1	1000	0	0	1	0	6	20	206	6				8	8	-1		6	5	20	3	0	0	0	0	225	0	0	0		-1	
4020609	将军的玄月手套	5	20	2	1	20		将军的玄月手套	1	1000	0	0	1	0	6	20	206	6				9	9	-1		2	5	20	3	137	0	0	0	0	0	0	0		-1	
4020700	元帅的玄月头盔	5	13	2	1	20		元帅的玄月头盔	1	1000	0	0	1	0	7	20	207	7				0	0	-1		1	6	20	3	0	0	3413	0	0	0	0	0		-1	
4020701	元帅的玄月项链	5	23	2	1	20		元帅的玄月项链	1	1000	0	0	1	0	7	20	207	7				1	1	-1		4	6	20	3	0	0	0	0	0	0	275	0		-1	
4020702	元帅的玄月肩甲	5	21	2	1	20		元帅的玄月肩甲	1	1000	0	0	1	0	7	20	207	7				2	2	-1		5	6	20	3	0	0	0	0	0	0	0	275		-1	
4020703	元帅的玄月武器	5	24	2	1	20		元帅的玄月武器	1	1000	0	0	1	0	7	20	207	7				3	3	-1		2	6	20	3	455	0	0	0	0	0	0	0		-1	
4020704	元帅的玄月胸甲	5	14	2	1	20		元帅的玄月胸甲	1	1000	0	0	1	0	7	20	207	7				4	4	-1		3	6	20	3	0	273	0	0	0	0	0	0		-1	
4020705	元帅的玄月戒指	5	22	2	1	20		元帅的玄月戒指	1	1000	0	0	1	0	7	20	207	7				5	5	-1		7	6	20	3	0	0	0	0	0	275	0	0		-1	
4020706	元帅的玄月裤子	5	16	2	1	20		元帅的玄月裤子	1	1000	0	0	1	0	7	20	207	7				6	6	-1		3	6	20	3	0	117	0	0	0	0	0	0		-1	
4020707	元帅的玄月腰带	5	15	2	1	20		元帅的玄月腰带	1	1000	0	0	1	0	7	20	207	7				7	7	-1		1	6	20	3	0	0	1463	0	0	0	0	0		-1	
4020708	元帅的玄月鞋子	5	17	2	1	20		元帅的玄月鞋子	1	1000	0	0	1	0	7	20	207	7				8	8	-1		6	6	20	3	0	0	0	0	275	0	0	0		-1	
4020709	元帅的玄月手套	5	20	2	1	20		元帅的玄月手套	1	1000	0	0	1	0	7	20	207	7				9	9	-1		2	6	20	3	195	0	0	0	0	0	0	0		-1	
4040300	新兵的暗锋头盔	5	13	2	1	40		新兵的暗锋头盔	1	1000	0	0	1	0	3	40						0	0	-1		1	3	20	3	0	0	1898	0	0	0	0	0		-1	4060300
4040301	新兵的暗锋项链	5	23	2	1	40		新兵的暗锋项链	1	1000	0	0	1	0	3	40						1	1	-1		4	3	20	3	0	0	0	0	0	0	150	0		-1	4060301
4040302	新兵的暗锋肩甲	5	21	2	1	40		新兵的暗锋肩甲	1	1000	0	0	1	0	3	40						2	2	-1		5	3	20	3	0	0	0	0	0	0	0	150		-1	4060302
4040303	新兵的暗锋武器	5	24	2	1	40		新兵的暗锋武器	1	1000	0	0	1	0	3	40						3	3	-1		2	3	20	3	253	0	0	0	0	0	0	0		-1	4060303
4040304	新兵的暗锋胸甲	5	14	2	1	40		新兵的暗锋胸甲	1	1000	0	0	1	0	3	40						4	4	-1		3	3	20	3	0	152	0	0	0	0	0	0		-1	4060304
4040305	新兵的暗锋戒指	5	22	2	1	40		新兵的暗锋戒指	1	1000	0	0	1	0	3	40						5	5	-1		7	3	20	3	0	0	0	0	0	150	0	0		-1	4060305
4040306	新兵的暗锋裤子	5	16	2	1	40		新兵的暗锋裤子	1	1000	0	0	1	0	3	40						6	6	-1		3	3	20	3	0	65	0	0	0	0	0	0		-1	4060306
4040307	新兵的暗锋腰带	5	15	2	1	40		新兵的暗锋腰带	1	1000	0	0	1	0	3	40						7	7	-1		1	3	20	3	0	0	814	0	0	0	0	0		-1	4060307
4040308	新兵的暗锋鞋子	5	17	2	1	40		新兵的暗锋鞋子	1	1000	0	0	1	0	3	40						8	8	-1		6	3	20	3	0	0	0	0	150	0	0	0		-1	4060308
4040309	新兵的暗锋手套	5	20	2	1	40		新兵的暗锋手套	1	1000	0	0	1	0	3	40						9	9	-1		2	3	20	3	108	0	0	0	0	0	0	0		-1	4060309
4040400	勇士的暗锋头盔	5	13	2	1	40		勇士的暗锋头盔	1	1000	0	0	1	0	4	40						0	0	-1		1	4	20	3	0	0	2373	0	0	0	0	0		-1	4060400
4040401	勇士的暗锋项链	5	23	2	1	40		勇士的暗锋项链	1	1000	0	0	1	0	4	40						1	1	-1		4	4	20	3	0	0	0	0	0	0	150	0		-1	4060401
4040402	勇士的暗锋肩甲	5	21	2	1	40		勇士的暗锋肩甲	1	1000	0	0	1	0	4	40						2	2	-1		5	4	20	3	0	0	0	0	0	0	0	150		-1	4060402
4040403	勇士的暗锋武器	5	24	2	1	40		勇士的暗锋武器	1	1000	0	0	1	0	4	40						3	3	-1		2	4	20	3	316	0	0	0	0	0	0	0		-1	4060403
4040404	勇士的暗锋胸甲	5	14	2	1	40		勇士的暗锋胸甲	1	1000	0	0	1	0	4	40						4	4	-1		3	4	20	3	0	190	0	0	0	0	0	0		-1	4060404
4040405	勇士的暗锋戒指	5	22	2	1	40		勇士的暗锋戒指	1	1000	0	0	1	0	4	40						5	5	-1		7	4	20	3	0	0	0	0	0	150	0	0		-1	4060405
4040406	勇士的暗锋裤子	5	16	2	1	40		勇士的暗锋裤子	1	1000	0	0	1	0	4	40						6	6	-1		3	4	20	3	0	81	0	0	0	0	0	0		-1	4060406
4040407	勇士的暗锋腰带	5	15	2	1	40		勇士的暗锋腰带	1	1000	0	0	1	0	4	40						7	7	-1		1	4	20	3	0	0	1017	0	0	0	0	0		-1	4060407
4040408	勇士的暗锋鞋子	5	17	2	1	40		勇士的暗锋鞋子	1	1000	0	0	1	0	4	40						8	8	-1		6	4	20	3	0	0	0	0	150	0	0	0		-1	4060408
4040409	勇士的暗锋手套	5	20	2	1	40		勇士的暗锋手套	1	1000	0	0	1	0	4	40						9	9	-1		2	4	20	3	136	0	0	0	0	0	0	0		-1	4060409
4040500	少校的暗锋头盔	5	13	2	1	40		少校的暗锋头盔	1	1000	0	0	1	0	5	40	405	5				0	0	-1		1	5	20	3	0	0	2966	0	0	0	0	0		-1	4060500
4040501	少校的暗锋项链	5	23	2	1	40		少校的暗锋项链	1	1000	0	0	1	0	5	40	405	5				1	1	-1		4	5	20	3	0	0	0	0	0	0	210	0		-1	4060501
4040502	少校的暗锋肩甲	5	21	2	1	40		少校的暗锋肩甲	1	1000	0	0	1	0	5	40	405	5				2	2	-1		5	5	20	3	0	0	0	0	0	0	0	210		-1	4060502
4040503	少校的暗锋武器	5	24	2	1	40		少校的暗锋武器	1	1000	0	0	1	0	5	40	405	5				3	3	-1		2	5	20	3	396	0	0	0	0	0	0	0		-1	4060503
4040504	少校的暗锋胸甲	5	14	2	1	40		少校的暗锋胸甲	1	1000	0	0	1	0	5	40	405	5				4	4	-1		3	5	20	3	0	237	0	0	0	0	0	0		-1	4060504
4040505	少校的暗锋戒指	5	22	2	1	40		少校的暗锋戒指	1	1000	0	0	1	0	5	40	405	5				5	5	-1		7	5	20	3	0	0	0	0	0	210	0	0		-1	4060505
4040506	少校的暗锋裤子	5	16	2	1	40		少校的暗锋裤子	1	1000	0	0	1	0	5	40	405	5				6	6	-1		3	5	20	3	0	102	0	0	0	0	0	0		-1	4060506
4040507	少校的暗锋腰带	5	15	2	1	40		少校的暗锋腰带	1	1000	0	0	1	0	5	40	405	5				7	7	-1		1	5	20	3	0	0	1271	0	0	0	0	0		-1	4060507
4040508	少校的暗锋鞋子	5	17	2	1	40		少校的暗锋鞋子	1	1000	0	0	1	0	5	40	405	5				8	8	-1		6	5	20	3	0	0	0	0	210	0	0	0		-1	4060508
4040509	少校的暗锋手套	5	20	2	1	40		少校的暗锋手套	1	1000	0	0	1	0	5	40	405	5				9	9	-1		2	5	20	3	170	0	0	0	0	0	0	0		-1	4060509
4040600	将军的暗锋头盔	5	13	2	1	40		将军的暗锋头盔	1	1000	0	0	1	0	6	40	406	6				0	0	-1		1	6	20	3	0	0	4153	0	0	0	0	0		-1	4060600
4040601	将军的暗锋项链	5	23	2	1	40		将军的暗锋项链	1	1000	0	0	1	0	6	40	406	6				1	1	-1		4	6	20	3	0	0	0	0	0	0	270	0		-1	4060601
4040602	将军的暗锋肩甲	5	21	2	1	40		将军的暗锋肩甲	1	1000	0	0	1	0	6	40	406	6				2	2	-1		5	6	20	3	0	0	0	0	0	0	0	270		-1	4060602
4040603	将军的暗锋武器	5	24	2	1	40		将军的暗锋武器	1	1000	0	0	1	0	6	40	406	6				3	3	-1		2	6	20	3	554	0	0	0	0	0	0	0		-1	4060603
4040604	将军的暗锋胸甲	5	14	2	1	40		将军的暗锋胸甲	1	1000	0	0	1	0	6	40	406	6				4	4	-1		3	6	20	3	0	332	0	0	0	0	0	0		-1	4060604
4040605	将军的暗锋戒指	5	22	2	1	40		将军的暗锋戒指	1	1000	0	0	1	0	6	40	406	6				5	5	-1		7	6	20	3	0	0	0	0	0	270	0	0		-1	4060605
4040606	将军的暗锋裤子	5	16	2	1	40		将军的暗锋裤子	1	1000	0	0	1	0	6	40	406	6				6	6	-1		3	6	20	3	0	142	0	0	0	0	0	0		-1	4060606
4040607	将军的暗锋腰带	5	15	2	1	40		将军的暗锋腰带	1	1000	0	0	1	0	6	40	406	6				7	7	-1		1	6	20	3	0	0	1780	0	0	0	0	0		-1	4060607
4040608	将军的暗锋鞋子	5	17	2	1	40		将军的暗锋鞋子	1	1000	0	0	1	0	6	40	406	6				8	8	-1		6	6	20	3	0	0	0	0	270	0	0	0		-1	4060608
4040609	将军的暗锋手套	5	20	2	1	40		将军的暗锋手套	1	1000	0	0	1	0	6	40	406	6				9	9	-1		2	6	20	3	237	0	0	0	0	0	0	0		-1	4060609
4040700	元帅的暗锋头盔	5	13	2	1	40		元帅的暗锋头盔	1	1000	0	0	1	0	7	40	407	7				0	0	-1		1	7	20	3	0	0	5933	0	0	0	0	0		-1	4060700
4040701	元帅的暗锋项链	5	23	2	1	40		元帅的暗锋项链	1	1000	0	0	1	0	7	40	407	7				1	1	-1		4	7	20	3	0	0	0	0	0	0	330	0		-1	4060701
4040702	元帅的暗锋肩甲	5	21	2	1	40		元帅的暗锋肩甲	1	1000	0	0	1	0	7	40	407	7				2	2	-1		5	7	20	3	0	0	0	0	0	0	0	330		-1	4060702
4040703	元帅的暗锋武器	5	24	2	1	40		元帅的暗锋武器	1	1000	0	0	1	0	7	40	407	7				3	3	-1		2	7	20	3	791	0	0	0	0	0	0	0		-1	4060703
4040704	元帅的暗锋胸甲	5	14	2	1	40		元帅的暗锋胸甲	1	1000	0	0	1	0	7	40	407	7				4	4	-1		3	7	20	3	0	475	0	0	0	0	0	0		-1	4060704
4040705	元帅的暗锋戒指	5	22	2	1	40		元帅的暗锋戒指	1	1000	0	0	1	0	7	40	407	7				5	5	-1		7	7	20	3	0	0	0	0	0	330	0	0		-1	4060705
4040706	元帅的暗锋裤子	5	16	2	1	40		元帅的暗锋裤子	1	1000	0	0	1	0	7	40	407	7				6	6	-1		3	7	20	3	0	203	0	0	0	0	0	0		-1	4060706
