horseLevel	horseId	additionAttack	additionRit	additionHp	additionMp
3	24	106	63	792	396
4	24	110	66	826	413
5	24	115	69	861	430
6	24	119	72	895	448
7	24	124	74	929	465
8	24	129	77	964	482
9	24	133	80	998	499
10	24	138	83	1033	516
11	24	142	85	1067	534
12	24	147	88	1102	551
13	24	151	91	1136	568
14	24	156	94	1170	585
15	24	161	96	1205	602
16	24	165	99	1239	620
17	24	170	102	1274	637
18	24	174	105	1308	654
19	24	179	107	1343	671
20	24	184	110	1377	689
