srcId	srcNum	targetId	fee	broadcast
6000703	3	6000704	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000704	3	6000705	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000705	3	6000706	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000706	3	6000707	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
6000707	3	6000708	0	[\C]ffffffff[C]异彩流光临仙界，原来是[\C]ff1cfffc[C]{0}[\C]ffffffff[C]合成出了一颗{1}[\C]ffffffff[C]！
7001001	20	3000001	0	
7001002	20	3000002	0	
7001003	20	3000003	0	
7001004	20	3000004	0	
7001005	20	3000005	0	
7001006	20	3000006	0	
7001007	20	3000007	0	
7001008	20	3000008	0	
13000001	40	1000000	0	
13000002	40	1000001	0	
13000003	40	1000002	0	
13000004	40	1000003	0	
13000005	40	1000004	0	
13000006	40	1000005	0	
13000007	40	1000006	0	
13000008	40	1000007	0	
13000009	40	1000008	0	
13000010	40	1000009	0	
