curBless	upgradeRate	minBless	maxBless
406	50	10	10
407	50	10	10
408	50	10	10
409	50	10	10
410	50	10	10
411	50	10	10
412	50	10	10
413	50	10	10
414	50	10	10
415	50	10	10
416	50	10	10
417	50	10	10
418	50	10	10
419	50	10	10
420	50	10	10
421	50	10	10
422	50	10	10
423	50	10	10
424	50	10	10
425	50	10	10
426	50	10	10
427	50	10	10
428	50	10	10
429	50	10	10
430	50	10	10
431	50	10	10
432	50	10	10
433	50	10	10
434	50	10	10
435	50	10	10
436	50	10	10
437	50	10	10
438	50	10	10
439	50	10	10
440	50	10	10
441	50	10	10
442	50	10	10
443	50	10	10
444	50	10	10
445	50	10	10
446	50	10	10
447	50	10	10
448	50	10	10
449	50	10	10
450	50	10	10
451	50	10	10
452	50	10	10
453	50	10	10
454	50	10	10
455	50	10	10
456	50	10	10
457	50	10	10
458	50	10	10
459	50	10	10
460	50	10	10
461	50	10	10
462	50	10	10
463	50	10	10
464	50	10	10
465	50	10	10
466	50	10	10
467	50	10	10
468	50	10	10
469	50	10	10
470	50	10	10
471	50	10	10
472	50	10	10
473	50	10	10
474	50	10	10
475	50	10	10
476	50	10	10
477	50	10	10
478	50	10	10
479	50	10	10
480	50	10	10
481	50	10	10
482	50	10	10
483	50	10	10
484	50	10	10
485	50	10	10
486	50	10	10
487	50	10	10
488	50	10	10
489	50	10	10
490	50	10	10
491	50	10	10
492	50	10	10
493	50	10	10
494	50	10	10
495	50	10	10
496	50	10	10
497	50	10	10
498	50	10	10
499	50	10	10
500	50	10	10
501	100	10	10
502	100	10	10
503	100	10	10
504	100	10	10
505	100	10	10
506	100	10	10
507	100	10	10
508	100	10	10
509	100	10	10
510	100	10	10
511	100	10	10
512	100	10	10
513	100	10	10
514	100	10	10
515	100	10	10
516	100	10	10
517	100	10	10
518	100	10	10
519	100	10	10
520	100	10	10
521	100	10	10
522	100	10	10
523	100	10	10
524	100	10	10
525	100	10	10
526	100	10	10
527	100	10	10
528	100	10	10
529	100	10	10
530	100	10	10
531	100	10	10
532	100	10	10
533	100	10	10
534	100	10	10
535	100	10	10
536	100	10	10
537	100	10	10
538	100	10	10
539	100	10	10
540	100	10	10
541	100	10	10
542	100	10	10
543	100	10	10
544	100	10	10
545	100	10	10
546	100	10	10
547	100	10	10
548	100	10	10
549	100	10	10
550	100	10	10
551	100	10	10
552	100	10	10
553	100	10	10
554	100	10	10
555	100	10	10
556	100	10	10
557	100	10	10
558	100	10	10
559	100	10	10
560	100	10	10
561	100	10	10
562	100	10	10
563	100	10	10
564	100	10	10
565	100	10	10
566	100	10	10
567	100	10	10
568	100	10	10
569	100	10	10
570	100	10	10
571	100	10	10
572	100	10	10
573	100	10	10
574	100	10	10
575	100	10	10
576	100	10	10
577	100	10	10
578	100	10	10
579	100	10	10
580	100	10	10
581	100	10	10
582	100	10	10
583	100	10	10
584	100	10	10
585	100	10	10
586	100	10	10
587	100	10	10
588	100	10	10
589	100	10	10
590	100	10	10
591	100	10	10
592	100	10	10
593	100	10	10
594	100	10	10
595	100	10	10
596	100	10	10
597	100	10	10
598	100	10	10
599	100	10	10
600	100	10	10
601	150	10	10
602	150	10	10
603	150	10	10
604	150	10	10
605	150	10	10
606	150	10	10
607	150	10	10
608	150	10	10
609	150	10	10
610	150	10	10
611	150	10	10
612	150	10	10
613	150	10	10
614	150	10	10
615	150	10	10
616	150	10	10
617	150	10	10
618	150	10	10
619	150	10	10
620	150	10	10
621	150	10	10
622	150	10	10
623	150	10	10
624	150	10	10
625	150	10	10
626	150	10	10
627	150	10	10
628	150	10	10
629	150	10	10
630	150	10	10
631	150	10	10
632	150	10	10
633	150	10	10
634	150	10	10
635	150	10	10
636	150	10	10
637	150	10	10
638	150	10	10
639	150	10	10
640	150	10	10
641	150	10	10
642	150	10	10
643	150	10	10
644	150	10	10
645	150	10	10
646	150	10	10
647	150	10	10
648	150	10	10
649	150	10	10
650	150	10	10
651	150	10	10
652	150	10	10
653	150	10	10
654	150	10	10
655	150	10	10
656	150	10	10
657	150	10	10
658	150	10	10
659	150	10	10
660	150	10	10
661	150	10	10
662	150	10	10
663	150	10	10
664	150	10	10
665	150	10	10
666	150	10	10
667	150	10	10
668	150	10	10
669	150	10	10
670	150	10	10
671	150	10	10
672	150	10	10
673	150	10	10
674	150	10	10
675	150	10	10
676	150	10	10
677	150	10	10
678	150	10	10
679	150	10	10
680	150	10	10
681	150	10	10
682	150	10	10
683	150	10	10
684	150	10	10
685	150	10	10
686	150	10	10
687	150	10	10
688	150	10	10
689	150	10	10
690	150	10	10
691	150	10	10
692	150	10	10
693	150	10	10
694	150	10	10
695	150	10	10
696	150	10	10
697	150	10	10
698	150	10	10
699	150	10	10
700	150	10	10
701	200	10	10
702	200	10	10
703	200	10	10
704	200	10	10
705	200	10	10
706	200	10	10
707	200	10	10
708	200	10	10
709	200	10	10
710	200	10	10
711	200	10	10
712	200	10	10
713	200	10	10
714	200	10	10
715	200	10	10
716	200	10	10
717	200	10	10
718	200	10	10
719	200	10	10
720	200	10	10
721	200	10	10
722	200	10	10
723	200	10	10
724	200	10	10
725	200	10	10
726	200	10	10
727	200	10	10
728	200	10	10
729	200	10	10
730	200	10	10
731	200	10	10
732	200	10	10
733	200	10	10
734	200	10	10
735	200	10	10
736	200	10	10
737	200	10	10
738	200	10	10
739	200	10	10
740	200	10	10
741	200	10	10
742	200	10	10
743	200	10	10
744	200	10	10
745	200	10	10
746	200	10	10
747	200	10	10
748	200	10	10
749	200	10	10
750	200	10	10
751	200	10	10
752	200	10	10
753	200	10	10
754	200	10	10
755	200	10	10
756	200	10	10
757	200	10	10
758	200	10	10
759	200	10	10
760	200	10	10
761	200	10	10
762	200	10	10
763	200	10	10
764	200	10	10
765	200	10	10
766	200	10	10
767	200	10	10
768	200	10	10
769	200	10	10
770	200	10	10
771	200	10	10
772	200	10	10
773	200	10	10
774	200	10	10
775	200	10	10
776	200	10	10
777	200	10	10
778	200	10	10
779	200	10	10
780	200	10	10
781	200	10	10
782	200	10	10
783	200	10	10
784	200	10	10
785	200	10	10
786	200	10	10
787	200	10	10
788	200	10	10
789	200	10	10
790	200	10	10
791	200	10	10
792	200	10	10
793	200	10	10
794	200	10	10
795	200	10	10
796	200	10	10
797	200	10	10
798	200	10	10
799	200	10	10
800	200	10	10
801	250	10	10
802	250	10	10
803	250	10	10
804	250	10	10
805	250	10	10
806	250	10	10
807	250	10	10
808	250	10	10
809	250	10	10
810	250	10	10
811	250	10	10
812	250	10	10
813	250	10	10
814	250	10	10
815	250	10	10
816	250	10	10
817	250	10	10
818	250	10	10
819	250	10	10
820	250	10	10
821	250	10	10
822	250	10	10
823	250	10	10
824	250	10	10
825	250	10	10
826	250	10	10
827	250	10	10
828	250	10	10
829	250	10	10
830	250	10	10
831	250	10	10
832	250	10	10
833	250	10	10
834	250	10	10
835	250	10	10
836	250	10	10
837	250	10	10
838	250	10	10
839	250	10	10
840	250	10	10
841	250	10	10
842	250	10	10
843	250	10	10
844	250	10	10
845	250	10	10
846	250	10	10
847	250	10	10
848	250	10	10
849	250	10	10
850	250	10	10
851	250	10	10
852	250	10	10
853	250	10	10
854	250	10	10
855	250	10	10
856	250	10	10
857	250	10	10
858	250	10	10
859	250	10	10
860	250	10	10
861	250	10	10
862	250	10	10
863	250	10	10
864	250	10	10
865	250	10	10
866	250	10	10
867	250	10	10
868	250	10	10
869	250	10	10
870	250	10	10
871	250	10	10
872	250	10	10
873	250	10	10
874	250	10	10
875	250	10	10
876	250	10	10
877	250	10	10
878	250	10	10
879	250	10	10
880	250	10	10
881	250	10	10
882	250	10	10
883	250	10	10
884	250	10	10
885	250	10	10
886	250	10	10
887	250	10	10
888	250	10	10
889	250	10	10
890	250	10	10
891	250	10	10
892	250	10	10
893	250	10	10
894	250	10	10
895	250	10	10
896	250	10	10
897	250	10	10
898	250	10	10
899	250	10	10
900	300	10	10
901	300	10	10
902	300	10	10
903	300	10	10
904	300	10	10
905	300	10	10
906	300	10	10
907	300	10	10
908	300	10	10
909	300	10	10
910	300	10	10
911	300	10	10
912	300	10	10
913	300	10	10
914	300	10	10
915	300	10	10
916	300	10	10
917	300	10	10
918	300	10	10
919	300	10	10
920	300	10	10
921	300	10	10
922	300	10	10
923	300	10	10
924	300	10	10
925	300	10	10
926	300	10	10
927	300	10	10
928	300	10	10
929	300	10	10
930	300	10	10
931	300	10	10
932	300	10	10
933	300	10	10
934	300	10	10
935	300	10	10
936	300	10	10
937	300	10	10
938	300	10	10
939	300	10	10
940	300	10	10
941	300	10	10
942	300	10	10
943	300	10	10
944	300	10	10
945	300	10	10
946	300	10	10
947	300	10	10
948	300	10	10
949	300	10	10
950	300	10	10
951	300	10	10
952	300	10	10
953	300	10	10
954	300	10	10
955	300	10	10
956	300	10	10
957	300	10	10
958	300	10	10
959	300	10	10
960	300	10	10
961	300	10	10
962	300	10	10
963	300	10	10
964	300	10	10
965	300	10	10
966	300	10	10
967	300	10	10
968	300	10	10
969	300	10	10
970	300	10	10
971	300	10	10
972	300	10	10
973	300	10	10
974	300	10	10
975	300	10	10
976	300	10	10
977	300	10	10
978	300	10	10
979	300	10	10
980	300	10	10
981	300	10	10
982	300	10	10
983	300	10	10
984	300	10	10
985	300	10	10
986	300	10	10
987	300	10	10
988	300	10	10
989	300	10	10
990	300	10	10
991	300	10	10
992	300	10	10
993	300	10	10
994	300	10	10
995	300	10	10
996	300	10	10
997	300	10	10
998	300	10	10
999	300	10	10
1000	10000	10	10
