npcid	npcname	npctype	level	resid	headResId	bodyResId	boss	forceId	exp	minMoney	maxMoney	bindMoney	magicSoul	totalMagicSoul	xp	zp	lootNpc	lootWorld	maxHP	maxMP	phyAtk	iceAtk	fireAtk	phyRit	iceRit	fireRit	speed	dodge	hit	critAtk	critRit	slowRitRate	exposeArmorRitRate	weakRitRate	fixedRitRate	blowFlyRitRate	lullRitRate	tiredRitRate	silenceRitRate	bloodRitRate	lightRitRate	charmRitRate	comaRitRate	agedRitRate	gossip	lockType	function	desc	funcResId	resRate	musicId	questHatred	shieldFunc	showName
01n010	竞技队长-阿凡达	1	10	10124	8	2	0	1	0	0	0	0							65535	65535	65535	0	0	140	140	140	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	竞技就是力与智的较量	1		不知道啊		10	127			
01n011	兽人侍从-奥力	1	11	10136	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	150	150	150	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	兽人万岁	1		不知道啊		10				
01n012	矮人侍从-丁尔	1	12	10140	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	160	160	160	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	矮人万岁	1		不知道啊		10				
01n013	兽人卫士-奥奈	1	13	10131	15	13	0	1	0	0	0	0							65535	65535	65535	0	0	170	170	170	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	体型大的自然是高等种族	1		不知道啊		10				
01n014	矮人卫士-丁扬	1	14	10131	15	21	0	1	0	0	0	0							65535	65535	65535	0	0	180	180	180	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	体型小的才是高等种族	1		不知道啊		10				
01n015	兽人副队长-奥达	1	15	10058	13	7	0	1	0	0	0	0							65535	65535	65535	0	0	190	190	190	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	兽人高贵! 	1		不知道啊		10	81			
01n016	矮人副队长-丁多	1	16	10146	28	9	0	1	0	0	0	0							65535	65535	65535	0	0	200	200	200	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	矮人高贵!	1		不知道啊		10	130			
01n017	兽人队长-奥祖	1	17	10120	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	210	210	210	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	兽人终将统治世界 	1		不知道啊		10	132			
01n018	矮人队长-丁标	1	18	10115	22	16	0	1	0	0	0	0							65535	65535	65535	0	0	220	220	220	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	矮人统治的不只是这个世界	1		不知道啊		10	133			
01n019	兽人巡查官-奥奇	1	19	10043	16	10	0	1	0	0	0	0							65535	65535	65535	0	0	230	230	230	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	种族注定是判定敌我的标准	1		不知道啊		10	82			
01n020	矮人巡查官-丁奇	1	20	10089	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	240	240	240	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	种族注定是判定敌我的标准	1		不知道啊		10	83			
01n021	竞技铁匠-坤沙	1	21	10144	24	18	0	1	0	0	0	0							65535	65535	65535	0	0	250	250	250	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	铁锤,铁砧,铁矿……这些就是我的全部	1		不知道啊		10	62			
01n022	无缺	1	22	10054	18	12	0	1	0	0	0	0							65535	65535	65535	0	0	260	260	260	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	安息吧,放下手中的刀剑.安息吧,天堂没有纷争.	1	装备商店	不知道啊	213	10				
01n023	大竞技官-巴夏	1	23	10077	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	270	270	270	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我的地盘，我做主！	1	药品商店	不知道啊	212	10				
01n024	无缺	1	24	10086	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	280	280	280	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	有什么好东西，快来让我帮你保存吧！！！！嘿！嘿！嘿！嘿！！	1		不知道啊		10				
01n025	大竞技官-巴夏	1	25	10100	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	290	290	290	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	服务器皇城争霸战，将在每周四、周日举办（开服七天以后的服务器可以参与）；各阵营等级排名第一的门派将获得比赛资格；比赛资格确定时间为当天的21：00	1		不知道啊		10	129			
01n026	兽人谋士-奥亮	1	26	10124	8	2	0	1	0	0	0	0							65535	65535	65535	0	0	300	300	300	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我文能提笔安天下。	1		不知道啊		10	127			
01n027	矮人谋士-丁亮	1	27	10060	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	310	310	310	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我武能马上定乾坤。	1		不知道啊		10	128			
01n028	太白金星	1	28	10062	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	320	320	320	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	想拥有自己的门派么？那就快来体验体验吧！！！哈哈！！！	1	门派管理员	不知道啊		10				
01n029	封神榜	1	29	10000	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	330	330	330	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	想荣登新封神榜？战斗力可是最关键的！	1	排行榜	不知道啊		10	58			
01n030	皇榜	1	30	10000	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	340	340	340	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	奉天承运！皇帝诏曰！完成皇榜者，必有重赏。	1	皇榜任务	不知道啊	216	10				
01n031	周武王	1	80	10094	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	二次封神开启啦，我也要去找个山洞潜心修炼，登上新封神榜！	1	朝歌城主	不知道啊	272	10				
01n032	姜子牙	1	80	10110	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	每天10次的镇妖任务不要忘记哦！多做多获得哦！	1	镇妖任务	不知道啊	215	10	52			
01n033	哪吒	1	80	10120	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	每天两件事，练级，打怪。	1	降魔任务	不知道啊	217	10	54			
01n034	金吒	1	80	10140	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	只看名字就知道，金比木好，更比哪啥要好！	1		不知道啊		10				
01n035	木吒	1	80	10136	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	生米煮成熟饭，木已成舟，到底是啥意思呢？	1	阵营转换	不知道啊		10				
01n036	杨戬	1	80	10108	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我拥有透视功能，嘿嘿！	1		不知道啊		10				
01n037	李靖	1	80	10115	22	16	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	锁妖塔妖孽无数，但也是装备升级材料产出的好地方，快去丰收你的宝贝吧！	1	锁妖塔	不知道啊	211	10	63			
01n038	魔礼海	1	80	10117	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	骷髅山经验多，经验多多骷髅山，顾名思义骷髅山的怪物经验极其高，是你收获经验的好地方。	1	经验副本	不知道啊	208	10				
01n039	魔礼青	1	80	10119	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	青龙洞天内里面有数不胜数的神兽材料材料，如果你喜欢就快去收集吧。	1	神兽副本	不知道啊	209	10				
01n040	魔礼寿	1	80	10130	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	装备还不够丰富嘛，那就快来白骨洞吧，扫灭妖邪赢极品装备。	1	装备副本	不知道啊	207	10				
01n041	魔礼红	1	80	10118	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	只有团队的力量才是最强大的！！！阿门！！！愿你获得属于你的装备！！！	1	装备副本(队)	不知道啊	277	10				
01n042	雷震子	1	80	10114	11	5	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	有翅膀的不一定是天使，也有可能是鸟人。	1		不知道啊		10				
01n043	云中子	1	80	10045	13	7	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	吾乃仙界第一炼器宗师，盗版捆仙绳，翻天印要吗？	1		不知道啊		10				
01n044	广成子	1	80	10057	8	2	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	破过十绝之金光阵，打杀过火灵圣母，暗算过多宝道人，你呢？	1		不知道啊		10				
01n045	燃灯道人	1	80	10113	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	要不是我不愿意当佛教教主，如来还在卖切糕呢。	1		不知道啊		10				
01n046	灵宝大法师	1	80	10148	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	爱一个人的全部，包括他的棉毛裤！	1		不知道啊		10	86			
01n047	赤脚大仙	1	80	10129	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	你觉得我去参加封神好声音怎么样？怎么说我也是蓝采和转世。	1		不知道啊		10	87			
01n048	日游神	1	80	10095	13	7	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我日。。。	1		不知道啊		10	88			
01n049	夜游神	1	80	10083	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	呕夜。。。	1		不知道啊		10	90			
01n050	 太乙真人	1	80	10089	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	哪吒是个好同志。元芳，你怎么看？	1		不知道啊		10	91			
01n051	广成子	1	80	10057	8	2	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	如果多吃鱼可以补脑让人变聪明的话，那么我至少得吃一对儿鲸鱼……	1		不知道啊		10				
01n052	道德真君	1	80	10073	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	伤不起，真的伤不起，我算来算去算来算去，算到放弃。	1		不知道啊		10				
01n053	黄天化	1	80	10088	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	人生上半场22年，拒人3次，被拒2次，目前3：2领先……	1		不知道啊		10				
01n054	余化	1	80	10069	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	佛曰，色即是空，空即是色。今晚，偶想空一下……	1		不知道啊		10	92			
01n055	黄飞虎	1	80	10076	12	6	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	老四老三老二老大了！	1		不知道啊		10	93			
01n056	杨戬	1	80	10108	19	13	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	要不是打不过你，早就跟你翻脸了。	1		不知道啊		10				
01n057	金吒	1	80	10140	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我一巴掌把你拍到土里，扣都扣不出来。	1		不知道啊		10	95			
01n058	木吒	1	80	10136	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我又不是人民币，怎么能让人人都喜欢我？！哇塞	1		不知道啊		10	96			
01n059	哪吒	1	80	10120	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	最近总是失眠，16小时就醒一次。	1		不知道啊		10				
01n060	韦护	1	80	10098	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	奥特曼算个球,猪八戒才是最可爱的	1		不知道啊		10				
01n061	雷震子	1	80	10114	11	5	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	这年代，悟空都追求豹纹时尚性感	1		不知道啊		10				
01n062	李靖	1	80	10115	22	16	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	隐身，不是为了躲避谁，只是希望有谁发现我消失了。	1		不知道啊		10				
01n063	姜子牙	1	80	10110	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	苹果最光荣的时刻就是砸在了牛顿头上！	1		不知道啊		10				
01n064	申公豹	1	80	10082	18	12	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我数星星...你智商差点...你就数月亮！	1		不知道啊		10	98			
01n065	妲己	1	80	10144	24	18	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	讨厌别人看见我的刘海被大风吹得变中分的样子	1		不知道啊		10				
01n066	无当圣母	1	80	10093	10	4	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	如果你不能给二奶一个家，那么请至少给她一套房！	1		不知道啊		10	99			
01n067	慈航道人	1	80	10092	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	施主，贫僧是来化缘的，请问有酱肘子么？炸鸡腿也行，善哉。	1		不知道啊		10				
01n068	普贤真人	1	80	10095	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	真想在电影里过日子，下个镜头就是一行字幕：多年以后。	1		不知道啊		10				
01n069	文殊广法天尊	1	80	10059	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	世界上最没用的东西就是工资条，看了生气，擦屁股太细。	1		不知道啊		10	100			
01n070	广成子	1	80	10057	8	2	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	夜读的才子盼女鬼，光棍的老头盼大娘	1		不知道啊		10				
01n071	黄龙真人	1	80	10121	11	5	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	唉！有谁能知道真人的痛苦！！	1		不知道啊		10				
01n072	太乙真人	1	80	10089	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	黄龙，我最懂你了！	1		不知道啊		10				
01n073	道行天尊	1	80	10073	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	作为失败的典型，你实在太成功了。	1		不知道啊		10	102			
01n074	赤精子	1	80	10111	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	失败是成功他妈，那我已经有很多妈了，可一个怀孕的也没有。	1		不知道啊		10	103			
01n075	惧留孙	1	80	10085	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	作为失败的典型，你实在太成功了。	1		不知道啊		10	104			
01n076	灵宝大法师	1	80	10148	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	除了10086、谁TM还关心过我	1		不知道啊		10				
01n077	姜子牙	1	80	10110	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	瘦不了的永远在骚动，吃不胖的都有恃无恐。	1		不知道啊		10				
01n078	玉鼎真人	1	80	10089	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我的世界你可以旁观，但不可以发言。	1		不知道啊		10	106			
01n079	文殊广法天尊	1	80	10059	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	你长的外形不准，比例没打好。	1		不知道啊		10				
01n080	普贤真人	1	80	10095	13	7	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	你有什么不开心的事？说出来让大家开心一下。	1		不知道啊		10				
01n081	道德真君	1	80	10073	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	别以为比我年轻你就能多蹦跶几天，棺材装的是死人不是老人！	1		不知道啊		10				
01n082	慈航道人	1	80	10092	17	11	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	没能耐的看人装逼，有能耐的装逼给人看！	1		不知道啊		10				
01n083	元始天尊	1	80	10060	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	淋了一场雨，让我明白过来，我又忘带雨伞了。	1		不知道啊		10	128			
01n084	秦完	1	80	10041	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	唐僧肉吃了能长生不老，唐僧屎不知道有没有同样的功效？	1		不知道啊		10				
01n085	赵江	1	80	10065	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	古人说:“女为悦己者容”,其实应该是“女为己悦者容”。	1		不知道啊		10				
01n086	董全	1	80	10047	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	明星脱一点就能更出名，我脱的光光的却被抓起来了！	1		不知道啊		10				
01n087	袁角	1	80	10052	18	12	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	不要说别人脑子有病，脑子有病的前提是必须有个脑子。	1		不知道啊		10	109			
01n088	金光圣母	1	80	10134	6	0	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	老娘变天鹅的时候，你还是个蛋呢。	1		不知道啊		10				
01n089	孙良	1	80	10064	6	0	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	家事国事天下事，没钱吃饭是大事！	1		不知道啊		10				
01n090	白礼	1	80	10040	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	当我看见美女的时候，首先摸摸兜里，看看有没有钱！	1		不知道啊		10	110			
01n091	姚宾	1	80	10078	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	人不怕死，但是最怕不知道怎么活！	1		不知道啊		10				
01n092	王变	1	80	10077	9	3	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	孟母三迁的故事其实说明她是有个好儿子，如果换了我，搬一百次家也没用！	1		不知道啊		10				
01n093	张绍	1	80	10081	14	8	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	假如有天我当明星了，我一定脱给你们看！	1		不知道啊		10				
01n094	鹤童	1	80	10038	20	14	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	孔雀拼命开屏，却露出xx！	1		不知道啊		10	111			
01n095	鹿童	1	80	10042	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	如果有一天我变成流氓，请告诉别人，我纯真过……	1		不知道啊		10				
01n096	南极仙翁	1	80	10150	26	20	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	曾经年少爱追梦，一心只想北极熊！	1		不知道啊		10				
01n097	白娘子	1	80	10143	24	18	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	社会经验不足就是欠干的意思。	1		不知道啊		10	113			
01n098	法海	1	80	10126	25	19	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	年轻的时候，我们常常冲着镜子做鬼脸；年老的时候，镜子算是扯平了。	1		不知道啊		10	114			
01n099	许仙	1	80	10087	23	7	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	生老病死一定要：生得要好，老得要慢，病得要晚，死得要快。	1		不知道啊		10	115			
01n100	四阶熊大仙	1	80	10102	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	“在山的那边海的那边有一群蓝精灵…”where is my 蓝妹妹？	1		不知道啊		10	64			
01n101	pvp地图障碍物	22	80	10147	29		0	0	0	0	0	0							5100	5100	336	65535	65535	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	铁杵能磨成针，但木杵只能磨成牙签，材料不对，再努力也没用。	0		不知道啊		10				
01n102	五阶龙在天	1	80	10104	23	17	0	1	0	0	0	0							65535	65535	65535	0	0	20	130	0	130	500	15000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	我曾是，我就是，金毛狮王——谢逊！	1		不知道啊		10				
