attrType	quality	minValue1	maxValue1	weight1	goldWeight1	minValue2	maxValue2	weight2	goldWeight2	minValue3	maxValue3	weight3	goldWeight3	minValue4	maxValue4	weight4	goldWeight4	minValue5	maxValue5	weight5	goldWeight5
54	5	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
56	5	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
57	5	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
58	5	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
50	6	200	350	300	200	351	500	300	300	501	650	300	200	651	800	100	270	1000	1000	10	30
51	6	120	210	300	200	211	300	300	300	301	390	300	200	391	480	100	270	600	600	10	30
8	6	2000	3500	300	200	3501	5000	300	300	5001	6500	300	200	6501	8000	100	270	10000	10000	10	30
9	6	1000	1750	300	200	1751	2500	300	300	2501	3250	300	200	3251	4000	100	270	5000	5000	10	30
60	6	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
61	6	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
62	6	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
63	6	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
52	6	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
53	6	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
54	6	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
56	6	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
57	6	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
58	6	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
50	7	200	350	300	200	351	500	300	300	501	650	300	200	651	800	100	270	1000	1000	10	30
51	7	120	210	300	200	211	300	300	300	301	390	300	200	391	480	100	270	600	600	10	30
8	7	2000	3500	300	200	3501	5000	300	300	5001	6500	300	200	6501	8000	100	270	10000	10000	10	30
9	7	1000	1750	300	200	1751	2500	300	300	2501	3250	300	200	3251	4000	100	270	5000	5000	10	30
60	7	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
61	7	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
62	7	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
63	7	80	120	300	200	121	160	300	300	161	200	300	200	201	240	100	270	300	300	10	30
52	7	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
53	7	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
54	7	400	700	300	200	701	1000	300	300	1001	1300	300	200	1301	1600	100	270	2000	2000	10	30
56	7	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
57	7	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
58	7	240	420	300	200	421	600	300	300	601	780	300	200	781	960	100	270	1200	1200	10	30
