linkId	id	interval	condType	compareType	condValue	failureId	execType	execData1	execData2	execData3	successId
1036	3	1					2	6	2 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		4
1036	4	1					2	6	1 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		5
1036	5	1					1	5027			-1
											
1037	0	10	1	2	50		2	6	5 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		1
1037	1	1					2	6	4 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		2
1037	2	1					2	6	3 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		3
1037	3	1					2	6	2 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		4
1037	4	1					2	6	1 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		5
1037	5	1					1	5027			-1
											
1038	0	10	1	2	20		2	6	5 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		1
1038	1	1					2	6	4 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		2
1038	2	1					2	6	3 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		3
1038	3	1					2	6	2 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		4
1038	4	1					2	6	1 giây nữa Boss tung kỹ năng diện rộng, chạy mau!		5
1038	5	1					1	5027			-1
											
1039	0	270					2	6	30 giây tới BOSS sẽ nổi điên!		1
1039	1	5					2	6	25 giây tới BOSS sẽ nổi điên!		2
1039	2	5					2	6	20 giây tới BOSS sẽ nổi điên!		3
1039	3	5					2	6	15 giây tới BOSS sẽ nổi điên!		4
1039	4	5					2	6	10 giây tới BOSS sẽ nổi điên!		5
1039	5	5					2	6	5 giây tới BOSS sẽ nổi điên!		6
1039	6	3					1	16009			7
1039	7	3					1	16009			6
											
1040	0	1					2	6	Đội trưởng Tôn Tiểu Không đến báo cáo!! Ta phụ trách diệt tiểu yêu!		-1
1041	0	1					2	6	Đội trưởng Tôn Tiểu Không đến báo cáo!!Ta phụ trách định thân!		-1
1042	0	1					2	6	Đội trưởng Tôn Tiểu Không đến báo cáo!!Ta phụ trách trị liệu!		-1
1043	0	1					2	6	Đội trưởng Tôn Tiểu Không đến báo cáo!!Ta phụ trách tăng công!		-1
											
											
1055	0	270					2	6	30 giây tới BOSS sẽ nổi điên!		1
1055	1	5					2	6	25 giây tới BOSS sẽ nổi điên!		2
1055	2	5					2	6	20 giây tới BOSS sẽ nổi điên!		3
1055	3	5					2	6	15 giây tới BOSS sẽ nổi điên!		4
1055	4	5					2	6	10 giây tới BOSS sẽ nổi điên!		5
1055	5	5					2	6	5 giây tới BOSS sẽ nổi điên!		6
1055	6	3					1	5035			7
1055	7	3					1	5035			6
											
1056	0	270					2	6	30 giây tới BOSS sẽ nổi điên!		1
1056	1	5					2	6	25 giây tới BOSS sẽ nổi điên!		2
1056	2	5					2	6	20 giây tới BOSS sẽ nổi điên!		3
1056	3	5					2	6	15 giây tới BOSS sẽ nổi điên!		4
1056	4	5					2	6	10 giây tới BOSS sẽ nổi điên!		5
1056	5	5					2	6	5 giây tới BOSS sẽ nổi điên!		6
1056	6	3					1	5035			7
1056	7	3					1	5035			6
											
1057	0	6					2	6	Đoạt Hồn Thuật!!		1
1057	1	1					1	5068			0
											
1058	0	1					1	5070			0
1058	1	1					1	5070			1
											
											
											
											
											
1060	0	5					1	5063			1
1060	1	5					1	5063			0
											
1061	0	10					1	5064			1
1061	1	5					1	5064			0
											
1062	0	5					1	5065			1
1062	1	5					1	5065			0
											
1063	0	3					1	5066			1
1063	0	3					1	5066			0
											
1064	0		1	2	10		2	6	Ta tài hèn, làm mất mặt đại thánh. Ta sẽ tu luyện thêm, hẹn 300 năm sau tái chiến!		-1
											
1065	0	1					2	6	Yêu quái đừng hòng chạy, ăn 1 gậy của lão tôn đây!		-1
											
1066	0		1	2	5		2	6	Ba La Đầu lại đến sao? A!!!		-1
											
1067	0	5					1	5067			1
1067	1	5					1	5067			0
											
											
1093	0	5					1	5056			1
1093	1	5					1	5056			0
											
1094	0	5					1	5057			1
1094	1	5					1	5057			0
											
1095	0	5					1	5058			1
1095	1	5					1	5058			0
											
1096	0	5					1	5059			1
1096	1	5					1	5059			0
											
1097	0	5					1	5060			1
1097	1	5					1	5060			0
											
1098	0	5					1	5036			1
1098	1	5					1	5036			0
											
1099	0	5					1	5037			1
1099	1	5					1	5037			0
											
1100	0	5					1	5038			1
1100	1	5					1	5038			0
											
1101	0	5					1	5039			1
1101	1	5					1	5039			0
											
1102	0	5					1	5040			1
1102	1	5					1	5040			0
											
1103	0	5					1	5041			1
1103	1	5					1	5041			0
											
1104	0	5					1	5042			1
1104	1	5					1	5042			0
											
1105	0	5					1	5043			1
1105	1	5					1	5043			0
											
1106	0	5					1	5044			1
1106	1	5					1	5044			0
											
1107	0	5					1	5045			1
1107	1	5					1	5045			0
											
1108	0	5					1	5046			1
1108	1	5					1	5046			0
											
1109	0	5					1	5047			1
1109	1	5					1	5047			0
											
1110	0	5					1	5048			1
1110	1	5					1	5048			0
											
1111	0	5					1	5049			1
1111	1	5					1	5049			0
											
1112	0	5					1	5050			1
1112	1	5					1	5050			0
											
1113	0	5					1	5051			1
1113	1	5					1	5051			0
											
1114	0	5					1	5052			1
1114	1	5					1	5052			0
											
1115	0	5					1	5053			1
1115	1	5					1	5053			0
											
1116	0	5					1	5054			1
1116	1	5					1	5054			0
											
1117	0	5					1	5055			1
1117	1	5					1	5055			0
											
1118	0		1	2	2		2	6	Hầu ca, gậy của huynh bị yêu quái cướp mất rồi!		-1
											
1119	0		1	2	2		2	6	[\C]ffffffff[C]Chủ nhân động tỳ bà ở Nam Thiêm Bộ Châu, [\C]ff5aff4e[C]công lực[\C]ffffffff[C] cực mạnh, nếu không làm yếu công lực của hắn, chỉ có 1 con đường chết!		-1
1120	0		1	2	2		2	6	[\C]ffffffff[C]Ngưu Ma Vương ở Tây Ngưu Hạ Châu, [\C]ff5aff4e[C]Phòng thủ [\C]ffffffff[C] chắc chắn, các ngươi đi chỉ nộp mạng!		-1
1121	0		1	2	2		2	6	[\C]ffffffff[C]Quyển Liêm đại tướng ở Bắc Câu Lô Châu, [\C]ff5aff4e[C]Né [\C]ffffffff[C] cực cao, sao các ngươi có thể đánh trúng??		-1
1122	0		1	2	2		2	6	[\C]ffffffff[C]Thôi Mệnh Phán Quan ở Đông Thắng Thần Châu, nếu không giảm [\C]ff5aff4e[C]c.xác[\C]ffffffff[C] của hắn, tuyệt kỹ [\C]ff5aff4e[C]đoạt hồn thuật[\C]ffffffff[C] của hắn sẽ đưa các ngươi đến tây thiên!		-1
1123	0		1	2	2		2	6	[\C]ffffffff[C]Thôi Mệnh Phán Quan ở Đông Thắng Thần Châu, nếu không giảm [\C]ff5aff4e[Chính Xác[\C]ffffffff[C] của hắn, tuyệt kỹ [\C]ff5aff4e[C]đoạt hồn thuật[\C]ffffffff[C] của hắn sẽ đưa các ngươi đến tây thiên!		-1
											
1124	0	1					1	20002			1
1124	1	1					1	20002			0
											
1125	0		1	2	80		1	5061			1
1125	1	1					2	6	Trong phạm vi Hải Châm, bọn yêu quái sẽ phải run sợ!		-1
											
1126	0		1	2	40		1	5062			1
1126	1	1					2	6	Đánh bại tiểu yêu, cứu đồ nhi Tôn Tiểu Không, nó sẽ giúp ngươi! 		-1
											
1127	0		1	2	2		2	6	Tốt lắm! Đánh bại ta! Xem có thể địch lại lũ yêu quái không! Thiết bảng của ta sẽ giúp ngươi!		-1
											
											
1128	0	13					2	6	Gọi: Bất Chu Tử Tinh, tiêu diệt hắn trước!		1
1128	1	1					1	5017			2
1128	2	1					3	1017			0
											
1129	0	1	1	2	75		2	6	Gọi: Cấn Vi Sơn Tinh, hãy tăng chiến lực cho ta!		1
1129	1	1					1	5017			2
1129	2	1					3	1018			-1
											
1130	0	1	1	2	50		2	6	Gọi: Cấn Vi Sơn Quái, hãy khôi phục HP cho ta!		1
1130	1	1					1	5017			2
1130	2	1					3	1019			-1
											
1131	0	1	1	2	25		2	6	Gọi: Bất Chu Sơn Tử, ta cần ngươi giúp!		1
1131	1	1					1	5017			2
1131	2	1					3	1020			-1
											
1132	0	1	1	2	80		2	6	Gọi: Trúc Cơ Linh, bảo vệ chủ nhân.		1
1132	1	1					3	1021			-1
											
1133	0	1	1	2	80		2	6	Gọi: Trúc Cơ Linh, bảo vệ chủ nhân.		1
1133	1	1					2	6	Đánh bại Trúc Cơ Linh sẽ tăng công cho boss.		2
1133	2	1					3	1022			-1
											
1134	0	1	1	2	80		2	6	Gọi: Trúc Cơ Linh, bảo vệ chủ nhân.		1
1134	1	1					2	6	Đánh bại Trúc Cơ Linh sẽ tăng thủ cho boss.		2
1134	2	1					3	1023			-1
											
1135	0	1	1	2	3		2	6	Ta sẽ bất tử!		1
1135	1	1					1	16031			-1
											
1136	0	1	1	2	10		2	6	Trúc Cơ Linh: Trúc Cơ Tinh Tú, Ngươi phải báo thù cho ta		1
1136	1	1					1	16030			-1
											
1137	0	1	1	2	10		2	6	Trúc Cơ Linh: Trúc Cơ Trưởng Lão, ngươi phải báo thù cho ta		1
1137	1	1					1	16034			-1
											
1138	0		1	2	75		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1138	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1138	2	1					3	1024			-1
											
1139	0		1	2	75		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1139	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1139	2	1					3	1025			-1
											
1212	0		1	2	50		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1212	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1212	2	1					3	1025			-1
											
1140	0		1	2	75		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1140	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1140	2	1					3	1026			-1
											
1213	0		1	2	50		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1213	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1213	2	1					3	1026			-1
											
1214	0		1	2	25		2	6	Gọi: Khai Quang Linh, bảo vệ chủ nhân.		1
1214	1	1					2	6	Khai Quang Linh sẽ hồi HP, nhưng chúng rất yếu, nên tiêu diệt trước		2
1214	2	1					3	1026			-1
											
1141	0	17					2	6	Gọi Linh Tịch Tiêm Thích, chạm vào nó tăng 10% công, boss chạm sẽ gây sát thương.		1
1141	1	1					3	1027			2
1141	2	1					3	1036			3
1141	3	1					3	1037			0
											
1142	0	1	1	2	10		2	6	Kim Đan Linh bị đánh bại, hộ giáp của Kim Đan Vệ Sĩ giảm, được 300 công.		1
1142	1	1					1	16040			-1
											
											
1143	0	1	1	2	10		2	6	Kim Đan Linh bị đánh bại, hộ giáp của Kim Đan Trưởng Lão giảm, được 300 công.		1
1143	1	1					1	16040			-1
											
											
1144	0	1	1	2	10		2	6	Kim Đan Linh bị đánh bại, hộ giáp giảm.		1
1144	1	1					1	16040			-1
											
											
1145	0	10					2	6	Nguyên Anh Linh(Công) giảm 5% công		1
1145	1	1					1	16041			0
											
1146	0	10					2	6	Nguyên Anh Linh(Thủ) giảm 5% thủ		1
1146	1	1					1	16042			0
											
1147	0	10					2	6	Nguyên Anh Linh(Công) giảm 5% công		1
1147	1	1					1	16041			2
1147	2	1					2	6	Nguyên Anh Linh(Công)Tăng 5% công cho boss		3
1147	3	1					1	16043			0
											
1148	0	10					2	6	Nguyên Anh Linh(Thủ) giảm 5% thủ		1
1148	1	1					1	16042			2
1148	2	1					2	6	Nguyên Anh Linh(Thủ)Tăng 5% thủ cho boss		3
1148	3	1					1	16044			0
											
1149	0	1	1	2	80		2	6	Tinh Anh Vệ Sĩ gọi 1 Nguyên Anh Linh(Công), 1 Nguyên Anh Linh(Thủ)		1
1149	1	1					3	1030			-1
											
1150	0	20	1	2	80		2	6	Tinh Anh Trưởng Lão gọi 1 Nguyên Anh Linh(Công), 1 Nguyên Anh Linh(Thủ)		1
1150	1	1					3	1031			-1
											
1151	0	20	1	2	80		2	6	Tinh Anh Tinh Tú gọi 1 Nguyên Anh Linh(Công), 1 Nguyên Anh Linh(Thủ)		1
1151	1	1					3	1032			-1
											
1152	0	20					2	6	Phân Thần Vệ Sĩ gọi 2 Phân Thần Linh , Phân Thần Linh sẽ duy trì tạo s.thương.		1
1152	1	1					3	1033			0
											
1153	0	20					2	6	Phân Thần Trưởng Lão gọi 3 Phân Thần Linh , Phân Thần Linh sẽ duy trì tạo s.thương.		1
1153	1	1					3	1034			0
											
1154	0	20					2	6	Phân Thần Tinh Tú gọi 4 Phân Thần Linh , Phân Thần Linh sẽ duy trì tạo s.thương.		1
1154	1	1					3	1035			0
											
1155	0	1	1	2	75		2	6	HP boss dưới 75%, cường hóa lần 1. Công tăng 25%, thủ giảm 25%		1
1155	1	1					1	16048			-1
											
1156	0	1	1	2	50		2	6	HP boss dưới 50%, cường hóa lần 2. Công tăng 50%, thủ giảm 25%		1
1156	1	1					1	16049			-1
											
1157	0	1	1	2	25		2	6	HP boss dưới 25%, cường hóa lần 3. Công tăng 75%, thủ giảm 25%		1
1157	1	1					1	16050			-1
											
1158	0	1	1	2	10		2	6	HP boss dưới 10%, cường hóa lần 4. Công tăng 100%, thủ giảm 25%		1
1158	1	1					1	16051			-1
											
1159	0	1					2	6	Trụ độ kiếp đã đổi buff, buff mỗi trụ khác nhau. Đến gần nó sẽ được buff!		1
1159	1	1					1	16052			2
1159	2	2					1	16052			3
1159	3	2					1	16052			4
1159	4	2					1	16052			5
1159	5	2					1	16052			6
1159	6	2					1	16052			7
1159	7	2					1	16052			8
1159	8	2					1	16052			9
1159	9	2					1	16052			10
1159	10	2					1	16052			11
1159	11	2					1	16052			12
1159	12	2					1	16052			13
1159	13	2					1	16052			14
1159	14	2					1	16052			15
1159	15	2					1	16052			16
1159	16	2					1	16052			17
1159	17	2					1	16052			18
1159	18	2					1	16052			19
1159	19	2					1	16052			20
1159	20	2					1	16052			21
1159	21	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同.靠近它既可获得该buff!		22
1159	22	1					1	16053			23
1159	23	2					1	16053			24
1159	24	2					1	16053			25
1159	25	2					1	16053			26
1159	26	2					1	16053			27
1159	27	2					1	16053			28
1159	28	2					1	16053			29
1159	29	2					1	16053			30
1159	30	2					1	16053			31
1159	31	2					1	16053			32
1159	32	2					1	16053			33
1159	33	2					1	16053			34
1159	34	2					1	16053			35
1159	35	2					1	16053			36
1159	36	2					1	16053			37
1159	37	2					1	16053			38
1159	38	2					1	16053			39
1159	39	2					1	16053			40
1159	40	2					1	16053			41
1159	41	2					1	16053			42
1159	42	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同.靠近它既可获得该buff!		43
1159	43	1					1	16054			44
1159	44	2					1	16054			45
1159	45	2					1	16054			46
1159	46	2					1	16054			47
1159	47	2					1	16054			48
1159	48	2					1	16054			49
1159	49	2					1	16054			50
1159	50	2					1	16054			51
1159	51	2					1	16054			52
1159	52	2					1	16054			53
1159	53	2					1	16054			54
1159	54	2					1	16054			55
1159	55	2					1	16054			56
1159	56	2					1	16054			57
1159	57	2					1	16054			58
1159	58	2					1	16054			59
1159	59	2					1	16054			60
1159	60	2					1	16054			61
1159	61	2					1	16054			62
1159	62	2					1	16054			63
1159	63	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同.靠近它既可获得该buff!		64
1159	64	1					1	16055			65
1159	65	2					1	16055			66
1159	66	2					1	16055			67
1159	67	2					1	16055			68
1159	68	2					1	16055			69
1159	69	2					1	16055			70
1159	70	2					1	16055			71
1159	71	2					1	16055			72
1159	72	2					1	16055			73
1159	73	2					1	16055			74
1159	74	2					1	16055			75
1159	75	2					1	16055			76
1159	76	2					1	16055			77
1159	77	2					1	16055			78
1159	78	2					1	16055			79
1159	79	2					1	16055			80
1159	80	2					1	16055			81
1159	81	2					1	16055			82
1159	82	2					1	16055			83
1159	83	2					1	16055			0
											
1160	0	1					2	6			1
1160	1	1					1	16053			2
1160	2	2					1	16053			3
1160	3	2					1	16053			4
1160	4	2					1	16053			5
1160	5	2					1	16053			6
1160	6	2					1	16053			7
1160	7	2					1	16053			8
1160	8	2					1	16053			9
1160	9	2					1	16053			10
1160	10	2					1	16053			11
1160	11	2					1	16053			12
1160	12	2					1	16053			13
1160	13	2					1	16053			14
1160	14	2					1	16053			15
1160	15	2					1	16053			16
1160	16	2					1	16053			17
1160	17	2					1	16053			18
1160	18	2					1	16053			19
1160	19	2					1	16053			20
1160	20	2					1	16053			21
1160	21	1					2	6			22
1160	22	1					1	16054			23
1160	23	2					1	16054			24
1160	24	2					1	16054			25
1160	25	2					1	16054			26
1160	26	2					1	16054			27
1160	27	2					1	16054			28
1160	28	2					1	16054			29
1160	29	2					1	16054			30
1160	30	2					1	16054			31
1160	31	2					1	16054			32
1160	32	2					1	16054			33
1160	33	2					1	16054			34
1160	34	2					1	16054			35
1160	35	2					1	16054			36
1160	36	2					1	16054			37
1160	37	2					1	16054			38
1160	38	2					1	16054			39
1160	39	2					1	16054			40
1160	40	2					1	16054			41
1160	41	2					1	16054			42
1160	42	1					2	6			43
1160	43	1					1	16055			44
1160	44	2					1	16055			45
1160	45	2					1	16055			46
1160	46	2					1	16055			47
1160	47	2					1	16055			48
1160	48	2					1	16055			49
1160	49	2					1	16055			50
1160	50	2					1	16055			51
1160	51	2					1	16055			52
1160	52	2					1	16055			53
1160	53	2					1	16055			54
1160	54	2					1	16055			55
1160	55	2					1	16055			56
1160	56	2					1	16055			57
1160	57	2					1	16055			58
1160	58	2					1	16055			59
1160	59	2					1	16055			60
1160	60	2					1	16055			61
1160	61	2					1	16055			62
1160	62	2					1	16055			63
1160	63	1					2	6			64
1160	64	1					1	16052			65
1160	65	2					1	16052			66
1160	66	2					1	16052			67
1160	67	2					1	16052			68
1160	68	2					1	16052			69
1160	69	2					1	16052			70
1160	70	2					1	16052			71
1160	71	2					1	16052			72
1160	72	2					1	16052			73
1160	73	2					1	16052			74
1160	74	2					1	16052			75
1160	75	2					1	16052			76
1160	76	2					1	16052			77
1160	77	2					1	16052			78
1160	78	2					1	16052			79
1160	79	2					1	16052			80
1160	80	2					1	16052			81
1160	81	2					1	16052			82
1160	82	2					1	16052			83
1160	83	2					1	16052			0
											
1161	0	1					2	6			1
1161	1	1					1	16054			2
1161	2	2					1	16054			3
1161	3	2					1	16054			4
1161	4	2					1	16054			5
1161	5	2					1	16054			6
1161	6	2					1	16054			7
1161	7	2					1	16054			8
1161	8	2					1	16054			9
1161	9	2					1	16054			10
1161	10	2					1	16054			11
1161	11	2					1	16054			12
1161	12	2					1	16054			13
1161	13	2					1	16054			14
1161	14	2					1	16054			15
1161	15	2					1	16054			16
1161	16	2					1	16054			17
1161	17	2					1	16054			18
1161	18	2					1	16054			19
1161	19	2					1	16054			20
1161	20	2					1	16054			21
1161	21	1					2	6			22
1161	22	1					1	16055			23
1161	23	2					1	16055			24
1161	24	2					1	16055			25
1161	25	2					1	16055			26
1161	26	2					1	16055			27
1161	27	2					1	16055			28
1161	28	2					1	16055			29
1161	29	2					1	16055			30
1161	30	2					1	16055			31
1161	31	2					1	16055			32
1161	32	2					1	16055			33
1161	33	2					1	16055			34
1161	34	2					1	16055			35
1161	35	2					1	16055			36
1161	36	2					1	16055			37
1161	37	2					1	16055			38
1161	38	2					1	16055			39
1161	39	2					1	16055			40
1161	40	2					1	16055			41
1161	41	2					1	16055			42
1161	42	1					2	6			43
1161	43	1					1	16052			44
1161	44	2					1	16052			45
1161	45	2					1	16052			46
1161	46	2					1	16052			47
1161	47	2					1	16052			48
1161	48	2					1	16052			49
1161	49	2					1	16052			50
1161	50	2					1	16052			51
1161	51	2					1	16052			52
1161	52	2					1	16052			53
1161	53	2					1	16052			54
1161	54	2					1	16052			55
1161	55	2					1	16052			56
1161	56	2					1	16052			57
1161	57	2					1	16052			58
1161	58	2					1	16052			59
1161	59	2					1	16052			60
1161	60	2					1	16052			61
1161	61	2					1	16052			62
1161	62	2					1	16052			63
1161	63	1					2	6			64
1161	64	1					1	16053			65
1161	65	2					1	16053			66
1161	66	2					1	16053			67
1161	67	2					1	16053			68
1161	68	2					1	16053			69
1161	69	2					1	16053			70
1161	70	2					1	16053			71
1161	71	2					1	16053			72
1161	72	2					1	16053			73
1161	73	2					1	16053			74
1161	74	2					1	16053			75
1161	75	2					1	16053			76
1161	76	2					1	16053			77
1161	77	2					1	16053			78
1161	78	2					1	16053			79
1161	79	2					1	16053			80
1161	80	2					1	16053			81
1161	81	2					1	16053			82
1161	82	2					1	16053			83
1161	83	2					1	16053			0
											
1162	0	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同, 也有可能是debuff哦!靠近它既可获得该buff!		1
1162	1	1					1	16056			2
1162	2	2					1	16056			3
1162	3	2					1	16056			4
1162	4	2					1	16056			5
1162	5	2					1	16056			6
1162	6	2					1	16056			7
1162	7	2					1	16056			8
1162	8	2					1	16056			9
1162	9	2					1	16056			10
1162	10	2					1	16056			11
1162	11	2					1	16056			12
1162	12	2					1	16056			13
1162	13	2					1	16056			14
1162	14	2					1	16056			15
1162	15	2					1	16056			16
1162	16	2					1	16056			17
1162	17	2					1	16056			18
1162	18	2					1	16056			19
1162	19	2					1	16056			20
1162	20	2					1	16056			21
1162	21	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同, 也有可能是debuff哦!靠近它既可获得该buff!		22
1162	22	1					1	16057			23
1162	23	2					1	16057			24
1162	24	2					1	16057			25
1162	25	2					1	16057			26
1162	26	2					1	16057			27
1162	27	2					1	16057			28
1162	28	2					1	16057			29
1162	29	2					1	16057			30
1162	30	2					1	16057			31
1162	31	2					1	16057			32
1162	32	2					1	16057			33
1162	33	2					1	16057			34
1162	34	2					1	16057			35
1162	35	2					1	16057			36
1162	36	2					1	16057			37
1162	37	2					1	16057			38
1162	38	2					1	16057			39
1162	39	2					1	16057			40
1162	40	2					1	16057			41
1162	41	2					1	16057			42
1162	42	1					2	6	渡劫之柱更换了buff, 每个渡劫之柱提供的buff不同, 也有可能是debuff哦!靠近它既可获得该buff!		43
1162	43	1					1	16058			44
1162	44	2					1	16058			45
1162	45	2					1	16058			46
