questId	questName	questDesc	targetDesc	countType	count
3578	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3579	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3580	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3581	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3582	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3583	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3584	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3585	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3586	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3587	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3588	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3589	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3590	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3591	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3592	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3593	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3594	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3595	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3596	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3597	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3598	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3599	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3600	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3601	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3602	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3603	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3604	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3605	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3606	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3607	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3608	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3609	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3610	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3611	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3612	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3613	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3614	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3615	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3616	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3617	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3618	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3619	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3620	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3621	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3622	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3623	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3624	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3625	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3626	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3627	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3628	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3629	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3630	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3631	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3632	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3633	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3634	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3635	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3636	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3637	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3638	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3639	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3640	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3641	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3642	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3643	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3644	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3645	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3646	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3647	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3648	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3649	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3650	轮回转盘	成功添加3名好友。	成功添加3名好友。	5	3
3651	轮回转盘	进行装备洗炼1次。	进行装备洗炼1次。	11	1
3652	轮回转盘	进行装备洗炼3次。	进行装备洗炼3次。	11	3
3653	轮回转盘	进行装备强化1次。	进行装备强化1次。	1	1
3654	轮回转盘	进行装备强化3次。	进行装备强化3次。	1	3
3655	轮回转盘	进行神兽元神修炼1次。	进行神兽元神培养1次。	2	1
3656	轮回转盘	进行神兽元神修炼3次。	进行神兽元神培养3次。	2	3
3657	轮回转盘	使用轩辕鼎合成功能1次。	使用轩辕鼎合成功能1次。	10	1
3658	轮回转盘	使用轩辕鼎合成功能3次。	使用轩辕鼎合成功能3次。	10	3
3659	轮回转盘	进行坐骑培养1次。	进行坐骑培养1次。	8	1
3660	轮回转盘	进行坐骑培养3次。	进行坐骑培养3次。	8	3
3661	轮回转盘	进行神兽变身1次。	进行神兽变身1次。	4	1
3662	轮回转盘	进行神兽变身3次。	进行神兽变身3次。	4	3
3663	轮回转盘	成功添加1名好友。	成功添加1名好友。	5	1
3664	轮回转盘	进行神兽变身1次。	进行神兽变身1次。	4	1
					
9509	北斗七星	通过通天塔任意1层	通过通天塔任意1层	13	1
9510	北斗七星	通过通天塔任意3层	通过通天塔任意3层	13	3
9511	北斗七星	通过通天塔任意5层	通过通天塔任意5层	13	5
9512	北斗七星	通过通天塔任意10层	通过通天塔任意10层	13	10
