ruleId	silverMoney	contribute	bindingGoldMoney	zp	goodsId1	goodsNum1	goodsBind1	goodsId2	goodsNum2	goodsBind2	goodsId3	goodsNum3	goodsBind3	mailTitle	mailContent
10		1120		56000	9298	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]10[\C]ffffffff[C]位，您可以获得以下奖励：
11		1040		52000	9299	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]11[\C]ffffffff[C]位，您可以获得以下奖励：
12		960		48000	9300	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]12[\C]ffffffff[C]位，您可以获得以下奖励：
13		880		44000	9301	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]13[\C]ffffffff[C]位，您可以获得以下奖励：
14		800		40000	9302	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]14[\C]ffffffff[C]位，您可以获得以下奖励：
15		760		38000	9303	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]15[\C]ffffffff[C]位，您可以获得以下奖励：
16		720		36000	9304	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]16[\C]ffffffff[C]位，您可以获得以下奖励：
17		680		34000	9305	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]17[\C]ffffffff[C]位，您可以获得以下奖励：
18		640		32000	9306	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]18[\C]ffffffff[C]位，您可以获得以下奖励：
19		600		30000	9307	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]19[\C]ffffffff[C]位，您可以获得以下奖励：
20		560		28000	9308	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]20[\C]ffffffff[C]位，您可以获得以下奖励：
21		520		26000	9309	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]21[\C]ffffffff[C]位，您可以获得以下奖励：
22		480		24000	9310	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]22[\C]ffffffff[C]位，您可以获得以下奖励：
23		440		22000	9311	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]23[\C]ffffffff[C]位，您可以获得以下奖励：
24		400		20000	9312	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]24[\C]ffffffff[C]位，您可以获得以下奖励：
25		380		19000	9313	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]25[\C]ffffffff[C]位，您可以获得以下奖励：
26		360		18000	9314	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]26[\C]ffffffff[C]位，您可以获得以下奖励：
27		340		17000	9315	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]27[\C]ffffffff[C]位，您可以获得以下奖励：
28		320		16000	9316	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]28[\C]ffffffff[C]位，您可以获得以下奖励：
29		300		15000	9317	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]29[\C]ffffffff[C]位，您可以获得以下奖励：
30		280		14000	9318	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]30[\C]ffffffff[C]位，您可以获得以下奖励：
31		260		13000	9319	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]31[\C]ffffffff[C]位，您可以获得以下奖励：
32		240		12000	9320	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]32[\C]ffffffff[C]位，您可以获得以下奖励：
33		220		11000	9321	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]33[\C]ffffffff[C]位，您可以获得以下奖励：
34		200		10000	9322	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]34[\C]ffffffff[C]位，您可以获得以下奖励：
35		200		10000	9323	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]35[\C]ffffffff[C]位，您可以获得以下奖励：
36		200		10000	9324	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]36[\C]ffffffff[C]位，您可以获得以下奖励：
37		200		10000	9325	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]37[\C]ffffffff[C]位，您可以获得以下奖励：
38		200		10000	9326	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]38[\C]ffffffff[C]位，您可以获得以下奖励：
39		200		10000	9327	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]39[\C]ffffffff[C]位，您可以获得以下奖励：
40		200		10000	9328	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]40[\C]ffffffff[C]位，您可以获得以下奖励：
41		200		10000	9329	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]41[\C]ffffffff[C]位，您可以获得以下奖励：
42		200		10000	9330	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]42[\C]ffffffff[C]位，您可以获得以下奖励：
43		200		10000	9331	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]43[\C]ffffffff[C]位，您可以获得以下奖励：
44		200		10000	9332	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]44[\C]ffffffff[C]位，您可以获得以下奖励：
45		200		10000	9333	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]45[\C]ffffffff[C]位，您可以获得以下奖励：
46		200		10000	9334	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]46[\C]ffffffff[C]位，您可以获得以下奖励：
47		200		10000	9335	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]47[\C]ffffffff[C]位，您可以获得以下奖励：
48		200		10000	9336	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]48[\C]ffffffff[C]位，您可以获得以下奖励：
49		200		10000	9337	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]49[\C]ffffffff[C]位，您可以获得以下奖励：
50		200		10000	9338	1	1							皇城争霸战排名奖励	恭喜，您的门派在皇城争霸战中取得胜利！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]50[\C]ffffffff[C]位之后，您可以获得以下奖励：
51		1200		60000	9339	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]1[\C]ffffffff[C]位，您可以获得以下奖励：
52		1080		54000	9340	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]2[\C]ffffffff[C]位，您可以获得以下奖励：
53		1008		50400	9341	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]3[\C]ffffffff[C]位，您可以获得以下奖励：
54		960		48000	9342	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]4[\C]ffffffff[C]位，您可以获得以下奖励：
55		912		45600	9343	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]5[\C]ffffffff[C]位，您可以获得以下奖励：
56		864		43200	9344	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]6[\C]ffffffff[C]位，您可以获得以下奖励：
57		816		40800	9345	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]7[\C]ffffffff[C]位，您可以获得以下奖励：
58		768		38400	9346	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]8[\C]ffffffff[C]位，您可以获得以下奖励：
59		720		36000	9347	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]9[\C]ffffffff[C]位，您可以获得以下奖励：
60		672		33600	9348	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]10[\C]ffffffff[C]位，您可以获得以下奖励：
61		624		31200	9349	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]11[\C]ffffffff[C]位，您可以获得以下奖励：
62		576		28800	9350	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]12[\C]ffffffff[C]位，您可以获得以下奖励：
63		528		26400	9351	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]13[\C]ffffffff[C]位，您可以获得以下奖励：
64		480		24000	9352	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]14[\C]ffffffff[C]位，您可以获得以下奖励：
65		456		22800	9353	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]15[\C]ffffffff[C]位，您可以获得以下奖励：
66		432		21600	9354	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]16[\C]ffffffff[C]位，您可以获得以下奖励：
67		408		20400	9355	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]17[\C]ffffffff[C]位，您可以获得以下奖励：
68		384		19200	9356	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]18[\C]ffffffff[C]位，您可以获得以下奖励：
69		360		18000	9357	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]19[\C]ffffffff[C]位，您可以获得以下奖励：
70		336		16800	9358	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]20[\C]ffffffff[C]位，您可以获得以下奖励：
71		312		15600	9359	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]21[\C]ffffffff[C]位，您可以获得以下奖励：
72		288		14400	9360	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]22[\C]ffffffff[C]位，您可以获得以下奖励：
73		264		13200	9361	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]23[\C]ffffffff[C]位，您可以获得以下奖励：
74		240		12000	9362	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]24[\C]ffffffff[C]位，您可以获得以下奖励：
75		228		11400	9363	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]25[\C]ffffffff[C]位，您可以获得以下奖励：
76		216		10800	9364	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]26[\C]ffffffff[C]位，您可以获得以下奖励：
77		204		10200	9365	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]27[\C]ffffffff[C]位，您可以获得以下奖励：
78		192		9600	9366	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]28[\C]ffffffff[C]位，您可以获得以下奖励：
79		180		9000	9367	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]29[\C]ffffffff[C]位，您可以获得以下奖励：
80		168		8400	9368	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]30[\C]ffffffff[C]位，您可以获得以下奖励：
81		156		7800	9369	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]31[\C]ffffffff[C]位，您可以获得以下奖励：
82		144		7200	9370	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]32[\C]ffffffff[C]位，您可以获得以下奖励：
83		132		6600	9371	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]33[\C]ffffffff[C]位，您可以获得以下奖励：
84		120		6000	9372	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]34[\C]ffffffff[C]位，您可以获得以下奖励：
85		120		6000	9373	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]35[\C]ffffffff[C]位，您可以获得以下奖励：
86		120		6000	9374	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]36[\C]ffffffff[C]位，您可以获得以下奖励：
87		120		6000	9375	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]37[\C]ffffffff[C]位，您可以获得以下奖励：
88		120		6000	9376	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]38[\C]ffffffff[C]位，您可以获得以下奖励：
89		120		6000	9377	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]39[\C]ffffffff[C]位，您可以获得以下奖励：
90		120		6000	9378	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]40[\C]ffffffff[C]位，您可以获得以下奖励：
91		120		6000	9379	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]41[\C]ffffffff[C]位，您可以获得以下奖励：
92		120		6000	9380	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]42[\C]ffffffff[C]位，您可以获得以下奖励：
93		120		6000	9381	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]43[\C]ffffffff[C]位，您可以获得以下奖励：
94		120		6000	9382	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]44[\C]ffffffff[C]位，您可以获得以下奖励：
95		120		6000	9383	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]45[\C]ffffffff[C]位，您可以获得以下奖励：
96		120		6000	9384	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]46[\C]ffffffff[C]位，您可以获得以下奖励：
97		120		6000	9385	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]47[\C]ffffffff[C]位，您可以获得以下奖励：
98		120		6000	9386	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]48[\C]ffffffff[C]位，您可以获得以下奖励：
99		120		6000	9387	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]49[\C]ffffffff[C]位，您可以获得以下奖励：
100		120		6000	9388	1	1							皇城争霸战排名奖励	很遗憾，您的门派在此次皇城争霸赛中失利了，还请下次继续努力！\n\n此次争霸赛中，您的积分于本方排第[\C]ff56ff35[C]50[\C]ffffffff[C]位之后，您可以获得以下奖励：
101			100		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得1连胜！\n攻方积分较高的门派将入主皇城，享受专属副本与每日皇城工资礼包的丰厚福利，直至下次皇城争霸战开启；还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
102			80		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得1连胜！\n攻方积分较高的门派将入主皇城，享受专属副本与每日皇城工资礼包的丰厚福利，直至下次皇城争霸战开启；还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
103			50		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得1连胜！\n攻方积分较高的门派将入主皇城，享受专属副本与每日皇城工资礼包的丰厚福利，直至下次皇城争霸战开启；还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
104			20		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得1连胜！\n攻方积分较高的门派将入主皇城，享受专属副本与每日皇城工资礼包的丰厚福利，直至下次皇城争霸战开启；还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
105			200		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得2连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
106			160		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得2连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
107			100		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得2连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
108			40		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得2连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
109			300		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得3连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
110			240		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得3连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]副掌门[\C]ffffffff[C]，将获得以下奖励：
111			150		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得3连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]长老[\C]ffffffff[C]，将获得以下奖励：
112			60		200052	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得3连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]弟子[\C]ffffffff[C]，将获得以下奖励：
113			400		200051	1	1							皇城争霸战连胜奖励	恭喜，您的门派在皇城争霸战中取得4连胜！\n还请继续努力，连胜次数越多，奖励越丰厚！\n\n您作为[\C]ff56ff35[C]掌门[\C]ffffffff[C]，将获得以下奖励：
