skillId	level	roleLevel	innerLevel	gold	bindGold	gameMoney	zp	attrType	attrValue	goodsId	goodsNum	relySkillId	relySkillLevel	relyAttrType	relyAttrValue
107	8	8				180	90								
107	9	9				190	95								
107	10	10				200	100								
107	11	11				210	105								
107	12	12				220	110								
107	13	13				230	115								
107	14	14				240	120								
107	15	15				250	125								
107	16	16				260	130								
107	17	17				270	135								
107	18	18				280	140								
107	19	19				290	145								
107	20	20				300	150								
201	1	1	1			110	55								
201	2	2	2			120	60								
201	3	3	3			130	65								
201	4	4	4			140	70								
201	5	5	5			150	75								
201	6	6	6			160	80								
201	7	7	7			170	85								
201	8	8	8			180	90								
201	9	9	9			190	95								
201	10	10	10			200	100								
201	11	11	11			210	105								
201	12	12	12			220	110								
201	13	13	13			230	115								
201	14	14	14			240	120								
201	15	15	15			250	125								
201	16	16	16			260	130								
201	17	17	17			270	135								
201	18	18	18			280	140								
201	19	19	19			290	145								
201	20	20	20			300	150								
206	1	1	1			110	55								
206	2	2	2			120	60								
206	3	3	3			130	65								
206	4	4	4			140	70								
206	5	5	5			150	75								
206	6	6	6			160	80								
206	7	7	7			170	85								
206	8	8	8			180	90								
206	9	9	9			190	95								
206	10	10	10			200	100								
206	11	11	11			210	105								
206	12	12	12			220	110								
206	13	13	13			230	115								
206	14	14	14			240	120								
206	15	15	15			250	125								
206	16	16	16			260	130								
206	17	17	17			270	135								
206	18	18	18			280	140								
206	19	19	19			290	145								
206	20	20	20			300	150								
207	1	1	1			110	55								
207	2	2	2			120	60								
207	3	3	3			130	65								
207	4	4	4			140	70								
207	5	5	5			150	75								
207	6	6	6			160	80								
207	7	7	7			170	85								
207	8	8	8			180	90								
207	9	9	9			190	95								
207	10	10	10			200	100								
207	11	11	11			210	105								
207	12	12	12			220	110								
207	13	13	13			230	115								
207	14	14	14			240	120								
207	15	15	15			250	125								
207	16	16	16			260	130								
207	17	17	17			270	135								
207	18	18	18			280	140								
207	19	19	19			290	145								
207	20	20	20			300	150								
211	1	1	1			110	55								
211	2	2	2			120	60								
211	3	3	3			130	65								
211	4	4	4			140	70								
211	5	5	5			150	75								
211	6	6	6			160	80								
211	7	7	7			170	85								
211	8	8	8			180	90								
211	9	9	9			190	95								
211	10	10	10			200	100								
211	11	11	11			210	105								
211	12	12	12			220	110								
211	13	13	13			230	115								
211	14	14	14			240	120								
211	15	15	15			250	125								
211	16	16	16			260	130								
211	17	17	17			270	135								
211	18	18	18			280	140								
211	19	19	19			290	145								
211	20	20	20			300	150								
212	1	1	1			110	55								
212	2	2	2			120	60								
212	3	3	3			130	65								
212	4	4	4			140	70								
212	5	5	5			150	75								
212	6	6	6			160	80								
212	7	7	7			170	85								
212	8	8	8			180	90								
212	9	9	9			190	95								
212	10	10	10			200	100								
212	11	11	11			210	105								
212	12	12	12			220	110								
212	13	13	13			230	115								
212	14	14	14			240	120								
212	15	15	15			250	125								
212	16	16	16			260	130								
212	17	17	17			270	135								
212	18	18	18			280	140								
212	19	19	19			290	145								
212	20	20	20			300	150								
213	1	1	1			110	55								
213	2	2	2			120	60								
213	3	3	3			130	65								
213	4	4	4			140	70								
213	5	5	5			150	75								
213	6	6	6			160	80								
213	7	7	7			170	85								
213	8	8	8			180	90								
213	9	9	9			190	95								
213	10	10	10			200	100								
213	11	11	11			210	105								
213	12	12	12			220	110								
213	13	13	13			230	115								
213	14	14	14			240	120								
213	15	15	15			250	125								
213	16	16	16			260	130								
213	17	17	17			270	135								
213	18	18	18			280	140								
213	19	19	19			290	145								
213	20	20	20			300	150								
216	1	1	1			110	55								
216	2	2	2			120	60								
216	3	3	3			130	65								
216	4	4	4			140	70								
216	5	5	5			150	75								
216	6	6	6			160	80								
216	7	7	7			170	85								
216	8	8	8			180	90								
216	9	9	9			190	95								
216	10	10	10			200	100								
216	11	11	11			210	105								
216	12	12	12			220	110								
216	13	13	13			230	115								
216	14	14	14			240	120								
216	15	15	15			250	125								
216	16	16	16			260	130								
216	17	17	17			270	135								
216	18	18	18			280	140								
216	19	19	19			290	145								
216	20	20	20			300	150								
217	1	1	1			110	55								
217	2	2	2			120	60								
217	3	3	3			130	65								
217	4	4	4			140	70								
217	5	5	5			150	75								
217	6	6	6			160	80								
217	7	7	7			170	85								
217	8	8	8			180	90								
217	9	9	9			190	95								
217	10	10	10			200	100								
217	11	11	11			210	105								
217	12	12	12			220	110								
217	13	13	13			230	115								
217	14	14	14			240	120								
217	15	15	15			250	125								
217	16	16	16			260	130								
217	17	17	17			270	135								
217	18	18	18			280	140								
217	19	19	19			290	145								
217	20	20	20			300	150								
218	1	1	1			110	55								
218	2	2	2			120	60								
218	3	3	3			130	65								
218	4	4	4			140	70								
218	5	5	5			150	75								
218	6	6	6			160	80								
218	7	7	7			170	85								
218	8	8	8			180	90								
218	9	9	9			190	95								
218	10	10	10			200	100								
218	11	11	11			210	105								
218	12	12	12			220	110								
218	13	13	13			230	115								
218	14	14	14			240	120								
218	15	15	15			250	125								
218	16	16	16			260	130								
218	17	17	17			270	135								
218	18	18	18			280	140								
218	19	19	19			290	145								
218	20	20	20			300	150								
221	1	1	1			110	55								
221	2	2	2			120	60								
221	3	3	3			130	65								
221	4	4	4			140	70								
221	5	5	5			150	75								
221	6	6	6			160	80								
221	7	7	7			170	85								
221	8	8	8			180	90								
221	9	9	9			190	95								
221	10	10	10			200	100								
221	11	11	11			210	105								
221	12	12	12			220	110								
221	13	13	13			230	115								
221	14	14	14			240	120								
221	15	15	15			250	125								
221	16	16	16			260	130								
221	17	17	17			270	135								
221	18	18	18			280	140								
221	19	19	19			290	145								
221	20	20	20			300	150								
222	1	1	1			110	55								
222	2	2	2			120	60								
222	3	3	3			130	65								
222	4	4	4			140	70								
222	5	5	5			150	75								
222	6	6	6			160	80								
222	7	7	7			170	85								
222	8	8	8			180	90								
222	9	9	9			190	95								
222	10	10	10			200	100								
222	11	11	11			210	105								
222	12	12	12			220	110								
222	13	13	13			230	115								
222	14	14	14			240	120								
222	15	15	15			250	125								
222	16	16	16			260	130								
222	17	17	17			270	135								
222	18	18	18			280	140								
222	19	19	19			290	145								
222	20	20	20			300	150								
223	1	1	1			110	55								
223	2	2	2			120	60								
223	3	3	3			130	65								
223	4	4	4			140	70								
223	5	5	5			150	75								
223	6	6	6			160	80								
223	7	7	7			170	85								
223	8	8	8			180	90								
223	9	9	9			190	95								
223	10	10	10			200	100								
223	11	11	11			210	105								
223	12	12	12			220	110								
223	13	13	13			230	115								
223	14	14	14			240	120								
223	15	15	15			250	125								
223	16	16	16			260	130								
223	17	17	17			270	135								
223	18	18	18			280	140								
223	19	19	19			290	145								
223	20	20	20			300	150								
226	1	1	1			110	55								
226	2	2	2			120	60								
226	3	3	3			130	65								
226	4	4	4			140	70								
226	5	5	5			150	75								
226	6	6	6			160	80								
226	7	7	7			170	85								
226	8	8	8			180	90								
226	9	9	9			190	95								
226	10	10	10			200	100								
226	11	11	11			210	105								
226	12	12	12			220	110								
226	13	13	13			230	115								
226	14	14	14			240	120								
226	15	15	15			250	125								
226	16	16	16			260	130								
226	17	17	17			270	135								
226	18	18	18			280	140								
226	19	19	19			290	145								
226	20	20	20			300	150								
227	1	1	1			110	55								
227	2	2	2			120	60								
227	3	3	3			130	65								
227	4	4	4			140	70								
227	5	5	5			150	75								
227	6	6	6			160	80								
227	7	7	7			170	85								
227	8	8	8			180	90								
227	9	9	9			190	95								
227	10	10	10			200	100								
227	11	11	11			210	105								
227	12	12	12			220	110								
227	13	13	13			230	115								
227	14	14	14			240	120								
227	15	15	15			250	125								
227	16	16	16			260	130								
227	17	17	17			270	135								
227	18	18	18			280	140								
227	19	19	19			290	145								
227	20	20	20			300	150								
228	1	1	1			110	55								
228	2	2	2			120	60								
228	3	3	3			130	65								
228	4	4	4			140	70								
228	5	5	5			150	75								
228	6	6	6			160	80								
228	7	7	7			170	85								
228	8	8	8			180	90								
228	9	9	9			190	95								
228	10	10	10			200	100								
228	11	11	11			210	105								
228	12	12	12			220	110								
228	13	13	13			230	115								
228	14	14	14			240	120								
228	15	15	15			250	125								
228	16	16	16			260	130								
228	17	17	17			270	135								
228	18	18	18			280	140								
228	19	19	19			290	145								
228	20	20	20			300	150								
231	1	1	1			110	55								
231	2	2	2			120	60								
231	3	3	3			130	65								
231	4	4	4			140	70								
231	5	5	5			150	75								
231	6	6	6			160	80								
231	7	7	7			170	85								
231	8	8	8			180	90								
231	9	9	9			190	95								
231	10	10	10			200	100								
231	11	11	11			210	105								
231	12	12	12			220	110								
231	13	13	13			230	115								
231	14	14	14			240	120								
231	15	15	15			250	125								
231	16	16	16			260	130								
231	17	17	17			270	135								
231	18	18	18			280	140								
231	19	19	19			290	145								
231	20	20	20			300	150								
232	1	1	1			110	55								
232	2	2	2			120	60								
232	3	3	3			130	65								
232	4	4	4			140	70								
232	5	5	5			150	75								
232	6	6	6			160	80								
232	7	7	7			170	85								
232	8	8	8			180	90								
232	9	9	9			190	95								
232	10	10	10			200	100								
232	11	11	11			210	105								
232	12	12	12			220	110								
232	13	13	13			230	115								
232	14	14	14			240	120								
232	15	15	15			250	125								
232	16	16	16			260	130								
232	17	17	17			270	135								
232	18	18	18			280	140								
232	19	19	19			290	145								
232	20	20	20			300	150								
233	1	1	1			110	55								
233	2	2	2			120	60								
233	3	3	3			130	65								
233	4	4	4			140	70								
233	5	5	5			150	75								
233	6	6	6			160	80								
233	7	7	7			170	85								
233	8	8	8			180	90								
233	9	9	9			190	95								
233	10	10	10			200	100								
233	11	11	11			210	105								
233	12	12	12			220	110								
233	13	13	13			230	115								
233	14	14	14			240	120								
233	15	15	15			250	125								
233	16	16	16			260	130								
233	17	17	17			270	135								
233	18	18	18			280	140								
233	19	19	19			290	145								
233	20	20	20			300	150								
236	1	1	1			110	55								
236	2	2	2			120	60								
236	3	3	3			130	65								
236	4	4	4			140	70								
236	5	5	5			150	75								
236	6	6	6			160	80								
236	7	7	7			170	85								
236	8	8	8			180	90								
236	9	9	9			190	95								
236	10	10	10			200	100								
236	11	11	11			210	105								
236	12	12	12			220	110								
236	13	13	13			230	115								
236	14	14	14			240	120								
236	15	15	15			250	125								
236	16	16	16			260	130								
236	17	17	17			270	135								
236	18	18	18			280	140								
236	19	19	19			290	145								
236	20	20	20			300	150								
237	1	1	1			110	55								
237	2	2	2			120	60								
237	3	3	3			130	65								
237	4	4	4			140	70								
237	5	5	5			150	75								
237	6	6	6			160	80								
237	7	7	7			170	85								
237	8	8	8			180	90								
237	9	9	9			190	95								
237	10	10	10			200	100								
237	11	11	11			210	105								
237	12	12	12			220	110								
237	13	13	13			230	115								
237	14	14	14			240	120								
237	15	15	15			250	125								
237	16	16	16			260	130								
237	17	17	17			270	135								
237	18	18	18			280	140								
237	19	19	19			290	145								
237	20	20	20			300	150								
238	1	1	1			110	55								
238	2	2	2			120	60								
238	3	3	3			130	65								
238	4	4	4			140	70								
238	5	5	5			150	75								
238	6	6	6			160	80								
238	7	7	7			170	85								
238	8	8	8			180	90								
238	9	9	9			190	95								
238	10	10	10			200	100								
238	11	11	11			210	105								
238	12	12	12			220	110								
238	13	13	13			230	115								
238	14	14	14			240	120								
238	15	15	15			250	125								
238	16	16	16			260	130								
238	17	17	17			270	135								
238	18	18	18			280	140								
238	19	19	19			290	145								
238	20	20	20			300	150								
241	1	1	1			110	55								
241	2	2	2			120	60								
241	3	3	3			130	65								
241	4	4	4			140	70								
241	5	5	5			150	75								
241	6	6	6			160	80								
241	7	7	7			170	85								
241	8	8	8			180	90								
241	9	9	9			190	95								
241	10	10	10			200	100								
241	11	11	11			210	105								
241	12	12	12			220	110								
241	13	13	13			230	115								
241	14	14	14			240	120								
241	15	15	15			250	125								
241	16	16	16			260	130								
241	17	17	17			270	135								
241	18	18	18			280	140								
241	19	19	19			290	145								
241	20	20	20			300	150								
242	1	1	1			110	55								
242	2	2	2			120	60								
242	3	3	3			130	65								
242	4	4	4			140	70								
242	5	5	5			150	75								
242	6	6	6			160	80								
242	7	7	7			170	85								
242	8	8	8			180	90								
242	9	9	9			190	95								
242	10	10	10			200	100								
242	11	11	11			210	105								
242	12	12	12			220	110								
242	13	13	13			230	115								
242	14	14	14			240	120								
242	15	15	15			250	125								
242	16	16	16			260	130								
242	17	17	17			270	135								
242	18	18	18			280	140								
242	19	19	19			290	145								
242	20	20	20			300	150								
243	1	1	1			110	55								
243	2	2	2			120	60								
243	3	3	3			130	65								
243	4	4	4			140	70								
243	5	5	5			150	75								
243	6	6	6			160	80								
243	7	7	7			170	85								
243	8	8	8			180	90								
243	9	9	9			190	95								
243	10	10	10			200	100								
243	11	11	11			210	105								
243	12	12	12			220	110								
243	13	13	13			230	115								
243	14	14	14			240	120								
243	15	15	15			250	125								
243	16	16	16			260	130								
243	17	17	17			270	135								
243	18	18	18			280	140								
243	19	19	19			290	145								
243	20	20	20			300	150								
246	1	1	1			110	55								
246	2	2	2			120	60								
246	3	3	3			130	65								
246	4	4	4			140	70								
246	5	5	5			150	75								
246	6	6	6			160	80								
246	7	7	7			170	85								
246	8	8	8			180	90								
246	9	9	9			190	95								
246	10	10	10			200	100								
246	11	11	11			210	105								
246	12	12	12			220	110								
246	13	13	13			230	115								
246	14	14	14			240	120								
246	15	15	15			250	125								
246	16	16	16			260	130								
246	17	17	17			270	135								
246	18	18	18			280	140								
246	19	19	19			290	145								
246	20	20	20			300	150								
247	1	1	1			110	55								
247	2	2	2			120	60								
247	3	3	3			130	65								
247	4	4	4			140	70								
247	5	5	5			150	75								
247	6	6	6			160	80								
247	7	7	7			170	85								
247	8	8	8			180	90								
247	9	9	9			190	95								
247	10	10	10			200	100								
247	11	11	11			210	105								
247	12	12	12			220	110								
247	13	13	13			230	115								
247	14	14	14			240	120								
247	15	15	15			250	125								
247	16	16	16			260	130								
247	17	17	17			270	135								
247	18	18	18			280	140								
247	19	19	19			290	145								
247	20	20	20			300	150								
248	1	1	1			110	55								
248	2	2	2			120	60								
248	3	3	3			130	65								
248	4	4	4			140	70								
248	5	5	5			150	75								
248	6	6	6			160	80								
248	7	7	7			170	85								
248	8	8	8			180	90								
248	9	9	9			190	95								
248	10	10	10			200	100								
248	11	11	11			210	105								
248	12	12	12			220	110								
248	13	13	13			230	115								
248	14	14	14			240	120								
248	15	15	15			250	125								
248	16	16	16			260	130								
248	17	17	17			270	135								
248	18	18	18			280	140								
248	19	19	19			290	145								
248	20	20	20			300	150								
31000	1	1	1			110	55								
31000	2	2	2			120	60								
31000	3	3	3			130	65								
31000	4	4	4			140	70								
31000	5	5	5			150	75								
31000	6	6	6			160	80								
31000	7	7	7			170	85								
31000	8	8	8			180	90								
31000	9	9	9			190	95								
31000	10	10	10			200	100								
31000	11	11	11			210	105								
31000	12	12	12			220	110								
31000	13	13	13			230	115								
31000	14	14	14			240	120								
31000	15	15	15			250	125								
31000	16	16	16			260	130								
31000	17	17	17			270	135								
31000	18	18	18			280	140								
31000	19	19	19			290	145								
31000	20	20	20			300	150								
31001	1	1	1			110	55								
31001	2	2	2			120	60								
31001	3	3	3			130	65								
31001	4	4	4			140	70								
31001	5	5	5			150	75								
31001	6	6	6			160	80								
31001	7	7	7			170	85								
31001	8	8	8			180	90								
31001	9	9	9			190	95								
31001	10	10	10			200	100								
31001	11	11	11			210	105								
31001	12	12	12			220	110								
31001	13	13	13			230	115								
31001	14	14	14			240	120								
31001	15	15	15			250	125								
31001	16	16	16			260	130								
31001	17	17	17			270	135								
31001	18	18	18			280	140								
31001	19	19	19			290	145								
31001	20	20	20			300	150								
