lootId	group1	groupProb1	group2	groupProb2	group3	groupProb3	group4	groupProb4	group5	groupProb5	group6	groupProb6	group7	groupProb7	group8	groupProb8	group9	groupProb9	group10	groupProb10	group11	groupProb11	group12	groupProb12	group13	groupProb13	group14	groupProb14	group15	groupProb15	lootType
1105	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110501	500	110502	500	110503	500	110504	500	110505	500	110506	0	110507	500	110508	500					
1106	109809	100	109810	10000	109811	10000	109812	10000	109813	10000	110601	500	110602	500	110603	500	110604	500	110605	500	110606	0	110607	500	110608	1500					
1107	110701	10000																													
1108	110801	10000																													
																															
1109	110901	400																													1
1110	111001	267																													1
1111	111101	200																													1
1112	111201	160																													1
1113	111301	133																													1
1114	111401	143																													1
1115	111501	125																													1
1116	111601	150																													2
1117	111701	4000	111702	4000	111703	4000	111704	4000																							0
1118	111801	4000	111802	4000	111803	4000	111804	4000																							0
1119	111901	4000	111902	4000	111903	4000	111904	4000																							0
																															
1139	113901	10000	113902	5000																											
																															
1140	114001	10000	114002	10000	114003	10000	114004	10000	114005	10000	114006	10000																			
																															
1141	114101	3077																													
1142	114201	3077																													
1143	114301	3077																													
1144	114401	3077																													
1145	114501	3077																													
1146	114601	5385																													
1147	114701	5385																													
1148	114801	5385																													
1149	114901	5385																													
1150	115001	5385																													
																															
1151	115101	10000	106802	10000	106803	10000	106804	3000	106805	3000	106806	3000	106807	400	106808	400	106809	400													
																															
1152	115201	2500	115202	5000	115203	10000																									
1153	115301	5000	115302	5000	115303	10000																									
1154	115401	5000	115402	2500	115403	2500	115404	10000																							
1155	115501	10000	115502	10000	115503	10000	115504	10000																							
																															
1156	115601	3000	115602	10000																											
1157	115701	10000	115702	10000	115703	10000	115704	10000																							
																															
1158	115801	800	115802	25	115803	1																									
1159	115901	10000	115902	10000	115903	10000	115904	400	115905	400	115906	400																			
																															
1160	116001	1200	116002	50	116003	2																									
1161	116101	10000	116102	10000	116103	10000	116104	400	116105	400	116106	400																			
																															
1162	116201	2500																													
																															
1163	116301	1500																													1
																															
1164	116401	10000																													
1165	116501	10000																													
