condId	desc	type	minValue	maxValue	timesLimit
1141	活动期间，坐骑转生到鬼金羊	5	78	88	1
1142	活动期间，坐骑转生到圣兽祥龙	5	89	89	1
					
1143	活动期间内，每日充值任意金额	1	1		-1
					
1144	活动期间内，累计充值100元。	1	1000		-1
					
1145	活动期间内，累计消费50元。	1	500		-1
1146	活动期间内，累计消费100元。	1	1000		-1
1147	活动期间内，累计消费200元。	1	2000		-1
1148	活动期间内，累计消费500元。	1	5000		-1
1149	活动期间内，累计消费1000元。	1	10000		-1
					
1150	全身镶嵌30颗3级宝石	7	3	30	1
1151	全身镶嵌50颗3级宝石	7	3	50	1
1152	全身镶嵌30颗4级宝石	7	4	30	1
1153	全身镶嵌50颗4级宝石	7	4	50	1
1154	全身镶嵌30颗5级宝石	7	5	30	1
1155	全身镶嵌50颗5级宝石	7	5	50	1
					
1156	活动期间内，每日充值任意金额	1	1		-1
					
1157	连续1天充值100元	1	1000		1
1158	连续2天充值100元	1	1000		1
1159	连续3天充值100元	1	1000		1
1160	连续1天充值500元	1	5000		1
1161	连续2天充值500元	1	5000		1
1162	连续3天充值500元	1	5000		1
1163	连续1天充值1000元	1	10000		1
1164	连续2天充值1000元	1	10000		1
1165	连续3天充值1000元	1	10000		1
					
1166	全身装备洗炼属性累计280星	1	280		1
1167	全身装备洗炼属性累计320星	1	320		1
1168	全身装备洗炼属性累计360星	1	360		1
1169	全身装备洗炼属性累计400星	1	400		1
1170	全身装备洗炼属性累计500星	1	500		1
					
					
1171	活动期间内，累计充值50元	1	500		-1
1172	活动期间内，累计充值100元	1	1000		-1
1173	活动期间内，累计充值200元	1	2000		-1
1174	活动期间内，累计充值500元	1	5000		-1
1175	活动期间内，累计充值1000元	1	10000		-1
					
1176	活动期间内，累计充值48元	1	480		-1
1177	活动期间内，累计充值98元	1	980		-1
1178	活动期间内，累计充值198元	1	1980		-1
1179	活动期间内，累计充值498元	1	4980		-1
1180	活动期间内，累计充值998元	1	9980		-1
					
					
					
1181	活动期间内，累计充值88元	1	880		-1
1182	活动期间内，累计充值288元	1	2880		-1
1183	活动期间内，累计充值688元	1	6880		-1
1184	活动期间内，累计充值1888元	1	18880		-1
1185	活动期间内，累计充值3000元	1	30000		-1
1186	活动期间内，累计充值5000元	1	50000		-1
					
1187	活动期间内，累计充值66元	1	660		-1
1188	活动期间内，累计充值266元	1	2660		-1
1189	活动期间内，累计充值666元	1	6660		-1
1190	活动期间内，累计充值1666元	1	16660		-1
					
					
1191	活动期间，累计充值100元	1	1000		-1
1192	活动期间，累计充值200元	1	2000		-1
1193	活动期间，累计充值500元	1	5000		-1
1194	活动期间，累计充值1000元	1	10000		-1
1195	活动期间，累计充值2000元	1	20000		-1
1196	活动期间，累计充值5000元	1	50000		-1
					
1197	活动期间，累计充值100元	1	1000		-1
1198	活动期间，累计充值200元	1	2000		-1
1199	活动期间，累计充值500元	1	5000		-1
1200	活动期间，累计充值1000元	1	10000		-1
1201	活动期间，累计充值2000元	1	20000		-1
1202	活动期间，累计充值5000元	1	50000		-1
					
1203	活动期间，累计充值50元	1	500		1
1204	活动期间，累计充值100元	1	1000		1
1205	活动期间，累计充值200元	1	2000		1
1206	活动期间，累计充值500元	1	5000		1
1207	活动期间，累计充值1000元	1	10000		1
1208	活动期间，累计充值2000元	1	20000		1
1209	活动期间，累计充值3000元	1	30000		1
1210	活动期间，累计充值5000元	1	50000		1
					
					
1211	活动期间，登陆游戏	1	-1		1
					
1212	活动期间，登陆游戏	1	-1		1
1213	活动期间，登陆游戏	1	-1		1
1214	活动期间，登陆游戏	1	-1		1
1215	活动期间，登陆游戏	1	-1		1
1216	活动期间，登陆游戏	1	-1		1
1217	活动期间，登陆游戏	1	-1		1
1218	活动期间，登陆游戏	1	-1		1
					
1219	活动期间，累计充值50元	1	500		1
1220	活动期间，累计充值100元	1	1000		1
1221	活动期间，累计充值200元	1	2000		1
1222	活动期间，累计充值500元	1	5000		1
1223	活动期间，累计充值1000元	1	10000		1
1224	活动期间，累计充值2000元	1	20000		1
1225	活动期间，累计充值5000元	1	50000		1
					
1226	活动期间，单笔充值50元（每日可领取10次）	5	500	500	10
1227	活动期间，单笔充值100元（每日可领取10次）	5	1000	1000	10
1228	活动期间，单笔充值200元（每日可领取10次）	5	2000	2000	10
1229	活动期间，单笔充值500元（每日可领取10次）	5	5000	5000	10
1230	活动期间，单笔充值1000元（每日可领取10次）	5	10000	10000	10
1231	活动期间，单笔充值2000元（每日可领取10次）	5	20000	20000	10
1232	活动期间，单笔充值3000元（每日可领取10次）	5	30000	30000	10
1233	活动期间，单笔充值5000元（每日可领取10次）	5	50000	50000	10
					
					
1234	活动期间，累计充值100元（可多次领取）	1	1000		100
					
1235	活动期间，累计充值50元	1	500		1
1236	活动期间，累计充值100元	1	1000		1
1237	活动期间，累计充值200元	1	2000		1
1238	活动期间，累计充值300元	1	3000		1
1239	活动期间，累计充值500元	1	5000		1
					
					
1240	活动期间，A套餐累计充值100元（最多可领取20次）	1	1000		20
1241	活动期间，B套餐累计充值100元（最多可领取50次）	1	1000		50
1248	活动期间，C套餐累计充值100元（最多可领取50次）	1	1000		50
					
1242	活动期间，累计充值100元（最多可领取30次）	1	1000		30
					
1243	活动期间，累计消费1000元宝	1	1000		1
1244	活动期间，累计消费2000元宝	1	2000		1
1245	活动期间，累计消费5000元宝	1	5000		1
1246	活动期间，累计消费10000元宝	1	10000		1
1247	活动期间，累计消费20000元宝	1	20000		1
