suitId	suitName	equipId1	equipId2	equipId3	equipId4	equipId5
27024	七星·天尊套装	6702405	6702406	6702407	6702408	6702409
27025	七星·玄尊套装	6702505	6702506	6702507	6702508	6702509
27026	七星·至尊套装	6702605	6702606	6702607	6702608	6702609
28004	八卦·天神套装	6800405	6800406	6800407	6800408	6800409
28005	八卦·玄神套装	6800505	6800506	6800507	6800508	6800509
28006	八卦·真神套装	6800605	6800606	6800607	6800608	6800609
28014	八卦·上仙套装	6801405	6801406	6801407	6801408	6801409
28015	八卦·玄仙套装	6801505	6801506	6801507	6801508	6801509
28016	八卦·真仙套装	6801605	6801606	6801607	6801608	6801609
28024	八卦·天尊套装	6802405	6802406	6802407	6802408	6802409
28025	八卦·玄尊套装	6802505	6802506	6802507	6802508	6802509
28026	八卦·至尊套装	6802605	6802606	6802607	6802608	6802609
						
28030	玄·幽鬼攻击套装	6920417	6920419	6920421	6920425	
28031	玄·幽鬼防御套装	6920416	6920418	6920420	6920422	6920424
28032	地·幽鬼攻击套装	6920430	6920432	6920434	6920438	
28033	地·幽鬼防御套装	6920429	6920431	6920433	6920435	6920437
28034	天·幽鬼攻击套装	6920443	6920445	6920447	6920451	
28035	天·幽鬼防御套装	6920442	6920444	6920446	6920448	6920450
						
28036	黄·金鹰攻击套装	6920501	6920503	6920505	6920509	
28037	黄·金鹰防御套装	6920500	6920502	6920504	6920506	6920508
28038	玄·金鹰攻击套装	6920517	6920519	6920521	6920525	
28039	玄·金鹰防御套装	6920516	6920518	6920520	6920522	6920524
28040	地·金鹰攻击套装	6920530	6920532	6920534	6920538	
28041	地·金鹰防御套装	6920529	6920531	6920533	6920535	6920537
28042	天·金鹰攻击套装	6920543	6920545	6920547	6920551	
28043	天·金鹰防御套装	6920542	6920544	6920546	6920548	6920550
